locus_tag	ftype	length_bp	gene	EC_number	COG	product
PABMBMJP_00001	gene	1407	dnaA			
PABMBMJP_00001	CDS	1407	dnaA		COG0593	Chromosomal replication initiator protein DnaA
PABMBMJP_00002	gene	741	nfrA2			
PABMBMJP_00002	CDS	741	nfrA2	1.5.1.39	COG0778	FMN reductase [NAD(P)H]
PABMBMJP_00003	gene	2547				
PABMBMJP_00003	CDS	2547				hypothetical protein
PABMBMJP_00004	gene	3006				
PABMBMJP_00004	CDS	3006				hypothetical protein
PABMBMJP_00005	gene	354	folB			
PABMBMJP_00005	CDS	354	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
PABMBMJP_00006	gene	882				
PABMBMJP_00006	CDS	882				hypothetical protein
PABMBMJP_00007	gene	1026				
PABMBMJP_00007	CDS	1026				hypothetical protein
PABMBMJP_00008	gene	1317	mtaB			
PABMBMJP_00008	CDS	1317	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
PABMBMJP_00009	gene	1674				
PABMBMJP_00009	CDS	1674		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
PABMBMJP_00010	gene	201				
PABMBMJP_00010	CDS	201				hypothetical protein
PABMBMJP_00011	gene	693				
PABMBMJP_00011	CDS	693				hypothetical protein
PABMBMJP_00012	gene	444	rplI			
PABMBMJP_00012	CDS	444	rplI		COG0359	50S ribosomal protein L9
PABMBMJP_00013	gene	270				
PABMBMJP_00013	CDS	270				hypothetical protein
PABMBMJP_00014	gene	345				
PABMBMJP_00014	CDS	345				hypothetical protein
PABMBMJP_00015	gene	447	slyA			
PABMBMJP_00015	CDS	447	slyA			Transcriptional regulator SlyA
PABMBMJP_00016	gene	183				
PABMBMJP_00016	CDS	183				hypothetical protein
PABMBMJP_00017	gene	699	mprA_1			
PABMBMJP_00017	CDS	699	mprA_1		COG0745	Response regulator MprA
PABMBMJP_00018	gene	1599	sasA_1			
PABMBMJP_00018	CDS	1599	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
PABMBMJP_00019	gene	2160	fusA_1			
PABMBMJP_00019	CDS	2160	fusA_1		COG0480	Elongation factor G
PABMBMJP_00020	gene	147				
PABMBMJP_00020	CDS	147				hypothetical protein
PABMBMJP_00021	gene	1131	hemW			
PABMBMJP_00021	CDS	1131	hemW		COG0635	Heme chaperone HemW
PABMBMJP_00022	gene	792				
PABMBMJP_00022	CDS	792		3.2.1.103		Keratan-sulfate endo-1,4-beta-galactosidase
PABMBMJP_00023	gene	1389	algC			
PABMBMJP_00023	CDS	1389	algC	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
PABMBMJP_00024	gene	636				
PABMBMJP_00024	CDS	636				hypothetical protein
PABMBMJP_00025	gene	1041	nrnA			
PABMBMJP_00025	CDS	1041	nrnA	3.1.-.-	COG0618	Bifunctional oligoribonuclease and PAP phosphatase NrnA
PABMBMJP_00026	gene	1920				
PABMBMJP_00026	CDS	1920				hypothetical protein
PABMBMJP_00027	gene	654	rpe			
PABMBMJP_00027	CDS	654	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
PABMBMJP_00028	gene	1296				
PABMBMJP_00028	CDS	1296				hypothetical protein
PABMBMJP_00029	gene	543	algU			
PABMBMJP_00029	CDS	543	algU		COG1595	RNA polymerase sigma-H factor
PABMBMJP_00030	gene	783				
PABMBMJP_00030	CDS	783				hypothetical protein
PABMBMJP_00031	gene	975	fmt			
PABMBMJP_00031	CDS	975	fmt	2.1.2.9		Methionyl-tRNA formyltransferase
PABMBMJP_00032	gene	1803	clcB			
PABMBMJP_00032	CDS	1803	clcB			Voltage-gated ClC-type chloride channel ClcB
PABMBMJP_00033	gene	576	tsaC			
PABMBMJP_00033	CDS	576	tsaC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
PABMBMJP_00034	gene	1164	nagA_1			
PABMBMJP_00034	CDS	1164	nagA_1	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
PABMBMJP_00035	gene	3177	mdtC_1			
PABMBMJP_00035	CDS	3177	mdtC_1		COG0841	Multidrug resistance protein MdtC
PABMBMJP_00036	gene	1488				
PABMBMJP_00036	CDS	1488				hypothetical protein
PABMBMJP_00037	gene	3081	mdtC_2			
PABMBMJP_00037	CDS	3081	mdtC_2			Multidrug resistance protein MdtC
PABMBMJP_00038	gene	1068	mdtA_1			
PABMBMJP_00038	CDS	1068	mdtA_1			Multidrug resistance protein MdtA
PABMBMJP_00039	gene	1662				
PABMBMJP_00039	CDS	1662				hypothetical protein
PABMBMJP_00040	gene	2025				
PABMBMJP_00040	CDS	2025				hypothetical protein
PABMBMJP_00041	gene	1908				
PABMBMJP_00041	CDS	1908				hypothetical protein
PABMBMJP_00042	gene	903				
PABMBMJP_00042	CDS	903				hypothetical protein
PABMBMJP_00043	gene	1914				
PABMBMJP_00043	CDS	1914				hypothetical protein
PABMBMJP_00044	gene	1008				
PABMBMJP_00044	CDS	1008				hypothetical protein
PABMBMJP_00045	gene	120				
PABMBMJP_00045	CDS	120				hypothetical protein
PABMBMJP_00046	gene	240				
PABMBMJP_00046	CDS	240				hypothetical protein
PABMBMJP_00047	gene	1026				
PABMBMJP_00047	CDS	1026				hypothetical protein
PABMBMJP_00048	gene	234				
PABMBMJP_00048	CDS	234				hypothetical protein
PABMBMJP_00049	gene	1023				
PABMBMJP_00049	CDS	1023				hypothetical protein
PABMBMJP_00050	gene	237				
PABMBMJP_00050	CDS	237				hypothetical protein
PABMBMJP_00051	gene	219				
PABMBMJP_00051	CDS	219				hypothetical protein
PABMBMJP_00052	gene	1164				
PABMBMJP_00052	CDS	1164				hypothetical protein
PABMBMJP_00053	gene	228				
PABMBMJP_00053	CDS	228				hypothetical protein
PABMBMJP_00054	gene	864				
PABMBMJP_00054	CDS	864				hypothetical protein
PABMBMJP_00055	gene	222				
PABMBMJP_00055	CDS	222				hypothetical protein
PABMBMJP_00056	gene	1143				
PABMBMJP_00056	CDS	1143				hypothetical protein
PABMBMJP_00057	gene	1905				
PABMBMJP_00057	CDS	1905				hypothetical protein
PABMBMJP_00058	gene	1095				
PABMBMJP_00058	CDS	1095				hypothetical protein
PABMBMJP_00059	gene	249				
PABMBMJP_00059	CDS	249				hypothetical protein
PABMBMJP_00060	gene	141				
PABMBMJP_00060	CDS	141				hypothetical protein
PABMBMJP_00061	gene	306				
PABMBMJP_00061	CDS	306				hypothetical protein
PABMBMJP_00062	gene	1947				
PABMBMJP_00062	CDS	1947				hypothetical protein
PABMBMJP_00063	gene	954	esiB_1			
PABMBMJP_00063	CDS	954	esiB_1			Secretory immunoglobulin A-binding protein EsiB
PABMBMJP_00064	gene	1182				
PABMBMJP_00064	CDS	1182				hypothetical protein
PABMBMJP_00065	gene	1137				
PABMBMJP_00065	CDS	1137				hypothetical protein
PABMBMJP_00066	gene	246				
PABMBMJP_00066	CDS	246				hypothetical protein
PABMBMJP_00067	gene	1050				
PABMBMJP_00067	CDS	1050				hypothetical protein
PABMBMJP_00068	gene	252				
PABMBMJP_00068	CDS	252				hypothetical protein
PABMBMJP_00069	gene	867				
PABMBMJP_00069	CDS	867				hypothetical protein
PABMBMJP_00070	gene	222				
PABMBMJP_00070	CDS	222				hypothetical protein
PABMBMJP_00071	gene	999				
PABMBMJP_00071	CDS	999				hypothetical protein
PABMBMJP_00072	gene	1080				
PABMBMJP_00072	CDS	1080				hypothetical protein
PABMBMJP_00073	gene	1077				
PABMBMJP_00073	CDS	1077				hypothetical protein
PABMBMJP_00074	gene	462				
PABMBMJP_00074	CDS	462				hypothetical protein
PABMBMJP_00075	gene	966	per1_1			
PABMBMJP_00075	CDS	966	per1_1	3.5.2.6		Extended-spectrum beta-lactamase PER-1
PABMBMJP_00076	gene	1404				
PABMBMJP_00076	CDS	1404				hypothetical protein
PABMBMJP_00077	gene	1116				
PABMBMJP_00077	CDS	1116				hypothetical protein
PABMBMJP_00078	gene	1098				
PABMBMJP_00078	CDS	1098				hypothetical protein
PABMBMJP_00079	gene	375				
PABMBMJP_00079	CDS	375				hypothetical protein
PABMBMJP_00080	gene	858				
PABMBMJP_00080	CDS	858				hypothetical protein
PABMBMJP_00081	gene	1119	xerC_1			
PABMBMJP_00081	CDS	1119	xerC_1			Tyrosine recombinase XerC
PABMBMJP_00082	gene	936				
PABMBMJP_00082	CDS	936				hypothetical protein
PABMBMJP_00083	gene	789	nadX			
PABMBMJP_00083	CDS	789	nadX	1.4.1.21		L-aspartate dehydrogenase
PABMBMJP_00084	gene	885	hpr_1			
PABMBMJP_00084	CDS	885	hpr_1	1.1.1.81	COG1052	Hydroxypyruvate reductase
PABMBMJP_00085	gene	783	djlA			
PABMBMJP_00085	CDS	783	djlA			Co-chaperone protein DjlA
PABMBMJP_00086	gene	1569	prfC			
PABMBMJP_00086	CDS	1569	prfC		COG4108	Peptide chain release factor 3
PABMBMJP_00087	gene	858	rmlD_1			
PABMBMJP_00087	CDS	858	rmlD_1	1.1.1.133		dTDP-4-dehydrorhamnose reductase
PABMBMJP_00088	gene	543				
PABMBMJP_00088	CDS	543				hypothetical protein
PABMBMJP_00089	gene	660				
PABMBMJP_00089	CDS	660				hypothetical protein
PABMBMJP_00090	gene	3705	purL			
PABMBMJP_00090	CDS	3705	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
PABMBMJP_00091	gene	4017	rcsC_1			
PABMBMJP_00091	CDS	4017	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
PABMBMJP_00092	gene	549				
PABMBMJP_00092	CDS	549				hypothetical protein
PABMBMJP_00093	gene	573	srpC			
PABMBMJP_00093	CDS	573	srpC		COG2059	putative chromate transport protein
PABMBMJP_00094	gene	1500				
PABMBMJP_00094	CDS	1500				hypothetical protein
PABMBMJP_00095	gene	2802	uvrA_1			
PABMBMJP_00095	CDS	2802	uvrA_1			UvrABC system protein A
PABMBMJP_00096	gene	1032				
PABMBMJP_00096	CDS	1032				hypothetical protein
PABMBMJP_00097	gene	2307				
PABMBMJP_00097	CDS	2307				hypothetical protein
PABMBMJP_00098	gene	492				
PABMBMJP_00098	CDS	492				hypothetical protein
PABMBMJP_00099	gene	222				
PABMBMJP_00099	CDS	222				hypothetical protein
PABMBMJP_00100	gene	1431				
PABMBMJP_00100	CDS	1431				hypothetical protein
PABMBMJP_00101	gene	1680				
PABMBMJP_00101	CDS	1680				hypothetical protein
PABMBMJP_00102	gene	216				
PABMBMJP_00102	CDS	216				hypothetical protein
PABMBMJP_00103	gene	999				
PABMBMJP_00103	CDS	999				hypothetical protein
PABMBMJP_00104	gene	594				
PABMBMJP_00104	CDS	594				hypothetical protein
PABMBMJP_00105	gene	1170	purM			
PABMBMJP_00105	CDS	1170	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
PABMBMJP_00106	gene	1116	prfA			
PABMBMJP_00106	CDS	1116	prfA		COG0216	Peptide chain release factor 1
PABMBMJP_00107	gene	819	pyrF			
PABMBMJP_00107	CDS	819	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
PABMBMJP_00108	gene	1236				
PABMBMJP_00108	CDS	1236				hypothetical protein
PABMBMJP_00109	gene	1041	lpxD			
PABMBMJP_00109	CDS	1041	lpxD	2.3.1.-	COG1044	UDP-3-O-acylglucosamine N-acyltransferase
PABMBMJP_00110	gene	1386	lpxC			
PABMBMJP_00110	CDS	1386	lpxC	3.5.1.108		UDP-3-O-acyl-N-acetylglucosamine deacetylase
PABMBMJP_00111	gene	768	lpxA_1			
PABMBMJP_00111	CDS	768	lpxA_1	2.3.1.129	COG1043	Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase
PABMBMJP_00112	gene	564				
PABMBMJP_00112	CDS	564				hypothetical protein
PABMBMJP_00113	gene	903	miaA_1			
PABMBMJP_00113	CDS	903	miaA_1	2.5.1.75	COG0324	tRNA dimethylallyltransferase
PABMBMJP_00114	gene	2040				
PABMBMJP_00114	CDS	2040				hypothetical protein
PABMBMJP_00115	gene	111				
PABMBMJP_00115	CDS	111				hypothetical protein
PABMBMJP_00116	gene	774				
PABMBMJP_00116	CDS	774				hypothetical protein
PABMBMJP_00117	gene	2109	resA_1			
PABMBMJP_00117	CDS	2109	resA_1			Thiol-disulfide oxidoreductase ResA
PABMBMJP_00118	gene	1191	resA_2			
PABMBMJP_00118	CDS	1191	resA_2			Thiol-disulfide oxidoreductase ResA
PABMBMJP_00119	gene	1344	bepA_1			
PABMBMJP_00119	CDS	1344	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
PABMBMJP_00120	gene	1887				
PABMBMJP_00120	CDS	1887				hypothetical protein
PABMBMJP_00121	gene	384				
PABMBMJP_00121	CDS	384				hypothetical protein
PABMBMJP_00122	gene	1224				
PABMBMJP_00122	CDS	1224		3.2.1.-		Unsaturated glucuronyl hydrolase
PABMBMJP_00123	gene	1650				
PABMBMJP_00123	CDS	1650		3.2.1.-		Beta-xylosidase
PABMBMJP_00124	gene	1938				
PABMBMJP_00124	CDS	1938		3.2.1.22		Retaining alpha-galactosidase
PABMBMJP_00125	gene	2637				
PABMBMJP_00125	CDS	2637				hypothetical protein
PABMBMJP_00126	gene	1086				
PABMBMJP_00126	CDS	1086				hypothetical protein
PABMBMJP_00127	gene	1923				
PABMBMJP_00127	CDS	1923				hypothetical protein
PABMBMJP_00128	gene	396				
PABMBMJP_00128	CDS	396				hypothetical protein
PABMBMJP_00129	gene	318				
PABMBMJP_00129	CDS	318				hypothetical protein
PABMBMJP_00130	gene	1089				
PABMBMJP_00130	CDS	1089				hypothetical protein
PABMBMJP_00131	gene	1296				
PABMBMJP_00131	CDS	1296				hypothetical protein
PABMBMJP_00132	gene	306				
PABMBMJP_00132	CDS	306				hypothetical protein
PABMBMJP_00133	gene	1323				
PABMBMJP_00133	CDS	1323				hypothetical protein
PABMBMJP_00134	gene	1077				
PABMBMJP_00134	CDS	1077				hypothetical protein
PABMBMJP_00135	gene	462				
PABMBMJP_00135	CDS	462				hypothetical protein
PABMBMJP_00136	gene	1212				
PABMBMJP_00136	CDS	1212				hypothetical protein
PABMBMJP_00137	gene	3078				
PABMBMJP_00137	CDS	3078				TonB-dependent receptor P39
PABMBMJP_00138	gene	546				
PABMBMJP_00138	CDS	546				hypothetical protein
PABMBMJP_00139	gene	1227				
PABMBMJP_00139	CDS	1227		3.2.1.-		Unsaturated glucuronyl hydrolase
PABMBMJP_00140	gene	2805				
PABMBMJP_00140	CDS	2805				hypothetical protein
PABMBMJP_00141	gene	75				
PABMBMJP_00141	tRNA	75				tRNA-Met(cat)
PABMBMJP_00142	gene	75				
PABMBMJP_00142	tRNA	75				tRNA-Met(cat)
PABMBMJP_00143	gene	387				
PABMBMJP_00143	CDS	387				hypothetical protein
PABMBMJP_00144	gene	1851				
PABMBMJP_00144	CDS	1851				hypothetical protein
PABMBMJP_00145	gene	1215	ribBA			
PABMBMJP_00145	CDS	1215	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
PABMBMJP_00146	gene	1194				
PABMBMJP_00146	CDS	1194		2.6.1.1		Aspartate/prephenate aminotransferase
PABMBMJP_00147	gene	168				
PABMBMJP_00147	CDS	168				Ferredoxin
PABMBMJP_00148	gene	2979	yfeW			
PABMBMJP_00148	CDS	2979	yfeW	3.4.16.4		Putative D-alanyl-D-alanine carboxypeptidase
PABMBMJP_00149	gene	843	yfkN_1			
PABMBMJP_00149	CDS	843	yfkN_1		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
PABMBMJP_00150	gene	780				
PABMBMJP_00150	CDS	780				hypothetical protein
PABMBMJP_00151	gene	354	rplS			
PABMBMJP_00151	CDS	354	rplS			50S ribosomal protein L19
PABMBMJP_00152	gene	219				
PABMBMJP_00152	CDS	219				hypothetical protein
PABMBMJP_00153	gene	4287	rcsC_2			
PABMBMJP_00153	CDS	4287	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
PABMBMJP_00154	gene	315	rhaM			
PABMBMJP_00154	CDS	315	rhaM	5.1.3.32		L-rhamnose mutarotase
PABMBMJP_00155	gene	1416				
PABMBMJP_00155	CDS	1416				hypothetical protein
PABMBMJP_00156	gene	1908	yesW			
PABMBMJP_00156	CDS	1908	yesW	4.2.2.23		Rhamnogalacturonan endolyase YesW
PABMBMJP_00157	gene	1389				
PABMBMJP_00157	CDS	1389				hypothetical protein
PABMBMJP_00158	gene	2352				
PABMBMJP_00158	CDS	2352				hypothetical protein
PABMBMJP_00159	gene	384				
PABMBMJP_00159	CDS	384				hypothetical protein
PABMBMJP_00160	gene	723				
PABMBMJP_00160	CDS	723				hypothetical protein
PABMBMJP_00161	gene	288				
PABMBMJP_00161	CDS	288				hypothetical protein
PABMBMJP_00162	gene	1551				
PABMBMJP_00162	CDS	1551				hypothetical protein
PABMBMJP_00163	gene	3300				
PABMBMJP_00163	CDS	3300				hypothetical protein
PABMBMJP_00164	gene	1644				
PABMBMJP_00164	CDS	1644				hypothetical protein
PABMBMJP_00165	gene	3006				
PABMBMJP_00165	CDS	3006		3.2.1.31		Beta-glucuronidase
PABMBMJP_00166	gene	2856				
PABMBMJP_00166	CDS	2856				hypothetical protein
PABMBMJP_00167	gene	1395	atsA_1			
PABMBMJP_00167	CDS	1395	atsA_1	3.1.6.1	COG3119	Arylsulfatase
PABMBMJP_00168	gene	1326				
PABMBMJP_00168	CDS	1326				hypothetical protein
PABMBMJP_00169	gene	651				
PABMBMJP_00169	CDS	651				hypothetical protein
PABMBMJP_00170	gene	1554				
PABMBMJP_00170	CDS	1554				hypothetical protein
PABMBMJP_00171	gene	795				
PABMBMJP_00171	CDS	795				hypothetical protein
PABMBMJP_00172	gene	1698				
PABMBMJP_00172	CDS	1698				SusD-like protein P25
PABMBMJP_00173	gene	2850				
PABMBMJP_00173	CDS	2850				TonB-dependent receptor P26
PABMBMJP_00174	gene	1977				
PABMBMJP_00174	CDS	1977				hypothetical protein
PABMBMJP_00175	gene	3183				
PABMBMJP_00175	CDS	3183				hypothetical protein
PABMBMJP_00176	gene	1182				
PABMBMJP_00176	CDS	1182				hypothetical protein
PABMBMJP_00177	gene	3141				
PABMBMJP_00177	CDS	3141				TonB-dependent receptor P39
PABMBMJP_00178	gene	2097				
PABMBMJP_00178	CDS	2097				hypothetical protein
PABMBMJP_00179	gene	210				
PABMBMJP_00179	CDS	210				hypothetical protein
PABMBMJP_00180	gene	741				
PABMBMJP_00180	CDS	741				hypothetical protein
PABMBMJP_00181	gene	1134				
PABMBMJP_00181	CDS	1134		3.2.1.-		Unsaturated 3S-rhamnoglycuronyl hydrolase
PABMBMJP_00182	gene	1656				
PABMBMJP_00182	CDS	1656				IS1182 family transposase ISBthe2
PABMBMJP_00183	gene	2115				
PABMBMJP_00183	CDS	2115		3.2.1.23		Beta-galactosidase
PABMBMJP_00184	gene	2355				
PABMBMJP_00184	CDS	2355				hypothetical protein
PABMBMJP_00185	gene	2868	lacZ_1			
PABMBMJP_00185	CDS	2868	lacZ_1	3.2.1.23		Beta-galactosidase
PABMBMJP_00186	gene	1275				
PABMBMJP_00186	CDS	1275				hypothetical protein
PABMBMJP_00187	gene	1485				
PABMBMJP_00187	CDS	1485				hypothetical protein
PABMBMJP_00188	gene	699				
PABMBMJP_00188	CDS	699				hypothetical protein
PABMBMJP_00189	gene	804				
PABMBMJP_00189	CDS	804				hypothetical protein
PABMBMJP_00190	gene	1428				
PABMBMJP_00190	CDS	1428				hypothetical protein
PABMBMJP_00191	gene	2763				
PABMBMJP_00191	CDS	2763		3.2.1.31		Putative beta-glucuronidase
