locus_tag	ftype	length_bp	gene	EC_number	COG	product
HHPFKALC_00001	gene	1584	asnB			
HHPFKALC_00001	CDS	1584	asnB	6.3.5.4	COG0367	Asparagine synthetase B [glutamine-hydrolyzing]
HHPFKALC_00002	gene	84				
HHPFKALC_00002	tRNA	84				tRNA-Leu(cag)
HHPFKALC_00003	gene	687				
HHPFKALC_00003	CDS	687				hypothetical protein
HHPFKALC_00004	gene	1269	galK_1			
HHPFKALC_00004	CDS	1269	galK_1	2.7.1.6	COG0153	Galactokinase
HHPFKALC_00005	gene	141				
HHPFKALC_00005	CDS	141				hypothetical protein
HHPFKALC_00006	gene	1626	dauA			
HHPFKALC_00006	CDS	1626	dauA		COG0659	C4-dicarboxylic acid transporter DauA
HHPFKALC_00007	gene	105				
HHPFKALC_00007	CDS	105				hypothetical protein
HHPFKALC_00008	gene	234				
HHPFKALC_00008	CDS	234				hypothetical protein
HHPFKALC_00009	gene	1818	btuD_1			
HHPFKALC_00009	CDS	1818	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
HHPFKALC_00010	gene	2094	btuD_2			
HHPFKALC_00010	CDS	2094	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
HHPFKALC_00011	gene	1119				
HHPFKALC_00011	CDS	1119				hypothetical protein
HHPFKALC_00012	gene	1473				
HHPFKALC_00012	CDS	1473				hypothetical protein
HHPFKALC_00013	gene	3474				
HHPFKALC_00013	CDS	3474				hypothetical protein
HHPFKALC_00014	gene	741				
HHPFKALC_00014	CDS	741				hypothetical protein
HHPFKALC_00015	gene	123				
HHPFKALC_00015	CDS	123				hypothetical protein
HHPFKALC_00016	gene	186				
HHPFKALC_00016	CDS	186				hypothetical protein
HHPFKALC_00017	gene	261				
HHPFKALC_00017	CDS	261				hypothetical protein
HHPFKALC_00018	gene	1470				
HHPFKALC_00018	CDS	1470		4.2.1.53	COG4716	Oleate hydratase
HHPFKALC_00019	gene	558				
HHPFKALC_00019	CDS	558				hypothetical protein
HHPFKALC_00020	gene	933				
HHPFKALC_00020	CDS	933				hypothetical protein
HHPFKALC_00021	gene	561				
HHPFKALC_00021	CDS	561				hypothetical protein
HHPFKALC_00022	gene	264				
HHPFKALC_00022	CDS	264				hypothetical protein
HHPFKALC_00023	gene	1059				
HHPFKALC_00023	CDS	1059				hypothetical protein
HHPFKALC_00024	gene	522				
HHPFKALC_00024	CDS	522				hypothetical protein
HHPFKALC_00025	gene	1281	galK_2			
HHPFKALC_00025	CDS	1281	galK_2	2.7.1.6	COG0153	Galactokinase
HHPFKALC_00026	gene	1011	mro_1			
HHPFKALC_00026	CDS	1011	mro_1	5.1.3.3	COG2017	Aldose 1-epimerase
HHPFKALC_00027	gene	354				
HHPFKALC_00027	CDS	354				hypothetical protein
HHPFKALC_00028	gene	639				
HHPFKALC_00028	CDS	639				hypothetical protein
HHPFKALC_00029	gene	2652	adhE_1			
HHPFKALC_00029	CDS	2652	adhE_1		COG1012	Aldehyde-alcohol dehydrogenase
HHPFKALC_00030	gene	1533				
HHPFKALC_00030	CDS	1533				hypothetical protein
HHPFKALC_00031	gene	627				
HHPFKALC_00031	CDS	627				hypothetical protein
HHPFKALC_00032	gene	1590	prfC			
HHPFKALC_00032	CDS	1590	prfC			Peptide chain release factor 3
HHPFKALC_00033	gene	1305				
HHPFKALC_00033	CDS	1305		3.4.11.-		Aminopeptidase 2
HHPFKALC_00034	gene	204	cspA			
HHPFKALC_00034	CDS	204	cspA		COG1278	Cold shock protein CspA
HHPFKALC_00035	gene	555				
HHPFKALC_00035	CDS	555				hypothetical protein
HHPFKALC_00036	gene	327				
HHPFKALC_00036	CDS	327				IS607 family transposase ISCbt3
HHPFKALC_00037	gene	1380	bglH_1			
HHPFKALC_00037	CDS	1380	bglH_1	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
HHPFKALC_00038	gene	879	ybbH_1			
HHPFKALC_00038	CDS	879	ybbH_1		COG1737	putative HTH-type transcriptional regulator YbbH
HHPFKALC_00039	gene	600	panT			
HHPFKALC_00039	CDS	600	panT		COG4684	Pantothenic acid transporter PanT
HHPFKALC_00040	gene	1185	undec1A			
HHPFKALC_00040	CDS	1185	undec1A	4.1.1.-		Cysteine/Cysteine sulfinic acid decarboxylase
HHPFKALC_00041	gene	264				
HHPFKALC_00041	CDS	264				hypothetical protein
HHPFKALC_00042	gene	591	ribU			
HHPFKALC_00042	CDS	591	ribU			Riboflavin transporter RibU
HHPFKALC_00043	gene	1326	yclM			
HHPFKALC_00043	CDS	1326	yclM	2.7.2.4	COG0527	Aspartokinase 3
HHPFKALC_00044	gene	789				
HHPFKALC_00044	CDS	789				hypothetical protein
HHPFKALC_00045	gene	1386	amyS			
HHPFKALC_00045	CDS	1386	amyS	3.2.1.1		Alpha-amylase
HHPFKALC_00046	gene	1449	bglC_1			
HHPFKALC_00046	CDS	1449	bglC_1	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglC
HHPFKALC_00047	gene	876				
HHPFKALC_00047	CDS	876				hypothetical protein
HHPFKALC_00048	gene	1221				
HHPFKALC_00048	CDS	1221				hypothetical protein
HHPFKALC_00049	gene	252				
HHPFKALC_00049	CDS	252				hypothetical protein
HHPFKALC_00050	gene	759	hisK_1			
HHPFKALC_00050	CDS	759	hisK_1	3.1.3.15	COG1387	Histidinol-phosphatase
HHPFKALC_00051	gene	894	thrB			
HHPFKALC_00051	CDS	894	thrB	2.7.1.39	COG0083	Homoserine kinase
HHPFKALC_00052	gene	1485	thrC			
HHPFKALC_00052	CDS	1485	thrC	4.2.3.1	COG0498	Threonine synthase
HHPFKALC_00053	gene	1017	asnA			
HHPFKALC_00053	CDS	1017	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
HHPFKALC_00054	gene	1899	nadE			
HHPFKALC_00054	CDS	1899	nadE	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
HHPFKALC_00055	gene	2553	addB			
HHPFKALC_00055	CDS	2553	addB	3.6.4.12		ATP-dependent helicase/deoxyribonuclease subunit B
HHPFKALC_00056	gene	3531	addA_1			
HHPFKALC_00056	CDS	3531	addA_1	3.1.-.-		ATP-dependent helicase/nuclease subunit A
HHPFKALC_00057	gene	303				
HHPFKALC_00057	CDS	303				hypothetical protein
HHPFKALC_00058	gene	1809	sasA_1			
HHPFKALC_00058	CDS	1809	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
HHPFKALC_00059	gene	663	srrA_1			
HHPFKALC_00059	CDS	663	srrA_1		COG0745	Transcriptional regulatory protein SrrA
HHPFKALC_00060	gene	1686	pgcA			
HHPFKALC_00060	CDS	1686	pgcA	5.4.2.2		Phosphoglucomutase
HHPFKALC_00061	gene	486	ybaK			
HHPFKALC_00061	CDS	486	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
HHPFKALC_00062	gene	663				
HHPFKALC_00062	CDS	663				hypothetical protein
HHPFKALC_00063	gene	978	dcyD			
HHPFKALC_00063	CDS	978	dcyD	4.4.1.15	COG2515	D-cysteine desulfhydrase
HHPFKALC_00064	gene	1125				
HHPFKALC_00064	CDS	1125				hypothetical protein
HHPFKALC_00065	gene	267	ptsH_1			
HHPFKALC_00065	CDS	267	ptsH_1		COG1925	Phosphocarrier protein HPr
HHPFKALC_00066	gene	456				
HHPFKALC_00066	CDS	456				hypothetical protein
HHPFKALC_00067	gene	1176				
HHPFKALC_00067	CDS	1176				hypothetical protein
HHPFKALC_00068	gene	1533				
HHPFKALC_00068	CDS	1533		2.7.8.-		Cardiolipin synthase
HHPFKALC_00069	gene	1056				
HHPFKALC_00069	CDS	1056				hypothetical protein
HHPFKALC_00070	gene	3021				
HHPFKALC_00070	CDS	3021				hypothetical protein
HHPFKALC_00071	gene	219				
HHPFKALC_00071	CDS	219				hypothetical protein
HHPFKALC_00072	gene	888				
HHPFKALC_00072	CDS	888				hypothetical protein
HHPFKALC_00073	gene	1827	typA			
HHPFKALC_00073	CDS	1827	typA		COG1217	GTP-binding protein TypA/BipA 
HHPFKALC_00074	gene	744	menH_1			
HHPFKALC_00074	CDS	744	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
HHPFKALC_00075	gene	735	cutC_1			
HHPFKALC_00075	CDS	735	cutC_1		COG3142	Copper homeostasis protein CutC
HHPFKALC_00076	gene	603				
HHPFKALC_00076	CDS	603				hypothetical protein
HHPFKALC_00077	gene	480				
HHPFKALC_00077	CDS	480				hypothetical protein
HHPFKALC_00078	gene	822				
HHPFKALC_00078	CDS	822				hypothetical protein
HHPFKALC_00079	gene	270				
HHPFKALC_00079	CDS	270				hypothetical protein
HHPFKALC_00080	gene	2367	nrdD_1			
HHPFKALC_00080	CDS	2367	nrdD_1	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
HHPFKALC_00081	gene	1146	queE			
HHPFKALC_00081	CDS	1146	queE	4.3.99.3		7-carboxy-7-deazaguanine synthase
HHPFKALC_00082	gene	954				
HHPFKALC_00082	CDS	954				hypothetical protein
HHPFKALC_00083	gene	768	zupT			
HHPFKALC_00083	CDS	768	zupT		COG0428	Zinc transporter ZupT
HHPFKALC_00084	gene	441				
HHPFKALC_00084	CDS	441				hypothetical protein
HHPFKALC_00085	gene	2346	der_1			
HHPFKALC_00085	CDS	2346	der_1			GTPase Der
HHPFKALC_00086	gene	522				
HHPFKALC_00086	CDS	522				hypothetical protein
HHPFKALC_00087	gene	534	bar			
HHPFKALC_00087	CDS	534	bar	2.3.1.183		Phosphinothricin N-acetyltransferase
HHPFKALC_00088	gene	888	ybbH_2			
HHPFKALC_00088	CDS	888	ybbH_2		COG1737	putative HTH-type transcriptional regulator YbbH
HHPFKALC_00089	gene	1401	licH			
HHPFKALC_00089	CDS	1401	licH	3.2.1.86	COG1486	putative 6-phospho-beta-glucosidase
