locus_tag	ftype	length_bp	gene	EC_number	COG	product
OGNIBHPJ_00001	gene	450				
OGNIBHPJ_00001	CDS	450				hypothetical protein
OGNIBHPJ_00002	gene	1680				
OGNIBHPJ_00002	CDS	1680				hypothetical protein
OGNIBHPJ_00003	gene	1200				
OGNIBHPJ_00003	CDS	1200				hypothetical protein
OGNIBHPJ_00004	gene	171				
OGNIBHPJ_00004	CDS	171				hypothetical protein
OGNIBHPJ_00005	gene	231				
OGNIBHPJ_00005	CDS	231				hypothetical protein
OGNIBHPJ_00006	gene	441				
OGNIBHPJ_00006	CDS	441			COG0789	putative HTH-type transcriptional regulator
OGNIBHPJ_00007	gene	765				
OGNIBHPJ_00007	CDS	765				hypothetical protein
OGNIBHPJ_00008	gene	291				
OGNIBHPJ_00008	CDS	291		2.4.2.-		Protein ADP-ribosyltransferase
OGNIBHPJ_00009	gene	285				
OGNIBHPJ_00009	CDS	285				hypothetical protein
OGNIBHPJ_00010	gene	918				
OGNIBHPJ_00010	CDS	918				hypothetical protein
OGNIBHPJ_00011	gene	531				
OGNIBHPJ_00011	CDS	531				hypothetical protein
OGNIBHPJ_00012	gene	2241	gyrA_1			
OGNIBHPJ_00012	CDS	2241	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
OGNIBHPJ_00013	gene	2097	gyrB_1			
OGNIBHPJ_00013	CDS	2097	gyrB_1	5.6.2.2	COG0187	DNA gyrase subunit B
OGNIBHPJ_00014	gene	1017				
OGNIBHPJ_00014	CDS	1017				hypothetical protein
OGNIBHPJ_00015	gene	231				
OGNIBHPJ_00015	CDS	231				hypothetical protein
OGNIBHPJ_00016	gene	585				
OGNIBHPJ_00016	CDS	585				hypothetical protein
OGNIBHPJ_00017	gene	4368				
OGNIBHPJ_00017	CDS	4368				hypothetical protein
OGNIBHPJ_00018	gene	1005				
OGNIBHPJ_00018	CDS	1005				hypothetical protein
OGNIBHPJ_00019	gene	381				
OGNIBHPJ_00019	CDS	381				hypothetical protein
OGNIBHPJ_00020	gene	321				
OGNIBHPJ_00020	CDS	321				hypothetical protein
OGNIBHPJ_00021	gene	624				
OGNIBHPJ_00021	CDS	624				hypothetical protein
OGNIBHPJ_00022	gene	255				
OGNIBHPJ_00022	CDS	255				hypothetical protein
OGNIBHPJ_00023	gene	627				
OGNIBHPJ_00023	CDS	627				hypothetical protein
OGNIBHPJ_00024	gene	429				
OGNIBHPJ_00024	CDS	429				hypothetical protein
OGNIBHPJ_00025	gene	1140	sasA_1			
OGNIBHPJ_00025	CDS	1140	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
OGNIBHPJ_00026	gene	675	mprA			
OGNIBHPJ_00026	CDS	675	mprA			Response regulator MprA
OGNIBHPJ_00027	gene	870				
OGNIBHPJ_00027	CDS	870				hypothetical protein
OGNIBHPJ_00028	gene	972	resA			
OGNIBHPJ_00028	CDS	972	resA			Thiol-disulfide oxidoreductase ResA
OGNIBHPJ_00029	gene	3255	btuD_1			
OGNIBHPJ_00029	CDS	3255	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
OGNIBHPJ_00030	gene	954	dusC			
OGNIBHPJ_00030	CDS	954	dusC	1.3.1.-	COG0042	tRNA-dihydrouridine(16) synthase
OGNIBHPJ_00031	gene	267				
OGNIBHPJ_00031	CDS	267				hypothetical protein
OGNIBHPJ_00032	gene	513				
OGNIBHPJ_00032	CDS	513				hypothetical protein
OGNIBHPJ_00033	gene	171				
OGNIBHPJ_00033	CDS	171				hypothetical protein
OGNIBHPJ_00034	gene	246				
OGNIBHPJ_00034	CDS	246				hypothetical protein
OGNIBHPJ_00035	gene	828				
OGNIBHPJ_00035	CDS	828				hypothetical protein
OGNIBHPJ_00036	gene	747	trmO			
OGNIBHPJ_00036	CDS	747	trmO	2.1.1.-	COG1720	tRNA (adenine(37)-N6)-methyltransferase
OGNIBHPJ_00037	gene	1215	patB			
OGNIBHPJ_00037	CDS	1215	patB	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
OGNIBHPJ_00038	gene	870	tcyA			
OGNIBHPJ_00038	CDS	870	tcyA		COG0834	L-cystine-binding protein TcyA
OGNIBHPJ_00039	gene	2193	rcsC_1			
OGNIBHPJ_00039	CDS	2193	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
OGNIBHPJ_00040	gene	480				
OGNIBHPJ_00040	CDS	480				hypothetical protein
OGNIBHPJ_00041	gene	2805	rcsC_2			
OGNIBHPJ_00041	CDS	2805	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
OGNIBHPJ_00042	gene	426				
OGNIBHPJ_00042	CDS	426				hypothetical protein
OGNIBHPJ_00043	gene	534				
OGNIBHPJ_00043	CDS	534		3.2.2.-	COG1611	Putative cytokinin riboside 5'-monophosphate phosphoribohydrolase
OGNIBHPJ_00044	gene	1305				
OGNIBHPJ_00044	CDS	1305				hypothetical protein
OGNIBHPJ_00045	gene	738				
OGNIBHPJ_00045	CDS	738				hypothetical protein
OGNIBHPJ_00046	gene	699				
OGNIBHPJ_00046	CDS	699				hypothetical protein
OGNIBHPJ_00047	gene	882	btuD_2			
OGNIBHPJ_00047	CDS	882	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
OGNIBHPJ_00048	gene	381	ytrA			
OGNIBHPJ_00048	CDS	381	ytrA		COG1725	HTH-type transcriptional repressor YtrA
OGNIBHPJ_00049	gene	1614	prfC			
OGNIBHPJ_00049	CDS	1614	prfC			Peptide chain release factor 3
OGNIBHPJ_00050	gene	723				
OGNIBHPJ_00050	CDS	723				queuosine precursor transporter
OGNIBHPJ_00051	gene	681	fabG_1			
OGNIBHPJ_00051	CDS	681	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
OGNIBHPJ_00052	gene	726	ung			
OGNIBHPJ_00052	CDS	726	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
OGNIBHPJ_00053	gene	903				
OGNIBHPJ_00053	CDS	903				hypothetical protein
OGNIBHPJ_00054	gene	867	gltC			
OGNIBHPJ_00054	CDS	867	gltC			HTH-type transcriptional regulator GltC
OGNIBHPJ_00055	gene	1383	mdtK			
OGNIBHPJ_00055	CDS	1383	mdtK			Multidrug resistance protein MdtK
OGNIBHPJ_00056	gene	816	rlmA			
OGNIBHPJ_00056	CDS	816	rlmA	2.1.1.187	COG0500	23S rRNA (guanine(745)-N(1))-methyltransferase
OGNIBHPJ_00057	gene	402				
OGNIBHPJ_00057	CDS	402				hypothetical protein
OGNIBHPJ_00058	gene	144				
OGNIBHPJ_00058	CDS	144				hypothetical protein
OGNIBHPJ_00059	gene	705	rsmJ			
OGNIBHPJ_00059	CDS	705	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
OGNIBHPJ_00060	gene	297				
OGNIBHPJ_00060	CDS	297				hypothetical protein
OGNIBHPJ_00061	gene	489				
OGNIBHPJ_00061	CDS	489				hypothetical protein
OGNIBHPJ_00062	gene	2004	tetO			
OGNIBHPJ_00062	CDS	2004	tetO			Tetracycline resistance protein TetO
OGNIBHPJ_00063	gene	1119				
OGNIBHPJ_00063	CDS	1119				hypothetical protein
OGNIBHPJ_00064	gene	555				
OGNIBHPJ_00064	CDS	555				hypothetical protein
OGNIBHPJ_00065	gene	2493	uvrA_1			
OGNIBHPJ_00065	CDS	2493	uvrA_1		COG0178	UvrABC system protein A
OGNIBHPJ_00066	gene	600	trmL			
OGNIBHPJ_00066	CDS	600	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
OGNIBHPJ_00067	gene	1131	yciC			
OGNIBHPJ_00067	CDS	1131	yciC		COG0523	Putative metal chaperone YciC
OGNIBHPJ_00068	gene	342				
OGNIBHPJ_00068	CDS	342				hypothetical protein
OGNIBHPJ_00069	gene	624	sgcG			
OGNIBHPJ_00069	CDS	624	sgcG	1.3.99.24		2-amino-4-deoxychorismate dehydrogenase
OGNIBHPJ_00070	gene	1530				
OGNIBHPJ_00070	CDS	1530				hypothetical protein
OGNIBHPJ_00071	gene	2718				
OGNIBHPJ_00071	CDS	2718				hypothetical protein
OGNIBHPJ_00072	gene	870				
OGNIBHPJ_00072	CDS	870				hypothetical protein
OGNIBHPJ_00073	gene	696	thiE			
OGNIBHPJ_00073	CDS	696	thiE	2.5.1.3	COG0352	Thiamine-phosphate synthase
OGNIBHPJ_00074	gene	342				
OGNIBHPJ_00074	CDS	342				hypothetical protein
OGNIBHPJ_00075	gene	840	thiM			
OGNIBHPJ_00075	CDS	840	thiM	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
OGNIBHPJ_00076	gene	909	cof_1			
OGNIBHPJ_00076	CDS	909	cof_1	3.6.1.-		HMP-PP phosphatase
OGNIBHPJ_00077	gene	897				
OGNIBHPJ_00077	CDS	897				hypothetical protein
OGNIBHPJ_00078	gene	1134	metE			
OGNIBHPJ_00078	CDS	1134	metE	2.1.1.14		5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
OGNIBHPJ_00079	gene	1335	pyrP			
OGNIBHPJ_00079	CDS	1335	pyrP			Uracil permease
OGNIBHPJ_00080	gene	666	ybbA			
OGNIBHPJ_00080	CDS	666	ybbA		COG2819	putative protein YbbA
OGNIBHPJ_00081	gene	1776				
OGNIBHPJ_00081	CDS	1776				hypothetical protein
OGNIBHPJ_00082	gene	1314	adeQ			
OGNIBHPJ_00082	CDS	1314	adeQ		COG2252	Adenine permease AdeQ
OGNIBHPJ_00083	gene	420	def_1			
OGNIBHPJ_00083	CDS	420	def_1	3.5.1.88		Peptide deformylase
OGNIBHPJ_00084	gene	966	cbh			
OGNIBHPJ_00084	CDS	966	cbh	3.5.1.24		Choloylglycine hydrolase
OGNIBHPJ_00085	gene	2250	kup_1			
OGNIBHPJ_00085	CDS	2250	kup_1			Low affinity potassium transport system protein kup
OGNIBHPJ_00086	gene	912				
OGNIBHPJ_00086	CDS	912				hypothetical protein
OGNIBHPJ_00087	gene	858	cmpR			
OGNIBHPJ_00087	CDS	858	cmpR		COG0583	HTH-type transcriptional activator CmpR
OGNIBHPJ_00088	gene	1521	alaA			
OGNIBHPJ_00088	CDS	1521	alaA	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaA
OGNIBHPJ_00089	gene	411	def_2			
OGNIBHPJ_00089	CDS	411	def_2	3.5.1.88		Peptide deformylase
OGNIBHPJ_00090	gene	894				
OGNIBHPJ_00090	CDS	894				hypothetical protein
OGNIBHPJ_00091	gene	588	pdxT			
OGNIBHPJ_00091	CDS	588	pdxT	4.3.3.6	COG0311	Pyridoxal 5'-phosphate synthase subunit PdxT
OGNIBHPJ_00092	gene	918	pdxS			
OGNIBHPJ_00092	CDS	918	pdxS	4.3.3.6	COG0214	Pyridoxal 5'-phosphate synthase subunit PdxS
OGNIBHPJ_00093	gene	1416	gabR			
OGNIBHPJ_00093	CDS	1416	gabR		COG1167	HTH-type transcriptional regulatory protein GabR
OGNIBHPJ_00094	gene	561	rbr3A			
OGNIBHPJ_00094	CDS	561	rbr3A	1.11.1.1	COG1592	Reverse rubrerythrin-1
OGNIBHPJ_00095	gene	1221	adhB			
OGNIBHPJ_00095	CDS	1221	adhB	1.1.1.1		Alcohol dehydrogenase 2
OGNIBHPJ_00096	gene	1380	aldH1			
OGNIBHPJ_00096	CDS	1380	aldH1	1.2.1.-	COG1012	4,4'-diaponeurosporen-aldehyde dehydrogenase
OGNIBHPJ_00097	gene	192				
OGNIBHPJ_00097	CDS	192				hypothetical protein
OGNIBHPJ_00098	gene	546				
OGNIBHPJ_00098	CDS	546				hypothetical protein
OGNIBHPJ_00099	gene	765				
OGNIBHPJ_00099	CDS	765		3.5.1.-	COG3394	Carbohydrate deacetylase
OGNIBHPJ_00100	gene	1758				
OGNIBHPJ_00100	CDS	1758				hypothetical protein
OGNIBHPJ_00101	gene	2682				
OGNIBHPJ_00101	CDS	2682				hypothetical protein
OGNIBHPJ_00102	gene	840	trmB			
OGNIBHPJ_00102	CDS	840	trmB	2.1.1.33		tRNA (guanine-N(7)-)-methyltransferase
OGNIBHPJ_00103	gene	996				
OGNIBHPJ_00103	CDS	996				hypothetical protein
OGNIBHPJ_00104	gene	723				
OGNIBHPJ_00104	CDS	723				hypothetical protein
OGNIBHPJ_00105	gene	900				
OGNIBHPJ_00105	CDS	900				hypothetical protein
OGNIBHPJ_00106	gene	1908				
OGNIBHPJ_00106	CDS	1908				hypothetical protein
OGNIBHPJ_00107	gene	879	speE			
OGNIBHPJ_00107	CDS	879	speE	2.5.1.16		Polyamine aminopropyltransferase
OGNIBHPJ_00108	gene	2445	srmB_1			
OGNIBHPJ_00108	CDS	2445	srmB_1	3.6.4.13		ATP-dependent RNA helicase SrmB
OGNIBHPJ_00109	gene	1305				
OGNIBHPJ_00109	CDS	1305				hypothetical protein
OGNIBHPJ_00110	gene	1752				
OGNIBHPJ_00110	CDS	1752				hypothetical protein
OGNIBHPJ_00111	gene	717	ydfK			
OGNIBHPJ_00111	CDS	717	ydfK		COG1811	putative membrane protein YdfK
OGNIBHPJ_00112	gene	1431				
OGNIBHPJ_00112	CDS	1431				hypothetical protein
OGNIBHPJ_00113	gene	216				
OGNIBHPJ_00113	CDS	216				hypothetical protein
OGNIBHPJ_00114	gene	600				
OGNIBHPJ_00114	CDS	600				hypothetical protein
OGNIBHPJ_00115	gene	510				
OGNIBHPJ_00115	CDS	510				hypothetical protein
OGNIBHPJ_00116	gene	297				
OGNIBHPJ_00116	CDS	297				hypothetical protein
OGNIBHPJ_00117	gene	1602				
OGNIBHPJ_00117	CDS	1602		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
OGNIBHPJ_00118	gene	816	carD			
OGNIBHPJ_00118	CDS	816	carD	1.3.1.108	COG2086	Caffeyl-CoA reductase-Etf complex subunit CarD
OGNIBHPJ_00119	gene	1206	carE			
OGNIBHPJ_00119	CDS	1206	carE	1.3.1.108	COG2025	Caffeyl-CoA reductase-Etf complex subunit CarE
OGNIBHPJ_00120	gene	813				
OGNIBHPJ_00120	CDS	813				hypothetical protein
OGNIBHPJ_00121	gene	657				
OGNIBHPJ_00121	CDS	657				hypothetical protein
OGNIBHPJ_00122	gene	324				
OGNIBHPJ_00122	CDS	324				hypothetical protein
OGNIBHPJ_00123	gene	1023	kdgT_1			
OGNIBHPJ_00123	CDS	1023	kdgT_1			2-keto-3-deoxygluconate permease
OGNIBHPJ_00124	gene	1152				
OGNIBHPJ_00124	CDS	1152				hypothetical protein
OGNIBHPJ_00125	gene	936				
OGNIBHPJ_00125	CDS	936				hypothetical protein
OGNIBHPJ_00126	gene	3747	purL			
OGNIBHPJ_00126	CDS	3747	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
OGNIBHPJ_00127	gene	1563	kefB			
