locus_tag	ftype	length_bp	gene	EC_number	COG	product
NPGEAEMP_00001	gene	1146	fadJ			
NPGEAEMP_00001	CDS	1146	fadJ		COG1024	Fatty acid oxidation complex subunit alpha
NPGEAEMP_00002	gene	486	sixA			
NPGEAEMP_00002	CDS	486	sixA	3.1.3.-	COG2062	Phosphohistidine phosphatase SixA
NPGEAEMP_00003	gene	552	mutS2			
NPGEAEMP_00003	CDS	552	mutS2	3.1.-.-		Endonuclease MutS2
NPGEAEMP_00004	gene	933	prmB			
NPGEAEMP_00004	CDS	933	prmB	2.1.1.298	COG2890	50S ribosomal protein L3 glutamine methyltransferase
NPGEAEMP_00005	gene	1086	aroC			
NPGEAEMP_00005	CDS	1086	aroC	4.2.3.5	COG0082	Chorismate synthase
NPGEAEMP_00006	gene	825	mepA			
NPGEAEMP_00006	CDS	825	mepA	3.4.24.-	COG3770	Penicillin-insensitive murein endopeptidase
NPGEAEMP_00007	gene	810	yfcA_1			
NPGEAEMP_00007	CDS	810	yfcA_1		COG0730	putative membrane transporter protein YfcA
NPGEAEMP_00008	gene	549	epmC			
NPGEAEMP_00008	CDS	549	epmC	1.14.-.-	COG3101	Elongation factor P hydroxylase
NPGEAEMP_00009	gene	279				
NPGEAEMP_00009	CDS	279				hypothetical protein
NPGEAEMP_00010	gene	2004	mnmC			
NPGEAEMP_00010	CDS	2004	mnmC		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
NPGEAEMP_00011	gene	1221	fabB			
NPGEAEMP_00011	CDS	1221	fabB	2.3.1.41	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 1
NPGEAEMP_00012	gene	1179	yfcJ			
NPGEAEMP_00012	CDS	1179	yfcJ			putative MFS-type transporter YfcJ
NPGEAEMP_00013	gene	1008	flk			
NPGEAEMP_00013	CDS	1008	flk			Flagellar regulator flk
NPGEAEMP_00014	gene	1137	pdxB			
NPGEAEMP_00014	CDS	1137	pdxB	1.1.1.290	COG0111	Erythronate-4-phosphate dehydrogenase
NPGEAEMP_00015	gene	1014	usg			
NPGEAEMP_00015	CDS	1014	usg		COG0136	USG-1 protein
NPGEAEMP_00016	gene	813	truA			
NPGEAEMP_00016	CDS	813	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
NPGEAEMP_00017	gene	660	dedA			
NPGEAEMP_00017	CDS	660	dedA		COG0586	Protein DedA
NPGEAEMP_00018	gene	915	accD			
NPGEAEMP_00018	CDS	915	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
NPGEAEMP_00019	gene	1269	folC			
NPGEAEMP_00019	CDS	1269	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
NPGEAEMP_00020	gene	672	dedD			
NPGEAEMP_00020	CDS	672	dedD			Cell division protein DedD
NPGEAEMP_00021	gene	174				
NPGEAEMP_00021	CDS	174				hypothetical protein
NPGEAEMP_00022	gene	489	cvpA			
NPGEAEMP_00022	CDS	489	cvpA		COG1286	Colicin V production protein
NPGEAEMP_00023	gene	1518	purF			
NPGEAEMP_00023	CDS	1518	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
NPGEAEMP_00024	gene	1968	hypBA1_1			
NPGEAEMP_00024	CDS	1968	hypBA1_1	3.2.1.185		Non-reducing end beta-L-arabinofuranosidase
NPGEAEMP_00025	gene	1404	yicJ_1			
NPGEAEMP_00025	CDS	1404	yicJ_1		COG2211	Inner membrane symporter YicJ
NPGEAEMP_00026	gene	1014	cytR_1			
NPGEAEMP_00026	CDS	1014	cytR_1		COG1609	HTH-type transcriptional repressor CytR
NPGEAEMP_00027	gene	570	ubiX			
NPGEAEMP_00027	CDS	570	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
NPGEAEMP_00028	gene	783	argT			
NPGEAEMP_00028	CDS	783	argT		COG0834	Lysine/arginine/ornithine-binding periplasmic protein
NPGEAEMP_00029	gene	783	hisJ			
NPGEAEMP_00029	CDS	783	hisJ		COG0834	Histidine-binding periplasmic protein
NPGEAEMP_00030	gene	687	hisQ			
NPGEAEMP_00030	CDS	687	hisQ		COG4215	Histidine transport system permease protein HisQ
NPGEAEMP_00031	gene	714	hisM			
NPGEAEMP_00031	CDS	714	hisM		COG4160	Histidine transport system permease protein HisM
NPGEAEMP_00032	gene	774	hisP			
NPGEAEMP_00032	CDS	774	hisP		COG4598	Histidine transport ATP-binding protein HisP
NPGEAEMP_00033	gene	519				
NPGEAEMP_00033	CDS	519				hypothetical protein
NPGEAEMP_00034	gene	894				
NPGEAEMP_00034	CDS	894				Epimerase family protein
NPGEAEMP_00035	gene	363	folX			
NPGEAEMP_00035	CDS	363	folX	5.1.99.7	COG1539	Dihydroneopterin triphosphate 2'-epimerase
NPGEAEMP_00036	gene	636	yfcG			
NPGEAEMP_00036	CDS	636	yfcG	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
NPGEAEMP_00037	gene	645	yfcF			
NPGEAEMP_00037	CDS	645	yfcF	2.5.1.18	COG0625	Glutathione S-transferase YfcF
NPGEAEMP_00038	gene	552	yfcE			
NPGEAEMP_00038	CDS	552	yfcE	3.1.4.-	COG0622	Phosphodiesterase YfcE
NPGEAEMP_00039	gene	555	yfcD			
NPGEAEMP_00039	CDS	555	yfcD	3.6.-.-		putative Nudix hydrolase YfcD
NPGEAEMP_00040	gene	1521				
NPGEAEMP_00040	CDS	1521				hypothetical protein
NPGEAEMP_00041	gene	2145	pta			
NPGEAEMP_00041	CDS	2145	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
NPGEAEMP_00042	gene	1203	ackA			
NPGEAEMP_00042	CDS	1203	ackA	2.7.2.1	COG0282	Acetate kinase
NPGEAEMP_00043	gene	456				
NPGEAEMP_00043	CDS	456				hypothetical protein
NPGEAEMP_00044	gene	495				
NPGEAEMP_00044	CDS	495				hypothetical protein
NPGEAEMP_00045	gene	699	hxpA			
NPGEAEMP_00045	CDS	699	hxpA	3.1.3.22	COG0637	Hexitol phosphatase A
NPGEAEMP_00046	gene	1833				
NPGEAEMP_00046	CDS	1833				hypothetical protein
NPGEAEMP_00047	gene	600	yfbR			
NPGEAEMP_00047	CDS	600	yfbR	3.1.3.89	COG1896	5'-deoxynucleotidase YfbR
NPGEAEMP_00048	gene	1218	alaA			
NPGEAEMP_00048	CDS	1218	alaA	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaA
NPGEAEMP_00049	gene	939	hdfR_1			
NPGEAEMP_00049	CDS	939	hdfR_1			HTH-type transcriptional regulator HdfR
NPGEAEMP_00050	gene	444	ndhC			
NPGEAEMP_00050	CDS	444	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3, chloroplastic
NPGEAEMP_00051	gene	663	nuoB			
NPGEAEMP_00051	CDS	663	nuoB	7.1.1.-	COG0377	NADH-quinone oxidoreductase subunit B
NPGEAEMP_00052	gene	1803	nuoC			
NPGEAEMP_00052	CDS	1803	nuoC	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit C/D
NPGEAEMP_00053	gene	501	nuoE			
NPGEAEMP_00053	CDS	501	nuoE	7.1.1.-	COG1905	NADH-quinone oxidoreductase subunit E
NPGEAEMP_00054	gene	1338	nuoF			
NPGEAEMP_00054	CDS	1338	nuoF	7.1.1.-	COG1894	NADH-quinone oxidoreductase subunit F
NPGEAEMP_00055	gene	2736	nuoG			
NPGEAEMP_00055	CDS	2736	nuoG	7.1.1.-	COG1034	NADH-quinone oxidoreductase subunit G
NPGEAEMP_00056	gene	978	nuoH			
NPGEAEMP_00056	CDS	978	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
NPGEAEMP_00057	gene	543	nuoI			
NPGEAEMP_00057	CDS	543	nuoI	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
NPGEAEMP_00058	gene	555	nuoJ			
NPGEAEMP_00058	CDS	555	nuoJ	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
NPGEAEMP_00059	gene	303	nuoK			
NPGEAEMP_00059	CDS	303	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
NPGEAEMP_00060	gene	1842	nuoL			
NPGEAEMP_00060	CDS	1842	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
NPGEAEMP_00061	gene	1530	nuoM			
