locus_tag	ftype	length_bp	gene	EC_number	COG	product
NIBEIMBM_00001	gene	1194				
NIBEIMBM_00001	CDS	1194				hypothetical protein
NIBEIMBM_00002	gene	771				
NIBEIMBM_00002	CDS	771				hypothetical protein
NIBEIMBM_00003	gene	360				
NIBEIMBM_00003	CDS	360				hypothetical protein
NIBEIMBM_00004	gene	201	cspA			
NIBEIMBM_00004	CDS	201	cspA		COG1278	Cold shock protein CspA
NIBEIMBM_00005	gene	681				
NIBEIMBM_00005	CDS	681				hypothetical protein
NIBEIMBM_00006	gene	930				
NIBEIMBM_00006	CDS	930				hypothetical protein
NIBEIMBM_00007	gene	201				
NIBEIMBM_00007	CDS	201				hypothetical protein
NIBEIMBM_00008	gene	738	ycdX			
NIBEIMBM_00008	CDS	738	ycdX	3.1.3.-	COG1387	putative phosphatase YcdX
NIBEIMBM_00009	gene	294				
NIBEIMBM_00009	CDS	294				hypothetical protein
NIBEIMBM_00010	gene	603				
NIBEIMBM_00010	CDS	603				hypothetical protein
NIBEIMBM_00011	gene	2253	pcrA			
NIBEIMBM_00011	CDS	2253	pcrA	3.6.4.12		ATP-dependent DNA helicase PcrA
NIBEIMBM_00012	gene	249				
NIBEIMBM_00012	CDS	249				hypothetical protein
NIBEIMBM_00013	gene	1386	rlmCD_1			
NIBEIMBM_00013	CDS	1386	rlmCD_1	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
NIBEIMBM_00014	gene	978	birA_1			
NIBEIMBM_00014	CDS	978	birA_1	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
NIBEIMBM_00015	gene	1029	dnaJ_1			
NIBEIMBM_00015	CDS	1029	dnaJ_1		COG0484	Chaperone protein DnaJ
NIBEIMBM_00016	gene	1596	nfdA			
NIBEIMBM_00016	CDS	1596	nfdA	3.5.1.91		N-substituted formamide deformylase
NIBEIMBM_00017	gene	1152	rlmCD_2			
NIBEIMBM_00017	CDS	1152	rlmCD_2	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
NIBEIMBM_00018	gene	474	ogt_1			
NIBEIMBM_00018	CDS	474	ogt_1	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
NIBEIMBM_00019	gene	630				
NIBEIMBM_00019	CDS	630				hypothetical protein
NIBEIMBM_00020	gene	228				
NIBEIMBM_00020	CDS	228				hypothetical protein
NIBEIMBM_00021	gene	480				
NIBEIMBM_00021	CDS	480				hypothetical protein
NIBEIMBM_00022	gene	828				
NIBEIMBM_00022	CDS	828				hypothetical protein
NIBEIMBM_00023	gene	1950	fbp			
NIBEIMBM_00023	CDS	1950	fbp	3.1.3.11		Fructose-1,6-bisphosphatase class 3
NIBEIMBM_00024	gene	993	gpr_1			
NIBEIMBM_00024	CDS	993	gpr_1	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
NIBEIMBM_00025	gene	888	melR_1			
NIBEIMBM_00025	CDS	888	melR_1			Melibiose operon regulatory protein
NIBEIMBM_00026	gene	1164	galK			
NIBEIMBM_00026	CDS	1164	galK	2.7.1.6	COG0153	Galactokinase
NIBEIMBM_00027	gene	1491	galT			
NIBEIMBM_00027	CDS	1491	galT	2.7.7.12		Galactose-1-phosphate uridylyltransferase
NIBEIMBM_00028	gene	1743	rqcH			
NIBEIMBM_00028	CDS	1743	rqcH			Rqc2 RqcH
NIBEIMBM_00029	gene	879				
NIBEIMBM_00029	CDS	879				hypothetical protein
NIBEIMBM_00030	gene	627	gmk_1			
NIBEIMBM_00030	CDS	627	gmk_1	2.7.4.8		Guanylate kinase
NIBEIMBM_00031	gene	243	rpoZ			
NIBEIMBM_00031	CDS	243	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
NIBEIMBM_00032	gene	1323	rimO			
NIBEIMBM_00032	CDS	1323	rimO	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
NIBEIMBM_00033	gene	546	pgsA_1			
NIBEIMBM_00033	CDS	546	pgsA_1	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
NIBEIMBM_00034	gene	1269	cinA_1			
NIBEIMBM_00034	CDS	1269	cinA_1		COG1058	Putative competence-damage inducible protein
NIBEIMBM_00035	gene	693				
NIBEIMBM_00035	CDS	693				hypothetical protein
NIBEIMBM_00036	gene	1011				
NIBEIMBM_00036	CDS	1011				hypothetical protein
NIBEIMBM_00037	gene	939				
NIBEIMBM_00037	CDS	939				hypothetical protein
NIBEIMBM_00038	gene	1599				
NIBEIMBM_00038	CDS	1599				hypothetical protein
NIBEIMBM_00039	gene	969	nikB_1			
NIBEIMBM_00039	CDS	969	nikB_1		COG0601	Nickel transport system permease protein NikB
NIBEIMBM_00040	gene	918	oppC_1			
NIBEIMBM_00040	CDS	918	oppC_1		COG1173	Oligopeptide transport system permease protein OppC
NIBEIMBM_00041	gene	1026	oppD_1			
NIBEIMBM_00041	CDS	1026	oppD_1		COG0444	Oligopeptide transport ATP-binding protein OppD
NIBEIMBM_00042	gene	993	oppF_1			
NIBEIMBM_00042	CDS	993	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
NIBEIMBM_00043	gene	1206	patB_1			
NIBEIMBM_00043	CDS	1206	patB_1	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
NIBEIMBM_00044	gene	1308				
NIBEIMBM_00044	CDS	1308				hypothetical protein
NIBEIMBM_00045	gene	1395	rarA			
NIBEIMBM_00045	CDS	1395	rarA		COG2256	Replication-associated recombination protein A
NIBEIMBM_00046	gene	1467				
NIBEIMBM_00046	CDS	1467				hypothetical protein
NIBEIMBM_00047	gene	1449	rsxB_1			
NIBEIMBM_00047	CDS	1449	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
NIBEIMBM_00048	gene	1347				
NIBEIMBM_00048	CDS	1347				Nucleobase transporter PlUacP
NIBEIMBM_00049	gene	870				
NIBEIMBM_00049	CDS	870				hypothetical protein
NIBEIMBM_00050	gene	2112	glgX_1			
NIBEIMBM_00050	CDS	2112	glgX_1	3.2.1.-	COG1523	Glycogen operon protein GlgX 
NIBEIMBM_00051	gene	312				
NIBEIMBM_00051	CDS	312				hypothetical protein
NIBEIMBM_00052	gene	1560	clsA_1			
NIBEIMBM_00052	CDS	1560	clsA_1	2.7.8.-	COG1502	Major cardiolipin synthase ClsA
NIBEIMBM_00053	gene	1275	purA			
NIBEIMBM_00053	CDS	1275	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
NIBEIMBM_00054	gene	1011	asnA			
NIBEIMBM_00054	CDS	1011	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
NIBEIMBM_00055	gene	153				
NIBEIMBM_00055	CDS	153				hypothetical protein
NIBEIMBM_00056	gene	234				
