locus_tag	ftype	length_bp	gene	EC_number	COG	product
CCPIEFDM_00001	gene	1176				
CCPIEFDM_00001	CDS	1176				IS110 family transposase ISFnu3
CCPIEFDM_00002	gene	2103				
CCPIEFDM_00002	CDS	2103				hypothetical protein
CCPIEFDM_00003	gene	1497				
CCPIEFDM_00003	CDS	1497				hypothetical protein
CCPIEFDM_00004	gene	1977				
CCPIEFDM_00004	CDS	1977				hypothetical protein
CCPIEFDM_00005	gene	948				
CCPIEFDM_00005	CDS	948				hypothetical protein
CCPIEFDM_00006	gene	516	aroK			
CCPIEFDM_00006	CDS	516	aroK	2.7.1.71	COG0703	Shikimate kinase
CCPIEFDM_00007	gene	762	aroD			
CCPIEFDM_00007	CDS	762	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
CCPIEFDM_00008	gene	870	aroE			
CCPIEFDM_00008	CDS	870	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
CCPIEFDM_00009	gene	1029	aroG			
CCPIEFDM_00009	CDS	1029	aroG	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive
CCPIEFDM_00010	gene	888	xerD			
CCPIEFDM_00010	CDS	888	xerD			Tyrosine recombinase XerD
CCPIEFDM_00011	gene	609				
CCPIEFDM_00011	CDS	609				hypothetical protein
CCPIEFDM_00012	gene	549	act			
CCPIEFDM_00012	CDS	549	act	3.-.-.-		Methanol dehydrogenase activator
CCPIEFDM_00013	gene	798	proC			
CCPIEFDM_00013	CDS	798	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
CCPIEFDM_00014	gene	474				
CCPIEFDM_00014	CDS	474				hypothetical protein
CCPIEFDM_00015	gene	1548	rny			
CCPIEFDM_00015	CDS	1548	rny	3.1.-.-	COG1418	Ribonuclease Y
CCPIEFDM_00016	gene	597	recX			
CCPIEFDM_00016	CDS	597	recX			Regulatory protein RecX
CCPIEFDM_00017	gene	1041	recA			
CCPIEFDM_00017	CDS	1041	recA			Protein RecA
CCPIEFDM_00018	gene	318	trxA			
CCPIEFDM_00018	CDS	318	trxA		COG0526	Thioredoxin
CCPIEFDM_00019	gene	1578	prfC			
CCPIEFDM_00019	CDS	1578	prfC			Peptide chain release factor 3
CCPIEFDM_00020	gene	1161	deoB_1			
CCPIEFDM_00020	CDS	1161	deoB_1	5.4.2.7		Phosphopentomutase
CCPIEFDM_00021	gene	2439	metH			
CCPIEFDM_00021	CDS	2439	metH	2.1.1.13	COG0646	Methionine synthase
CCPIEFDM_00022	gene	1815	yitJ			
CCPIEFDM_00022	CDS	1815	yitJ		COG0646	Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase
CCPIEFDM_00023	gene	576				
CCPIEFDM_00023	CDS	576				hypothetical protein
CCPIEFDM_00024	gene	438				
CCPIEFDM_00024	CDS	438				hypothetical protein
CCPIEFDM_00025	gene	303				
CCPIEFDM_00025	CDS	303				hypothetical protein
CCPIEFDM_00026	gene	1797				
CCPIEFDM_00026	CDS	1797				hypothetical protein
CCPIEFDM_00027	gene	86				
CCPIEFDM_00027	tRNA	86				tRNA-Leu(aag)
CCPIEFDM_00028	gene	945	aptB_1			
CCPIEFDM_00028	CDS	945	aptB_1	2.2.1.-	COG3958	Apulose-4-phosphate transketolase subunit B
CCPIEFDM_00029	gene	837	aptA_1			
CCPIEFDM_00029	CDS	837	aptA_1	2.2.1.-	COG3959	Apulose-4-phosphate transketolase subunit A
CCPIEFDM_00030	gene	1047	ydjJ_1			
CCPIEFDM_00030	CDS	1047	ydjJ_1	1.-.-.-	COG1063	putative zinc-type alcohol dehydrogenase-like protein YdjJ
CCPIEFDM_00031	gene	1482	xylB_1			
CCPIEFDM_00031	CDS	1482	xylB_1	2.7.1.17	COG1070	Xylulose kinase
CCPIEFDM_00032	gene	951	rbsC_1			
CCPIEFDM_00032	CDS	951	rbsC_1		COG1172	Ribose import permease protein RbsC
CCPIEFDM_00033	gene	1491	rbsA_1			
CCPIEFDM_00033	CDS	1491	rbsA_1	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
CCPIEFDM_00034	gene	1095	rbsB_1			
CCPIEFDM_00034	CDS	1095	rbsB_1		COG1879	Ribose import binding protein RbsB
CCPIEFDM_00035	gene	1200	nagC			
CCPIEFDM_00035	CDS	1200	nagC		COG1940	N-acetylglucosamine repressor
CCPIEFDM_00036	gene	84				
CCPIEFDM_00036	tRNA	84				tRNA-Leu(cag)
CCPIEFDM_00037	gene	723	zupT_1			
CCPIEFDM_00037	CDS	723	zupT_1			Zinc transporter ZupT
CCPIEFDM_00038	gene	783	sigG			
CCPIEFDM_00038	CDS	783	sigG		COG1191	RNA polymerase sigma-G factor
CCPIEFDM_00039	gene	1602				
CCPIEFDM_00039	CDS	1602		3.1.-.-	COG1236	Ribonuclease
CCPIEFDM_00040	gene	900	rbsB_2			
CCPIEFDM_00040	CDS	900	rbsB_2		COG1879	Ribose import binding protein RbsB
CCPIEFDM_00041	gene	741	sigE			
CCPIEFDM_00041	CDS	741	sigE		COG1191	RNA polymerase sigma-E factor
CCPIEFDM_00042	gene	786	spoIIGA			
CCPIEFDM_00042	CDS	786	spoIIGA	3.4.23.-		Sporulation sigma-E factor-processing peptidase
CCPIEFDM_00043	gene	1212	ftsZ_1			
CCPIEFDM_00043	CDS	1212	ftsZ_1		COG0206	Cell division protein FtsZ
CCPIEFDM_00044	gene	735	divIB			
CCPIEFDM_00044	CDS	735	divIB			Cell division protein DivIB
CCPIEFDM_00045	gene	1251	murAA			
CCPIEFDM_00045	CDS	1251	murAA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1
CCPIEFDM_00046	gene	1113	ftsW			
CCPIEFDM_00046	CDS	1113	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
CCPIEFDM_00047	gene	1362	murD			
CCPIEFDM_00047	CDS	1362	murD	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
CCPIEFDM_00048	gene	966	mraY			
CCPIEFDM_00048	CDS	966	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
CCPIEFDM_00049	gene	1725	spoVD_1			
CCPIEFDM_00049	CDS	1725	spoVD_1		COG0768	Stage V sporulation protein D
CCPIEFDM_00050	gene	1974	spoVD_2			
CCPIEFDM_00050	CDS	1974	spoVD_2		COG0768	Stage V sporulation protein D
CCPIEFDM_00051	gene	519	ftsL			
CCPIEFDM_00051	CDS	519	ftsL			Cell division protein FtsL
CCPIEFDM_00052	gene	942	rsmH			
CCPIEFDM_00052	CDS	942	rsmH	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
CCPIEFDM_00053	gene	432	mraZ			
CCPIEFDM_00053	CDS	432	mraZ			Transcriptional regulator MraZ
CCPIEFDM_00054	gene	195				
CCPIEFDM_00054	CDS	195				hypothetical protein
CCPIEFDM_00055	gene	888	lgt_1			
CCPIEFDM_00055	CDS	888	lgt_1	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
CCPIEFDM_00056	gene	588				
CCPIEFDM_00056	CDS	588				hypothetical protein
CCPIEFDM_00057	gene	315				
CCPIEFDM_00057	CDS	315				hypothetical protein
CCPIEFDM_00058	gene	1347	mdtK_1			
CCPIEFDM_00058	CDS	1347	mdtK_1		COG0534	Multidrug resistance protein MdtK
CCPIEFDM_00059	gene	741	lutR_1			
CCPIEFDM_00059	CDS	741	lutR_1		COG2186	HTH-type transcriptional regulator LutR
CCPIEFDM_00060	gene	1743	dap_1			
CCPIEFDM_00060	CDS	1743	dap_1	3.4.11.19		D-aminopeptidase
CCPIEFDM_00061	gene	699	walR_1			
CCPIEFDM_00061	CDS	699	walR_1		COG0745	Transcriptional regulatory protein WalR
CCPIEFDM_00062	gene	1110	rcsC_1			
CCPIEFDM_00062	CDS	1110	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
CCPIEFDM_00063	gene	576				
CCPIEFDM_00063	CDS	576				hypothetical protein
CCPIEFDM_00064	gene	180				
CCPIEFDM_00064	CDS	180				hypothetical protein
CCPIEFDM_00065	gene	90				
CCPIEFDM_00065	CDS	90				hypothetical protein
CCPIEFDM_00066	gene	201				
CCPIEFDM_00066	CDS	201				hypothetical protein
CCPIEFDM_00067	gene	993				
CCPIEFDM_00067	CDS	993				hypothetical protein
CCPIEFDM_00068	gene	795				
CCPIEFDM_00068	CDS	795				hypothetical protein
CCPIEFDM_00069	gene	660				
CCPIEFDM_00069	CDS	660				hypothetical protein
CCPIEFDM_00070	gene	1329	mleN_1			
CCPIEFDM_00070	CDS	1329	mleN_1		COG1757	Malate-2H(+)/Na(+)-lactate antiporter
CCPIEFDM_00071	gene	831	nfo			
CCPIEFDM_00071	CDS	831	nfo	3.1.21.2	COG0648	putative endonuclease 4
CCPIEFDM_00072	gene	822				
CCPIEFDM_00072	CDS	822				hypothetical protein
CCPIEFDM_00073	gene	591	resA_1			
CCPIEFDM_00073	CDS	591	resA_1		COG0526	Thiol-disulfide oxidoreductase ResA
CCPIEFDM_00074	gene	903				
CCPIEFDM_00074	CDS	903				hypothetical protein
CCPIEFDM_00075	gene	678	tctD			
CCPIEFDM_00075	CDS	678	tctD		COG0745	Transcriptional regulatory protein tctD
CCPIEFDM_00076	gene	1125	sasA_1			
CCPIEFDM_00076	CDS	1125	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
CCPIEFDM_00077	gene	414				
CCPIEFDM_00077	CDS	414				hypothetical protein
CCPIEFDM_00078	gene	351				
CCPIEFDM_00078	CDS	351				hypothetical protein
CCPIEFDM_00079	gene	1416	alsT			
CCPIEFDM_00079	CDS	1416	alsT		COG1115	Amino-acid carrier protein AlsT
CCPIEFDM_00080	gene	885				
CCPIEFDM_00080	CDS	885				hypothetical protein
CCPIEFDM_00081	gene	381				
CCPIEFDM_00081	CDS	381			COG0789	putative HTH-type transcriptional regulator
CCPIEFDM_00082	gene	396				
CCPIEFDM_00082	CDS	396				hypothetical protein
CCPIEFDM_00083	gene	795				
CCPIEFDM_00083	CDS	795				hypothetical protein
CCPIEFDM_00084	gene	888				
CCPIEFDM_00084	CDS	888				hypothetical protein
CCPIEFDM_00085	gene	585				
