locus_tag	ftype	length_bp	gene	EC_number	COG	product
JAPKKLMI_00001	gene	168				
JAPKKLMI_00001	CDS	168				hypothetical protein
JAPKKLMI_00002	gene	1575	prfC			
JAPKKLMI_00002	CDS	1575	prfC		COG4108	Peptide chain release factor 3
JAPKKLMI_00003	gene	855	rmlD			
JAPKKLMI_00003	CDS	855	rmlD	1.1.1.133	COG1091	dTDP-4-dehydrorhamnose reductase
JAPKKLMI_00004	gene	546				
JAPKKLMI_00004	CDS	546				hypothetical protein
JAPKKLMI_00005	gene	654				
JAPKKLMI_00005	CDS	654				hypothetical protein
JAPKKLMI_00006	gene	3708	purL			
JAPKKLMI_00006	CDS	3708	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
JAPKKLMI_00007	gene	4053	rcsC_1			
JAPKKLMI_00007	CDS	4053	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
JAPKKLMI_00008	gene	618	srpC_1			
JAPKKLMI_00008	CDS	618	srpC_1		COG2059	putative chromate transport protein
JAPKKLMI_00009	gene	570	srpC_2			
JAPKKLMI_00009	CDS	570	srpC_2		COG2059	putative chromate transport protein
JAPKKLMI_00010	gene	1512				
JAPKKLMI_00010	CDS	1512				hypothetical protein
JAPKKLMI_00011	gene	2811	uvrA_1			
JAPKKLMI_00011	CDS	2811	uvrA_1			UvrABC system protein A
JAPKKLMI_00012	gene	480				
JAPKKLMI_00012	CDS	480				hypothetical protein
JAPKKLMI_00013	gene	225				
JAPKKLMI_00013	CDS	225				hypothetical protein
JAPKKLMI_00014	gene	1416				
JAPKKLMI_00014	CDS	1416				hypothetical protein
JAPKKLMI_00015	gene	1506				
JAPKKLMI_00015	CDS	1506				hypothetical protein
JAPKKLMI_00016	gene	1179				
JAPKKLMI_00016	CDS	1179				hypothetical protein
JAPKKLMI_00017	gene	1179				
JAPKKLMI_00017	CDS	1179				hypothetical protein
JAPKKLMI_00018	gene	3558				
JAPKKLMI_00018	CDS	3558		1.2.7.1	COG0674	Pyruvate:ferredoxin oxidoreductase
JAPKKLMI_00019	gene	2739	rcsC_2			
JAPKKLMI_00019	CDS	2739	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
JAPKKLMI_00020	gene	885	pfkB_1			
JAPKKLMI_00020	CDS	885	pfkB_1	2.7.1.11	COG0524	ATP-dependent 6-phosphofructokinase
JAPKKLMI_00021	gene	1164				
JAPKKLMI_00021	CDS	1164				hypothetical protein
JAPKKLMI_00022	gene	1857				
JAPKKLMI_00022	CDS	1857				hypothetical protein
JAPKKLMI_00023	gene	204				
JAPKKLMI_00023	CDS	204				hypothetical protein
JAPKKLMI_00024	gene	3078				
JAPKKLMI_00024	CDS	3078				TonB-dependent receptor P26
JAPKKLMI_00025	gene	1746				
JAPKKLMI_00025	CDS	1746				hypothetical protein
JAPKKLMI_00026	gene	1407				
JAPKKLMI_00026	CDS	1407				hypothetical protein
JAPKKLMI_00027	gene	1584				
JAPKKLMI_00027	CDS	1584				hypothetical protein
JAPKKLMI_00028	gene	1746				
JAPKKLMI_00028	CDS	1746				hypothetical protein
JAPKKLMI_00029	gene	1656				
JAPKKLMI_00029	CDS	1656				IS1182 family transposase ISBthe2
JAPKKLMI_00030	gene	2835	nagZ_1			
JAPKKLMI_00030	CDS	2835	nagZ_1	3.2.1.52		Beta-hexosaminidase
JAPKKLMI_00031	gene	1053				
JAPKKLMI_00031	CDS	1053				hypothetical protein
JAPKKLMI_00032	gene	351				
JAPKKLMI_00032	CDS	351				hypothetical protein
JAPKKLMI_00033	gene	1665				
JAPKKLMI_00033	CDS	1665				hypothetical protein
JAPKKLMI_00034	gene	396				
JAPKKLMI_00034	CDS	396				hypothetical protein
JAPKKLMI_00035	gene	879				
JAPKKLMI_00035	CDS	879				hypothetical protein
JAPKKLMI_00036	gene	525				
JAPKKLMI_00036	CDS	525				hypothetical protein
