locus_tag	ftype	length_bp	gene	EC_number	COG	product
EBCGBGGF_00001	gene	717				
EBCGBGGF_00001	CDS	717				hypothetical protein
EBCGBGGF_00002	gene	285				
EBCGBGGF_00002	CDS	285				hypothetical protein
EBCGBGGF_00003	gene	813				
EBCGBGGF_00003	CDS	813				hypothetical protein
EBCGBGGF_00004	gene	372				
EBCGBGGF_00004	CDS	372				hypothetical protein
EBCGBGGF_00005	gene	1701				
EBCGBGGF_00005	CDS	1701		2.1.1.-	COG2265	putative RNA methyltransferase
EBCGBGGF_00006	gene	498				
EBCGBGGF_00006	CDS	498				hypothetical protein
EBCGBGGF_00007	gene	591	rdgB			
EBCGBGGF_00007	CDS	591	rdgB	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
EBCGBGGF_00008	gene	1707				
EBCGBGGF_00008	CDS	1707				hypothetical protein
EBCGBGGF_00009	gene	1164	rlmL_1			
EBCGBGGF_00009	CDS	1164	rlmL_1	2.1.1.173	COG0116	Ribosomal RNA large subunit methyltransferase L
EBCGBGGF_00010	gene	312	glpE			
EBCGBGGF_00010	CDS	312	glpE	2.8.1.1		Thiosulfate sulfurtransferase GlpE
EBCGBGGF_00011	gene	162				
EBCGBGGF_00011	CDS	162				hypothetical protein
EBCGBGGF_00012	gene	1059				
EBCGBGGF_00012	CDS	1059				hypothetical protein
EBCGBGGF_00013	gene	705				
EBCGBGGF_00013	CDS	705				hypothetical protein
EBCGBGGF_00014	gene	243				
EBCGBGGF_00014	CDS	243				hypothetical protein
EBCGBGGF_00015	gene	1068	murG			
EBCGBGGF_00015	CDS	1068	murG	2.4.1.227		UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
EBCGBGGF_00016	gene	1398				
EBCGBGGF_00016	CDS	1398				hypothetical protein
EBCGBGGF_00017	gene	636				
EBCGBGGF_00017	CDS	636				hypothetical protein
EBCGBGGF_00018	gene	504	tadA_1			
EBCGBGGF_00018	CDS	504	tadA_1	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
EBCGBGGF_00019	gene	546	rimJ			
EBCGBGGF_00019	CDS	546	rimJ	2.3.1.267	COG1670	[Ribosomal protein S5]-alanine N-acetyltransferase
EBCGBGGF_00020	gene	915				
EBCGBGGF_00020	CDS	915				hypothetical protein
EBCGBGGF_00021	gene	849	rsmA_1			
EBCGBGGF_00021	CDS	849	rsmA_1	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
EBCGBGGF_00022	gene	780	ycfH			
EBCGBGGF_00022	CDS	780	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
EBCGBGGF_00023	gene	594				
EBCGBGGF_00023	CDS	594				hypothetical protein
EBCGBGGF_00024	gene	1188	aspC			
EBCGBGGF_00024	CDS	1188	aspC	2.6.1.1	COG0436	Aspartate aminotransferase
EBCGBGGF_00025	gene	1533	malQ_1			
EBCGBGGF_00025	CDS	1533	malQ_1	2.4.1.25	COG1640	4-alpha-glucanotransferase
EBCGBGGF_00026	gene	726	plsC			
EBCGBGGF_00026	CDS	726	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
EBCGBGGF_00027	gene	600				
EBCGBGGF_00027	CDS	600				hypothetical protein
EBCGBGGF_00028	gene	909				
EBCGBGGF_00028	CDS	909				hypothetical protein
EBCGBGGF_00029	gene	447				
EBCGBGGF_00029	CDS	447				hypothetical protein
EBCGBGGF_00030	gene	1053	ddl			
EBCGBGGF_00030	CDS	1053	ddl	6.3.2.4		D-alanine--D-alanine ligase
EBCGBGGF_00031	gene	837				
EBCGBGGF_00031	CDS	837				hypothetical protein
EBCGBGGF_00032	gene	1587				
EBCGBGGF_00032	CDS	1587				hypothetical protein
EBCGBGGF_00033	gene	1653	gerAA			
EBCGBGGF_00033	CDS	1653	gerAA			Spore germination protein A1
EBCGBGGF_00034	gene	375				
EBCGBGGF_00034	CDS	375				hypothetical protein
EBCGBGGF_00035	gene	435				
EBCGBGGF_00035	CDS	435				hypothetical protein
EBCGBGGF_00036	gene	465				
EBCGBGGF_00036	CDS	465				hypothetical protein
EBCGBGGF_00037	gene	741				
EBCGBGGF_00037	CDS	741				hypothetical protein
EBCGBGGF_00038	gene	1314				
EBCGBGGF_00038	CDS	1314				hypothetical protein
EBCGBGGF_00039	gene	1068				
EBCGBGGF_00039	CDS	1068				hypothetical protein
EBCGBGGF_00040	gene	1023				
EBCGBGGF_00040	CDS	1023				hypothetical protein
EBCGBGGF_00041	gene	729				
EBCGBGGF_00041	CDS	729				hypothetical protein
