locus_tag	ftype	length_bp	gene	EC_number	COG	product
MIKOFCHK_00001	gene	1407	dnaA			
MIKOFCHK_00001	CDS	1407	dnaA		COG0593	Chromosomal replication initiator protein DnaA
MIKOFCHK_00002	gene	741	nfrA2			
MIKOFCHK_00002	CDS	741	nfrA2	1.5.1.39	COG0778	FMN reductase [NAD(P)H]
MIKOFCHK_00003	gene	2547				
MIKOFCHK_00003	CDS	2547				hypothetical protein
MIKOFCHK_00004	gene	2973				
MIKOFCHK_00004	CDS	2973				hypothetical protein
MIKOFCHK_00005	gene	354	folB			
MIKOFCHK_00005	CDS	354	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
MIKOFCHK_00006	gene	882				
MIKOFCHK_00006	CDS	882				hypothetical protein
MIKOFCHK_00007	gene	1026				
MIKOFCHK_00007	CDS	1026				hypothetical protein
MIKOFCHK_00008	gene	1317	mtaB			
MIKOFCHK_00008	CDS	1317	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
MIKOFCHK_00009	gene	1674				
MIKOFCHK_00009	CDS	1674		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
MIKOFCHK_00010	gene	201				
MIKOFCHK_00010	CDS	201				hypothetical protein
MIKOFCHK_00011	gene	117				
MIKOFCHK_00011	CDS	117				hypothetical protein
MIKOFCHK_00012	gene	96				
MIKOFCHK_00012	CDS	96				hypothetical protein
MIKOFCHK_00013	gene	444	rplI			
MIKOFCHK_00013	CDS	444	rplI		COG0359	50S ribosomal protein L9
MIKOFCHK_00014	gene	270				
MIKOFCHK_00014	CDS	270				hypothetical protein
MIKOFCHK_00015	gene	345				
MIKOFCHK_00015	CDS	345				hypothetical protein
MIKOFCHK_00016	gene	447	slyA			
MIKOFCHK_00016	CDS	447	slyA			Transcriptional regulator SlyA
MIKOFCHK_00017	gene	183				
MIKOFCHK_00017	CDS	183				hypothetical protein
MIKOFCHK_00018	gene	699	mprA_1			
MIKOFCHK_00018	CDS	699	mprA_1		COG0745	Response regulator MprA
MIKOFCHK_00019	gene	1599	sasA_1			
MIKOFCHK_00019	CDS	1599	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
MIKOFCHK_00020	gene	2160	fusA_1			
MIKOFCHK_00020	CDS	2160	fusA_1		COG0480	Elongation factor G
MIKOFCHK_00021	gene	114				
MIKOFCHK_00021	CDS	114				hypothetical protein
MIKOFCHK_00022	gene	1131	hemW			
MIKOFCHK_00022	CDS	1131	hemW		COG0635	Heme chaperone HemW
MIKOFCHK_00023	gene	192				
MIKOFCHK_00023	CDS	192				hypothetical protein
MIKOFCHK_00024	gene	2652	btuB_1			
MIKOFCHK_00024	CDS	2652	btuB_1			Vitamin B12 transporter BtuB
MIKOFCHK_00025	gene	987				
MIKOFCHK_00025	CDS	987				hypothetical protein
MIKOFCHK_00026	gene	627				
MIKOFCHK_00026	CDS	627				hypothetical protein
MIKOFCHK_00027	gene	408				
MIKOFCHK_00027	CDS	408				hypothetical protein
MIKOFCHK_00028	gene	891				
MIKOFCHK_00028	CDS	891				hypothetical protein
MIKOFCHK_00029	gene	2676	btuB_2			
MIKOFCHK_00029	CDS	2676	btuB_2			Vitamin B12 transporter BtuB
MIKOFCHK_00030	gene	1032				
MIKOFCHK_00030	CDS	1032				hypothetical protein
MIKOFCHK_00031	gene	1938				
MIKOFCHK_00031	CDS	1938				hypothetical protein
MIKOFCHK_00032	gene	2046				
MIKOFCHK_00032	CDS	2046		3.2.1.131	COG3661	Extracellular xylan exo-alpha-(1->2)-glucuronosidase
MIKOFCHK_00033	gene	2595				
MIKOFCHK_00033	CDS	2595				hypothetical protein
MIKOFCHK_00034	gene	1584				
MIKOFCHK_00034	CDS	1584		3.2.1.-		Beta-xylosidase
MIKOFCHK_00035	gene	129				
MIKOFCHK_00035	CDS	129				hypothetical protein
MIKOFCHK_00036	gene	4053	rcsC_1			
MIKOFCHK_00036	CDS	4053	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
MIKOFCHK_00037	gene	1935				
MIKOFCHK_00037	CDS	1935				hypothetical protein
MIKOFCHK_00038	gene	3072				
MIKOFCHK_00038	CDS	3072				TonB-dependent receptor P3
MIKOFCHK_00039	gene	1899				
MIKOFCHK_00039	CDS	1899		3.2.1.55	COG3507	Non-reducing end alpha-L-arabinofuranosidase BoGH43A
MIKOFCHK_00040	gene	972	xsa			
MIKOFCHK_00040	CDS	972	xsa			Xylosidase/arabinosidase
MIKOFCHK_00041	gene	1128	xylI			
MIKOFCHK_00041	CDS	1128	xylI	3.2.1.8	COG3693	Endo-1,4-beta-xylanase A
MIKOFCHK_00042	gene	1539	yicJ			
MIKOFCHK_00042	CDS	1539	yicJ		COG2211	Inner membrane symporter YicJ
MIKOFCHK_00043	gene	792				
MIKOFCHK_00043	CDS	792		3.2.1.103		Keratan-sulfate endo-1,4-beta-galactosidase
MIKOFCHK_00044	gene	1389	algC			
MIKOFCHK_00044	CDS	1389	algC	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
MIKOFCHK_00045	gene	636				
MIKOFCHK_00045	CDS	636				hypothetical protein
MIKOFCHK_00046	gene	1041	nrnA			
MIKOFCHK_00046	CDS	1041	nrnA	3.1.-.-	COG0618	Bifunctional oligoribonuclease and PAP phosphatase NrnA
MIKOFCHK_00047	gene	1920				
MIKOFCHK_00047	CDS	1920				hypothetical protein
MIKOFCHK_00048	gene	654	rpe			
MIKOFCHK_00048	CDS	654	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
MIKOFCHK_00049	gene	1296				
MIKOFCHK_00049	CDS	1296				hypothetical protein
MIKOFCHK_00050	gene	543	algU_1			
MIKOFCHK_00050	CDS	543	algU_1		COG1595	RNA polymerase sigma-H factor
MIKOFCHK_00051	gene	741				
