locus_tag	ftype	length_bp	gene	EC_number	COG	product
ELBIPDMA_00001	gene	1413	dnaA			
ELBIPDMA_00001	CDS	1413	dnaA		COG0593	Chromosomal replication initiator protein DnaA
ELBIPDMA_00002	gene	738	nfrA2			
ELBIPDMA_00002	CDS	738	nfrA2	1.5.1.39	COG0778	FMN reductase [NAD(P)H]
ELBIPDMA_00003	gene	2538				
ELBIPDMA_00003	CDS	2538				hypothetical protein
ELBIPDMA_00004	gene	2682				
ELBIPDMA_00004	CDS	2682				hypothetical protein
ELBIPDMA_00005	gene	1014				
ELBIPDMA_00005	CDS	1014				hypothetical protein
ELBIPDMA_00006	gene	972				
ELBIPDMA_00006	CDS	972				hypothetical protein
ELBIPDMA_00007	gene	369	folB			
ELBIPDMA_00007	CDS	369	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
ELBIPDMA_00008	gene	525	mgsA_1			
ELBIPDMA_00008	CDS	525	mgsA_1	4.2.3.3	COG1803	Methylglyoxal synthase
ELBIPDMA_00009	gene	1029				
ELBIPDMA_00009	CDS	1029				hypothetical protein
ELBIPDMA_00010	gene	894	lpxL			
ELBIPDMA_00010	CDS	894	lpxL	2.3.1.241		Lipid A biosynthesis lauroyltransferase
ELBIPDMA_00011	gene	1332	mtaB			
ELBIPDMA_00011	CDS	1332	mtaB	2.8.4.5	COG0621	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB
ELBIPDMA_00012	gene	1674				
ELBIPDMA_00012	CDS	1674		6.2.1.3	COG1022	Long-chain-fatty-acid--CoA ligase FadD15
ELBIPDMA_00013	gene	222				
ELBIPDMA_00013	CDS	222				hypothetical protein
ELBIPDMA_00014	gene	915	iolE_1			
ELBIPDMA_00014	CDS	915	iolE_1	4.2.1.44		Inosose dehydratase
ELBIPDMA_00015	gene	873				
ELBIPDMA_00015	CDS	873				hypothetical protein
ELBIPDMA_00016	gene	1476	iolG_1			
ELBIPDMA_00016	CDS	1476	iolG_1	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
ELBIPDMA_00017	gene	1119	iolG_2			
ELBIPDMA_00017	CDS	1119	iolG_2	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
ELBIPDMA_00018	gene	1686				
ELBIPDMA_00018	CDS	1686				hypothetical protein
ELBIPDMA_00019	gene	444	rplI			
ELBIPDMA_00019	CDS	444	rplI		COG0359	50S ribosomal protein L9
ELBIPDMA_00020	gene	273				
ELBIPDMA_00020	CDS	273				hypothetical protein
ELBIPDMA_00021	gene	345				
ELBIPDMA_00021	CDS	345				hypothetical protein
ELBIPDMA_00022	gene	447	slyA			
ELBIPDMA_00022	CDS	447	slyA			Transcriptional regulator SlyA
ELBIPDMA_00023	gene	177				
ELBIPDMA_00023	CDS	177				hypothetical protein
ELBIPDMA_00024	gene	702	mprA_1			
ELBIPDMA_00024	CDS	702	mprA_1		COG0745	Response regulator MprA
ELBIPDMA_00025	gene	1512	sasA_1			
ELBIPDMA_00025	CDS	1512	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
ELBIPDMA_00026	gene	2157	fusA_1			
ELBIPDMA_00026	CDS	2157	fusA_1		COG0480	Elongation factor G
ELBIPDMA_00027	gene	1131	hemW			
ELBIPDMA_00027	CDS	1131	hemW		COG0635	Heme chaperone HemW
ELBIPDMA_00028	gene	549				
ELBIPDMA_00028	CDS	549				hypothetical protein
ELBIPDMA_00029	gene	435				
ELBIPDMA_00029	CDS	435				hypothetical protein
ELBIPDMA_00030	gene	873				
ELBIPDMA_00030	CDS	873				hypothetical protein
ELBIPDMA_00031	gene	2694				
ELBIPDMA_00031	CDS	2694				hypothetical protein
ELBIPDMA_00032	gene	1014				
ELBIPDMA_00032	CDS	1014				hypothetical protein
ELBIPDMA_00033	gene	678	lptB_1			
ELBIPDMA_00033	CDS	678	lptB_1	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
ELBIPDMA_00034	gene	306				
ELBIPDMA_00034	CDS	306				hypothetical protein
ELBIPDMA_00035	gene	288				
ELBIPDMA_00035	CDS	288				hypothetical protein
ELBIPDMA_00036	gene	609	lysO_1			
ELBIPDMA_00036	CDS	609	lysO_1		COG2431	Lysine exporter LysO
ELBIPDMA_00037	gene	357				
ELBIPDMA_00037	CDS	357				hypothetical protein
ELBIPDMA_00038	gene	1065				
ELBIPDMA_00038	CDS	1065				hypothetical protein
ELBIPDMA_00039	gene	696				
ELBIPDMA_00039	CDS	696				hypothetical protein
ELBIPDMA_00040	gene	774				
ELBIPDMA_00040	CDS	774				hypothetical protein
ELBIPDMA_00041	gene	666				
ELBIPDMA_00041	CDS	666				hypothetical protein
ELBIPDMA_00042	gene	1056				
ELBIPDMA_00042	CDS	1056				hypothetical protein
ELBIPDMA_00043	gene	495	sigE_1			
ELBIPDMA_00043	CDS	495	sigE_1		COG1595	ECF RNA polymerase sigma factor SigE
ELBIPDMA_00044	gene	591				
ELBIPDMA_00044	CDS	591				hypothetical protein
ELBIPDMA_00045	gene	1233	aroA			
ELBIPDMA_00045	CDS	1233	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
ELBIPDMA_00046	gene	570				
ELBIPDMA_00046	CDS	570				hypothetical protein
ELBIPDMA_00047	gene	717				
ELBIPDMA_00047	CDS	717				hypothetical protein
ELBIPDMA_00048	gene	999				
ELBIPDMA_00048	CDS	999				hypothetical protein
ELBIPDMA_00049	gene	837	ebgA_1			
ELBIPDMA_00049	CDS	837	ebgA_1	3.2.1.23	COG3250	Evolved beta-galactosidase subunit alpha
ELBIPDMA_00050	gene	2706	lacZ_1			
ELBIPDMA_00050	CDS	2706	lacZ_1	3.2.1.23		Beta-galactosidase
ELBIPDMA_00051	gene	1455				
ELBIPDMA_00051	CDS	1455				hypothetical protein
ELBIPDMA_00052	gene	1674				
ELBIPDMA_00052	CDS	1674				hypothetical protein
ELBIPDMA_00053	gene	951				
ELBIPDMA_00053	CDS	951				hypothetical protein
ELBIPDMA_00054	gene	1743				
ELBIPDMA_00054	CDS	1743				SusD-like protein P38
ELBIPDMA_00055	gene	3363				
ELBIPDMA_00055	CDS	3363				TonB-dependent receptor P3
ELBIPDMA_00056	gene	966				
ELBIPDMA_00056	CDS	966				hypothetical protein
ELBIPDMA_00057	gene	582				
ELBIPDMA_00057	CDS	582				hypothetical protein
ELBIPDMA_00058	gene	2277				
ELBIPDMA_00058	CDS	2277				hypothetical protein
ELBIPDMA_00059	gene	1905				
ELBIPDMA_00059	CDS	1905				hypothetical protein
ELBIPDMA_00060	gene	1644				
ELBIPDMA_00060	CDS	1644				hypothetical protein
ELBIPDMA_00061	gene	2991	susC_1			
ELBIPDMA_00061	CDS	2991	susC_1			TonB-dependent receptor SusC
ELBIPDMA_00062	gene	1065				
ELBIPDMA_00062	CDS	1065				hypothetical protein
ELBIPDMA_00063	gene	2574				
ELBIPDMA_00063	CDS	2574				hypothetical protein
ELBIPDMA_00064	gene	453				
ELBIPDMA_00064	CDS	453				hypothetical protein
ELBIPDMA_00065	gene	810	znuB			
ELBIPDMA_00065	CDS	810	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
ELBIPDMA_00066	gene	414	tsaE			
ELBIPDMA_00066	CDS	414	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
ELBIPDMA_00067	gene	225				
ELBIPDMA_00067	CDS	225				hypothetical protein
ELBIPDMA_00068	gene	294				
ELBIPDMA_00068	CDS	294				hypothetical protein
ELBIPDMA_00069	gene	378				
ELBIPDMA_00069	CDS	378				hypothetical protein
ELBIPDMA_00070	gene	1311				
ELBIPDMA_00070	CDS	1311				hypothetical protein
