locus_tag	ftype	length_bp	gene	EC_number	COG	product
MHDDLIMJ_00001	gene	219				
MHDDLIMJ_00001	CDS	219				hypothetical protein
MHDDLIMJ_00002	gene	1905	feoB_1			
MHDDLIMJ_00002	CDS	1905	feoB_1		COG0370	Fe(2+) transporter FeoB
MHDDLIMJ_00003	gene	324				
MHDDLIMJ_00003	CDS	324				hypothetical protein
MHDDLIMJ_00004	gene	975				
MHDDLIMJ_00004	CDS	975				hypothetical protein
MHDDLIMJ_00005	gene	375	lrgA			
MHDDLIMJ_00005	CDS	375	lrgA		COG1380	Antiholin-like protein LrgA
MHDDLIMJ_00006	gene	693	lrgB			
MHDDLIMJ_00006	CDS	693	lrgB		COG1346	Antiholin-like protein LrgB
MHDDLIMJ_00007	gene	867				
MHDDLIMJ_00007	CDS	867				hypothetical protein
MHDDLIMJ_00008	gene	813				
MHDDLIMJ_00008	CDS	813				hypothetical protein
MHDDLIMJ_00009	gene	1002				
MHDDLIMJ_00009	CDS	1002				hypothetical protein
MHDDLIMJ_00010	gene	696				
MHDDLIMJ_00010	CDS	696		3.5.1.104	COG0726	Peptidoglycan-N-acetylglucosamine deacetylase
MHDDLIMJ_00011	gene	324				
MHDDLIMJ_00011	CDS	324				hypothetical protein
MHDDLIMJ_00012	gene	165				
MHDDLIMJ_00012	CDS	165				hypothetical protein
MHDDLIMJ_00013	gene	588	trpG			
MHDDLIMJ_00013	CDS	588	trpG	4.1.3.27	COG0512	Anthranilate synthase component 2
MHDDLIMJ_00014	gene	1344	pabB			
MHDDLIMJ_00014	CDS	1344	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
MHDDLIMJ_00015	gene	747	ilvE			
MHDDLIMJ_00015	CDS	747	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
MHDDLIMJ_00016	gene	672				
MHDDLIMJ_00016	CDS	672				hypothetical protein
MHDDLIMJ_00017	gene	573	folE			
MHDDLIMJ_00017	CDS	573	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
MHDDLIMJ_00018	gene	792	folP			
MHDDLIMJ_00018	CDS	792	folP	2.5.1.15	COG0294	Dihydropteroate synthase
MHDDLIMJ_00019	gene	366	folB			
MHDDLIMJ_00019	CDS	366	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
MHDDLIMJ_00020	gene	504	folK			
MHDDLIMJ_00020	CDS	504	folK	2.7.6.3	COG0801	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
MHDDLIMJ_00021	gene	381				
MHDDLIMJ_00021	CDS	381				hypothetical protein
MHDDLIMJ_00022	gene	381				
MHDDLIMJ_00022	CDS	381				hypothetical protein
MHDDLIMJ_00023	gene	246				
MHDDLIMJ_00023	CDS	246				hypothetical protein
MHDDLIMJ_00024	gene	438				
MHDDLIMJ_00024	CDS	438				hypothetical protein
MHDDLIMJ_00025	gene	150				
MHDDLIMJ_00025	CDS	150				hypothetical protein
MHDDLIMJ_00026	gene	189				
MHDDLIMJ_00026	CDS	189				hypothetical protein
MHDDLIMJ_00027	gene	1575				
MHDDLIMJ_00027	CDS	1575				hypothetical protein
MHDDLIMJ_00028	gene	312				
MHDDLIMJ_00028	CDS	312				hypothetical protein
MHDDLIMJ_00029	gene	597				
MHDDLIMJ_00029	CDS	597				hypothetical protein
MHDDLIMJ_00030	gene	195				
MHDDLIMJ_00030	CDS	195				hypothetical protein
MHDDLIMJ_00031	gene	126				
MHDDLIMJ_00031	CDS	126				hypothetical protein
MHDDLIMJ_00032	gene	621	pdaC			
MHDDLIMJ_00032	CDS	621	pdaC	3.5.1.-	COG0726	Peptidoglycan-N-acetylmuramic acid deacetylase PdaC
MHDDLIMJ_00033	gene	1272				
MHDDLIMJ_00033	CDS	1272				hypothetical protein
MHDDLIMJ_00034	gene	720	prsW			
MHDDLIMJ_00034	CDS	720	prsW	3.4.-.-	COG2339	Protease PrsW
MHDDLIMJ_00035	gene	831				
MHDDLIMJ_00035	CDS	831				hypothetical protein
MHDDLIMJ_00036	gene	552	sipT			
MHDDLIMJ_00036	CDS	552	sipT	3.4.21.89	COG0681	Signal peptidase I T
MHDDLIMJ_00037	gene	744	nfo_1			
MHDDLIMJ_00037	CDS	744	nfo_1	3.1.21.2		endonuclease 4
MHDDLIMJ_00038	gene	1656	udk_1			
MHDDLIMJ_00038	CDS	1656	udk_1	2.7.1.48		Uridine kinase
MHDDLIMJ_00039	gene	918	glsA2			
MHDDLIMJ_00039	CDS	918	glsA2	3.5.1.2	COG2066	Glutaminase 2
MHDDLIMJ_00040	gene	564				
MHDDLIMJ_00040	CDS	564				hypothetical protein
MHDDLIMJ_00041	gene	840	nfo_2			
MHDDLIMJ_00041	CDS	840	nfo_2	3.1.21.2	COG0648	putative endonuclease 4
MHDDLIMJ_00042	gene	996				
MHDDLIMJ_00042	CDS	996				hypothetical protein
MHDDLIMJ_00043	gene	405				
MHDDLIMJ_00043	CDS	405				hypothetical protein
MHDDLIMJ_00044	gene	894	queG_1			
MHDDLIMJ_00044	CDS	894	queG_1	1.17.99.6	COG1600	Epoxyqueuosine reductase
MHDDLIMJ_00045	gene	2214	lon_1			
MHDDLIMJ_00045	CDS	2214	lon_1	3.4.21.53		Lon protease
MHDDLIMJ_00046	gene	699				
MHDDLIMJ_00046	CDS	699				hypothetical protein
MHDDLIMJ_00047	gene	1326	rsmB			
MHDDLIMJ_00047	CDS	1326	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
MHDDLIMJ_00048	gene	1029	rlmN			
MHDDLIMJ_00048	CDS	1029	rlmN	2.1.1.192		putative dual-specificity RNA methyltransferase RlmN
MHDDLIMJ_00049	gene	750	prpC			
MHDDLIMJ_00049	CDS	750	prpC	3.1.3.16	COG0631	Protein phosphatase PrpC
MHDDLIMJ_00050	gene	1812	prkC_1			
MHDDLIMJ_00050	CDS	1812	prkC_1	2.7.11.1	COG0515	Serine/threonine-protein kinase PrkC
MHDDLIMJ_00051	gene	885	rsgA			
MHDDLIMJ_00051	CDS	885	rsgA	3.6.1.-	COG1162	Small ribosomal subunit biogenesis GTPase RsgA
MHDDLIMJ_00052	gene	657	rpe			
MHDDLIMJ_00052	CDS	657	rpe	5.1.3.1		Ribulose-phosphate 3-epimerase
MHDDLIMJ_00053	gene	651	thiN			
MHDDLIMJ_00053	CDS	651	thiN	2.7.6.2	COG1564	Thiamine pyrophosphokinase
MHDDLIMJ_00054	gene	189	rpmB			
MHDDLIMJ_00054	CDS	189	rpmB		COG0227	50S ribosomal protein L28
MHDDLIMJ_00055	gene	351				
MHDDLIMJ_00055	CDS	351				putative protein
MHDDLIMJ_00056	gene	1623				
MHDDLIMJ_00056	CDS	1623				putative protein
MHDDLIMJ_00057	gene	2061	recG			
MHDDLIMJ_00057	CDS	2061	recG	3.6.4.12		ATP-dependent DNA helicase RecG
MHDDLIMJ_00058	gene	573	rsmD			
MHDDLIMJ_00058	CDS	573	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
MHDDLIMJ_00059	gene	498	coaD			
MHDDLIMJ_00059	CDS	498	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
MHDDLIMJ_00060	gene	519				
MHDDLIMJ_00060	CDS	519				hypothetical protein
MHDDLIMJ_00061	gene	864				
MHDDLIMJ_00061	CDS	864				hypothetical protein
MHDDLIMJ_00062	gene	528				
MHDDLIMJ_00062	CDS	528				hypothetical protein
MHDDLIMJ_00063	gene	1269	tmcAL			
MHDDLIMJ_00063	CDS	1269	tmcAL	6.3.4.-	COG1323	tRNA(Met) cytidine acetate ligase
MHDDLIMJ_00064	gene	1197	ackA			
MHDDLIMJ_00064	CDS	1197	ackA	2.7.2.1	COG0282	Acetate kinase
MHDDLIMJ_00065	gene	528				
MHDDLIMJ_00065	CDS	528				hypothetical protein
MHDDLIMJ_00066	gene	177	rpmF			
MHDDLIMJ_00066	CDS	177	rpmF		COG0333	50S ribosomal protein L32
MHDDLIMJ_00067	gene	558	fapR			
MHDDLIMJ_00067	CDS	558	fapR		COG2050	Transcription factor FapR
MHDDLIMJ_00068	gene	1014	plsX			
MHDDLIMJ_00068	CDS	1014	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
MHDDLIMJ_00069	gene	987	fabHA			
MHDDLIMJ_00069	CDS	987	fabHA	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 1
MHDDLIMJ_00070	gene	942				
MHDDLIMJ_00070	CDS	942		1.6.5.11	COG2070	NADH:quinone reductase
MHDDLIMJ_00071	gene	951	fabD			
MHDDLIMJ_00071	CDS	951	fabD	2.3.1.39		Malonyl CoA-acyl carrier protein transacylase
MHDDLIMJ_00072	gene	750	fabG_1			
MHDDLIMJ_00072	CDS	750	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
MHDDLIMJ_00073	gene	225	acpP_1			
MHDDLIMJ_00073	CDS	225	acpP_1			Acyl carrier protein
MHDDLIMJ_00074	gene	1239	fabF			
MHDDLIMJ_00074	CDS	1239	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
MHDDLIMJ_00075	gene	969				
MHDDLIMJ_00075	CDS	969				hypothetical protein
MHDDLIMJ_00076	gene	390				
MHDDLIMJ_00076	CDS	390				hypothetical protein
MHDDLIMJ_00077	gene	198				
MHDDLIMJ_00077	CDS	198				hypothetical protein
MHDDLIMJ_00078	gene	378				
MHDDLIMJ_00078	CDS	378				hypothetical protein
MHDDLIMJ_00079	gene	1173	spoIIIAE			
MHDDLIMJ_00079	CDS	1173	spoIIIAE			Stage III sporulation protein AE
MHDDLIMJ_00080	gene	570				
MHDDLIMJ_00080	CDS	570				hypothetical protein
MHDDLIMJ_00081	gene	549				
MHDDLIMJ_00081	CDS	549				hypothetical protein
MHDDLIMJ_00082	gene	645				
MHDDLIMJ_00082	CDS	645				hypothetical protein
MHDDLIMJ_00083	gene	351				
MHDDLIMJ_00083	CDS	351			COG1302	Alkaline shock protein 23
MHDDLIMJ_00084	gene	507	nusB			
MHDDLIMJ_00084	CDS	507	nusB			Transcription antitermination protein NusB
MHDDLIMJ_00085	gene	966	tsaD_1			
MHDDLIMJ_00085	CDS	966	tsaD_1	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
MHDDLIMJ_00086	gene	1197	xseA			
MHDDLIMJ_00086	CDS	1197	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
MHDDLIMJ_00087	gene	216	xseB			
MHDDLIMJ_00087	CDS	216	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
MHDDLIMJ_00088	gene	888				
MHDDLIMJ_00088	CDS	888		2.5.1.10		Farnesyl diphosphate synthase
MHDDLIMJ_00089	gene	438				
MHDDLIMJ_00089	CDS	438				hypothetical protein
MHDDLIMJ_00090	gene	1863	dxs			
MHDDLIMJ_00090	CDS	1863	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
MHDDLIMJ_00091	gene	810	tlyA			
MHDDLIMJ_00091	CDS	810	tlyA		COG1189	Hemolysin A
MHDDLIMJ_00092	gene	1686	recN			
MHDDLIMJ_00092	CDS	1686	recN		COG0497	DNA repair protein RecN
MHDDLIMJ_00093	gene	1533	aur			
MHDDLIMJ_00093	CDS	1533	aur	3.4.24.29		Zinc metalloproteinase aureolysin
MHDDLIMJ_00094	gene	567	trpP			
MHDDLIMJ_00094	CDS	567	trpP			putative tryptophan transport protein
MHDDLIMJ_00095	gene	1380				
MHDDLIMJ_00095	CDS	1380				hypothetical protein
MHDDLIMJ_00096	gene	1701	argS			
MHDDLIMJ_00096	CDS	1701	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
MHDDLIMJ_00097	gene	450				
MHDDLIMJ_00097	CDS	450				hypothetical protein
MHDDLIMJ_00098	gene	2379	mutS2_1			
MHDDLIMJ_00098	CDS	2379	mutS2_1	3.1.-.-		Endonuclease MutS2
MHDDLIMJ_00099	gene	1449	pepD			
MHDDLIMJ_00099	CDS	1449	pepD	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
MHDDLIMJ_00100	gene	2535	mprF_1			
MHDDLIMJ_00100	CDS	2535	mprF_1	2.3.2.3		Phosphatidylglycerol lysyltransferase
MHDDLIMJ_00101	gene	804	phnV			
MHDDLIMJ_00101	CDS	804	phnV		COG1177	Putative 2-aminoethylphosphonate transport system permease protein PhnV
MHDDLIMJ_00102	gene	1023	cysA			
MHDDLIMJ_00102	CDS	1023	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
MHDDLIMJ_00103	gene	612				
MHDDLIMJ_00103	CDS	612				hypothetical protein
MHDDLIMJ_00104	gene	345				
MHDDLIMJ_00104	CDS	345		2.8.1.-	COG0607	Sulfurtransferase
MHDDLIMJ_00105	gene	537	rbr1_1			
MHDDLIMJ_00105	CDS	537	rbr1_1	1.11.1.1	COG1592	Rubrerythrin-1
MHDDLIMJ_00106	gene	1056				
MHDDLIMJ_00106	CDS	1056				hypothetical protein
MHDDLIMJ_00107	gene	1407	mepA_1			
MHDDLIMJ_00107	CDS	1407	mepA_1			Multidrug export protein MepA
MHDDLIMJ_00108	gene	921	rnz			
MHDDLIMJ_00108	CDS	921	rnz	3.1.26.11	COG1234	Ribonuclease Z
MHDDLIMJ_00109	gene	297				
MHDDLIMJ_00109	CDS	297		2.8.1.-	COG0607	Sulfurtransferase
MHDDLIMJ_00110	gene	1791				
