locus_tag	ftype	length_bp	gene	EC_number	COG	product
AJCGOMHN_00001	gene	1176				
AJCGOMHN_00001	CDS	1176				hypothetical protein
AJCGOMHN_00002	gene	564				
AJCGOMHN_00002	CDS	564				hypothetical protein
AJCGOMHN_00003	gene	2889	gcvP			
AJCGOMHN_00003	CDS	2889	gcvP	1.4.4.2		Glycine dehydrogenase (decarboxylating)
AJCGOMHN_00004	gene	76				
AJCGOMHN_00004	tRNA	76				tRNA-His(gtg)
AJCGOMHN_00005	gene	588				
AJCGOMHN_00005	CDS	588				hypothetical protein
AJCGOMHN_00006	gene	231				
AJCGOMHN_00006	CDS	231				hypothetical protein
AJCGOMHN_00007	gene	402				
AJCGOMHN_00007	CDS	402				hypothetical protein
AJCGOMHN_00008	gene	1521	gpmI			
AJCGOMHN_00008	CDS	1521	gpmI	5.4.2.12		2,3-bisphosphoglycerate-independent phosphoglycerate mutase
AJCGOMHN_00009	gene	153				
AJCGOMHN_00009	CDS	153				hypothetical protein
AJCGOMHN_00010	gene	336				
AJCGOMHN_00010	CDS	336				hypothetical protein
AJCGOMHN_00011	gene	1464				
AJCGOMHN_00011	CDS	1464				hypothetical protein
AJCGOMHN_00012	gene	3252	tri1_1			
AJCGOMHN_00012	CDS	3252	tri1_1	3.4.21.-	COG0793	Tricorn protease 
AJCGOMHN_00013	gene	333				
AJCGOMHN_00013	CDS	333				hypothetical protein
AJCGOMHN_00014	gene	918				
AJCGOMHN_00014	CDS	918				hypothetical protein
AJCGOMHN_00015	gene	771	mkl			
AJCGOMHN_00015	CDS	771	mkl		COG1127	putative ribonucleotide transport ATP-binding protein mkl
AJCGOMHN_00016	gene	738	mlaE			
AJCGOMHN_00016	CDS	738	mlaE		COG0767	Intermembrane phospholipid transport system permease protein MlaE
AJCGOMHN_00017	gene	1080	algA_1			
AJCGOMHN_00017	CDS	1080	algA_1		COG0662	Alginate biosynthesis protein AlgA
AJCGOMHN_00018	gene	1251				
AJCGOMHN_00018	CDS	1251				hypothetical protein
AJCGOMHN_00019	gene	573				
AJCGOMHN_00019	CDS	573				hypothetical protein
AJCGOMHN_00020	gene	1320				
AJCGOMHN_00020	CDS	1320				hypothetical protein
AJCGOMHN_00021	gene	738	coaX			
AJCGOMHN_00021	CDS	738	coaX	2.7.1.33	COG1521	Type III pantothenate kinase
AJCGOMHN_00022	gene	3306	mfd			
AJCGOMHN_00022	CDS	3306	mfd	3.6.4.-		Transcription-repair-coupling factor
AJCGOMHN_00023	gene	1050	queA_1			
