locus_tag	ftype	length_bp	gene	EC_number	COG	product
OHJEMHBH_00001	gene	1128				
OHJEMHBH_00001	CDS	1128				hypothetical protein
OHJEMHBH_00002	gene	1215				
OHJEMHBH_00002	CDS	1215				IS256 family transposase ISSde5
OHJEMHBH_00003	gene	1209				
OHJEMHBH_00003	CDS	1209				hypothetical protein
OHJEMHBH_00004	gene	2856				
OHJEMHBH_00004	CDS	2856				TonB-dependent receptor P3
OHJEMHBH_00005	gene	1158	xerC_1			
OHJEMHBH_00005	CDS	1158	xerC_1			Tyrosine recombinase XerC
OHJEMHBH_00006	gene	2979				
OHJEMHBH_00006	CDS	2979				TonB-dependent receptor P26
OHJEMHBH_00007	gene	1479				
OHJEMHBH_00007	CDS	1479				hypothetical protein
OHJEMHBH_00008	gene	657				
OHJEMHBH_00008	CDS	657				hypothetical protein
OHJEMHBH_00009	gene	693	yjjG_1			
OHJEMHBH_00009	CDS	693	yjjG_1	3.1.3.5	COG1011	Pyrimidine 5'-nucleotidase YjjG
OHJEMHBH_00010	gene	879				
OHJEMHBH_00010	CDS	879				hypothetical protein
OHJEMHBH_00011	gene	675	rsmI_1			
OHJEMHBH_00011	CDS	675	rsmI_1	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
OHJEMHBH_00012	gene	549				
OHJEMHBH_00012	CDS	549				hypothetical protein
OHJEMHBH_00013	gene	609	tdk_1			
OHJEMHBH_00013	CDS	609	tdk_1	2.7.1.21	COG1435	Thymidine kinase
OHJEMHBH_00014	gene	1131				
OHJEMHBH_00014	CDS	1131				hypothetical protein
OHJEMHBH_00015	gene	76				
OHJEMHBH_00015	tRNA	76				tRNA-Lys(ttt)
OHJEMHBH_00016	gene	969				
OHJEMHBH_00016	CDS	969				hypothetical protein
OHJEMHBH_00017	gene	450	arsC_1			
OHJEMHBH_00017	CDS	450	arsC_1	1.20.4.4	COG0394	Arsenate reductase
OHJEMHBH_00018	gene	714				
OHJEMHBH_00018	CDS	714				hypothetical protein
OHJEMHBH_00019	gene	405				
OHJEMHBH_00019	CDS	405				hypothetical protein
OHJEMHBH_00020	gene	231				
OHJEMHBH_00020	CDS	231				hypothetical protein
OHJEMHBH_00021	gene	327				
OHJEMHBH_00021	CDS	327				hypothetical protein
OHJEMHBH_00022	gene	669				
OHJEMHBH_00022	CDS	669				hypothetical protein
OHJEMHBH_00023	gene	669				
OHJEMHBH_00023	CDS	669				hypothetical protein
OHJEMHBH_00024	gene	1041	ttgD_1			
OHJEMHBH_00024	CDS	1041	ttgD_1			Toluene efflux pump periplasmic linker protein TtgD
OHJEMHBH_00025	gene	3033	mdtC			
OHJEMHBH_00025	CDS	3033	mdtC			Multidrug resistance protein MdtC
OHJEMHBH_00026	gene	1293				
OHJEMHBH_00026	CDS	1293				hypothetical protein
OHJEMHBH_00027	gene	1002				
OHJEMHBH_00027	CDS	1002				hypothetical protein
OHJEMHBH_00028	gene	771	btsR_1			
OHJEMHBH_00028	CDS	771	btsR_1		COG3279	Transcriptional regulatory protein BtsR
OHJEMHBH_00029	gene	249				
OHJEMHBH_00029	CDS	249				hypothetical protein
OHJEMHBH_00030	gene	870	mscS			
OHJEMHBH_00030	CDS	870	mscS		COG0668	Small-conductance mechanosensitive channel
OHJEMHBH_00031	gene	2235				
OHJEMHBH_00031	CDS	2235				hypothetical protein
OHJEMHBH_00032	gene	606	pnuC			
OHJEMHBH_00032	CDS	606	pnuC		COG3201	Nicotinamide riboside transporter PnuC
OHJEMHBH_00033	gene	666				
OHJEMHBH_00033	CDS	666				hypothetical protein
OHJEMHBH_00034	gene	1302	thrC			
OHJEMHBH_00034	CDS	1302	thrC	4.2.3.1	COG0498	Threonine synthase
OHJEMHBH_00035	gene	1257	apgM			
OHJEMHBH_00035	CDS	1257	apgM			2,3-bisphosphoglycerate-independent phosphoglycerate mutase
OHJEMHBH_00036	gene	2433	thrA			
OHJEMHBH_00036	CDS	2433	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
OHJEMHBH_00037	gene	1041	ansA_1			
OHJEMHBH_00037	CDS	1041	ansA_1	3.5.1.1	COG0252	L-asparaginase 1
OHJEMHBH_00038	gene	1368	radA			
OHJEMHBH_00038	CDS	1368	radA	3.6.4.-	COG1066	DNA repair protein RadA
OHJEMHBH_00039	gene	1623				
OHJEMHBH_00039	CDS	1623				hypothetical protein
OHJEMHBH_00040	gene	507	isiB			
OHJEMHBH_00040	CDS	507	isiB			Flavodoxin
OHJEMHBH_00041	gene	2046	dxs_1			
OHJEMHBH_00041	CDS	2046	dxs_1	2.2.1.7		1-deoxy-D-xylulose-5-phosphate synthase
OHJEMHBH_00042	gene	1302	pdhC			
OHJEMHBH_00042	CDS	1302	pdhC	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
OHJEMHBH_00043	gene	750				
OHJEMHBH_00043	CDS	750		6.3.1.20		Lipoate--protein ligase 1
OHJEMHBH_00044	gene	1350	lpd			
OHJEMHBH_00044	CDS	1350	lpd	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase
OHJEMHBH_00045	gene	579				
OHJEMHBH_00045	CDS	579				hypothetical protein
OHJEMHBH_00046	gene	2475	btuB_1			
OHJEMHBH_00046	CDS	2475	btuB_1			Vitamin B12 transporter BtuB
OHJEMHBH_00047	gene	1041				
OHJEMHBH_00047	CDS	1041				hypothetical protein
OHJEMHBH_00048	gene	1893	rlhA			
OHJEMHBH_00048	CDS	1893	rlhA		COG0826	23S rRNA 5-hydroxycytidine synthase
OHJEMHBH_00049	gene	918	metAA			
OHJEMHBH_00049	CDS	918	metAA	2.3.1.31	COG1897	Homoserine O-acetyltransferase
OHJEMHBH_00050	gene	1911				
OHJEMHBH_00050	CDS	1911				hypothetical protein
OHJEMHBH_00051	gene	954	metF			
OHJEMHBH_00051	CDS	954	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
OHJEMHBH_00052	gene	1125				
OHJEMHBH_00052	CDS	1125				hypothetical protein
OHJEMHBH_00053	gene	1344				
OHJEMHBH_00053	CDS	1344				hypothetical protein
OHJEMHBH_00054	gene	486	gldH			
OHJEMHBH_00054	CDS	486	gldH			Gliding motility lipoprotein GldH
OHJEMHBH_00055	gene	1458	mrdB_1			
OHJEMHBH_00055	CDS	1458	mrdB_1	2.4.1.129		Peptidoglycan glycosyltransferase MrdB
OHJEMHBH_00056	gene	1866	mrdA			
OHJEMHBH_00056	CDS	1866	mrdA	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
OHJEMHBH_00057	gene	501				
OHJEMHBH_00057	CDS	501				hypothetical protein
OHJEMHBH_00058	gene	837	mreC			
OHJEMHBH_00058	CDS	837	mreC		COG1792	Cell shape-determining protein MreC
OHJEMHBH_00059	gene	1023	mbl			
OHJEMHBH_00059	CDS	1023	mbl		COG1077	Cell shape-determining protein Mbl
OHJEMHBH_00060	gene	1524	purH_1			
OHJEMHBH_00060	CDS	1524	purH_1		COG0138	Bifunctional purine biosynthesis protein PurH
OHJEMHBH_00061	gene	2037	pepO			
OHJEMHBH_00061	CDS	2037	pepO	3.4.24.-	COG3590	Neutral endopeptidase
OHJEMHBH_00062	gene	1971	yheS_1			
OHJEMHBH_00062	CDS	1971	yheS_1		COG0488	putative ABC transporter ATP-binding protein YheS
OHJEMHBH_00063	gene	912				
OHJEMHBH_00063	CDS	912				hypothetical protein
OHJEMHBH_00064	gene	2355	bamA_1			
OHJEMHBH_00064	CDS	2355	bamA_1			Outer membrane protein assembly factor BamA
OHJEMHBH_00065	gene	4542				
OHJEMHBH_00065	CDS	4542				hypothetical protein
OHJEMHBH_00066	gene	2337	rcsC_1			
OHJEMHBH_00066	CDS	2337	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
OHJEMHBH_00067	gene	1338	norM			
OHJEMHBH_00067	CDS	1338	norM		COG0534	Multidrug resistance protein NorM
OHJEMHBH_00068	gene	1236				
OHJEMHBH_00068	CDS	1236		3.4.24.-	COG0612	putative zinc protease
OHJEMHBH_00069	gene	840				
OHJEMHBH_00069	CDS	840		5.2.1.8		Putative peptidyl-prolyl cis-trans isomerase
OHJEMHBH_00070	gene	1362	zraR_1			
OHJEMHBH_00070	CDS	1362	zraR_1		COG2204	Transcriptional regulatory protein ZraR
OHJEMHBH_00071	gene	2538				
OHJEMHBH_00071	CDS	2538				hypothetical protein
OHJEMHBH_00072	gene	672	rluD_1			
OHJEMHBH_00072	CDS	672	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
OHJEMHBH_00073	gene	747	fabG_1			
OHJEMHBH_00073	CDS	747	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
OHJEMHBH_00074	gene	585	kstR2			
OHJEMHBH_00074	CDS	585	kstR2			HTH-type transcriptional repressor KstR2
OHJEMHBH_00075	gene	1320				
OHJEMHBH_00075	CDS	1320				hypothetical protein
OHJEMHBH_00076	gene	1338				
OHJEMHBH_00076	CDS	1338				hypothetical protein
OHJEMHBH_00077	gene	1764				
OHJEMHBH_00077	CDS	1764				hypothetical protein
OHJEMHBH_00078	gene	2043	hypBA1			
OHJEMHBH_00078	CDS	2043	hypBA1	3.2.1.185		Non-reducing end beta-L-arabinofuranosidase
OHJEMHBH_00079	gene	4038				
OHJEMHBH_00079	CDS	4038				hypothetical protein
OHJEMHBH_00080	gene	1449				
OHJEMHBH_00080	CDS	1449				hypothetical protein
OHJEMHBH_00081	gene	2487				
OHJEMHBH_00081	CDS	2487				hypothetical protein
OHJEMHBH_00082	gene	666				
OHJEMHBH_00082	CDS	666				hypothetical protein
OHJEMHBH_00083	gene	1746				
OHJEMHBH_00083	CDS	1746				hypothetical protein
OHJEMHBH_00084	gene	666				
OHJEMHBH_00084	CDS	666				hypothetical protein
OHJEMHBH_00085	gene	2271				
OHJEMHBH_00085	CDS	2271				hypothetical protein
OHJEMHBH_00086	gene	3486				
OHJEMHBH_00086	CDS	3486				TonB-dependent receptor P3
OHJEMHBH_00087	gene	900				
OHJEMHBH_00087	CDS	900				hypothetical protein
OHJEMHBH_00088	gene	2727				
OHJEMHBH_00088	CDS	2727				hypothetical protein
OHJEMHBH_00089	gene	4284	lacZ_1			
OHJEMHBH_00089	CDS	4284	lacZ_1	3.2.1.23		Beta-galactosidase
OHJEMHBH_00090	gene	2259				
OHJEMHBH_00090	CDS	2259				hypothetical protein
OHJEMHBH_00091	gene	1419				
OHJEMHBH_00091	CDS	1419				hypothetical protein
OHJEMHBH_00092	gene	3309				
OHJEMHBH_00092	CDS	3309				hypothetical protein
OHJEMHBH_00093	gene	2961	lacZ_2			
OHJEMHBH_00093	CDS	2961	lacZ_2	3.2.1.23		Beta-galactosidase
OHJEMHBH_00094	gene	3216	lacZ_3			
OHJEMHBH_00094	CDS	3216	lacZ_3	3.2.1.23		Beta-galactosidase
OHJEMHBH_00095	gene	261				
OHJEMHBH_00095	CDS	261				hypothetical protein
OHJEMHBH_00096	gene	1353	yteR_1			
OHJEMHBH_00096	CDS	1353	yteR_1	3.2.1.172	COG4225	Unsaturated rhamnogalacturonyl hydrolase YteR
OHJEMHBH_00097	gene	132				
OHJEMHBH_00097	CDS	132				hypothetical protein
OHJEMHBH_00098	gene	564	sigM			
OHJEMHBH_00098	CDS	564	sigM		COG1595	ECF RNA polymerase sigma factor SigM
OHJEMHBH_00099	gene	3141				
OHJEMHBH_00099	CDS	3141				hypothetical protein
OHJEMHBH_00100	gene	1695				
OHJEMHBH_00100	CDS	1695				hypothetical protein
OHJEMHBH_00101	gene	4377	rcsC_2			
OHJEMHBH_00101	CDS	4377	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
OHJEMHBH_00102	gene	2631				
OHJEMHBH_00102	CDS	2631		3.2.1.31		Beta-glucuronidase
OHJEMHBH_00103	gene	1590				
OHJEMHBH_00103	CDS	1590				hypothetical protein
OHJEMHBH_00104	gene	2103				
OHJEMHBH_00104	CDS	2103				hypothetical protein
OHJEMHBH_00105	gene	927				
OHJEMHBH_00105	CDS	927				hypothetical protein
OHJEMHBH_00106	gene	3333				
OHJEMHBH_00106	CDS	3333				hypothetical protein
OHJEMHBH_00107	gene	2694				
OHJEMHBH_00107	CDS	2694		3.2.1.40		Alpha-L-rhamnosidase
OHJEMHBH_00108	gene	74				
OHJEMHBH_00108	tRNA	74				tRNA-Met(cat)
OHJEMHBH_00109	gene	1434	lapB			
OHJEMHBH_00109	CDS	1434	lapB			Lipopolysaccharide assembly protein B
OHJEMHBH_00110	gene	951				
OHJEMHBH_00110	CDS	951				hypothetical protein
OHJEMHBH_00111	gene	816				
OHJEMHBH_00111	CDS	816				hypothetical protein
OHJEMHBH_00112	gene	651				
OHJEMHBH_00112	CDS	651				hypothetical protein
OHJEMHBH_00113	gene	606	tolR_1			
OHJEMHBH_00113	CDS	606	tolR_1			Tol-Pal system protein TolR
OHJEMHBH_00114	gene	813	tolQ_1			
OHJEMHBH_00114	CDS	813	tolQ_1			Tol-Pal system protein TolQ
OHJEMHBH_00115	gene	489				
OHJEMHBH_00115	CDS	489				hypothetical protein
OHJEMHBH_00116	gene	106				
OHJEMHBH_00116	rRNA	106				5S ribosomal RNA
OHJEMHBH_00117	gene	2873				
OHJEMHBH_00117	rRNA	2873				23S ribosomal RNA
OHJEMHBH_00118	gene	75				
OHJEMHBH_00118	tRNA	75				tRNA-Ala(tgc)
OHJEMHBH_00119	gene	75				
OHJEMHBH_00119	tRNA	75				tRNA-Ile(gat)
OHJEMHBH_00120	gene	1523				
OHJEMHBH_00120	rRNA	1523				16S ribosomal RNA
OHJEMHBH_00121	gene	369				
OHJEMHBH_00121	CDS	369				hypothetical protein
OHJEMHBH_00122	gene	141				
OHJEMHBH_00122	CDS	141				hypothetical protein
OHJEMHBH_00123	gene	339				
OHJEMHBH_00123	CDS	339				hypothetical protein
OHJEMHBH_00124	gene	309				
OHJEMHBH_00124	CDS	309				hypothetical protein
OHJEMHBH_00125	gene	1824	ruvB_1			
OHJEMHBH_00125	CDS	1824	ruvB_1	3.6.4.12		Holliday junction ATP-dependent DNA helicase RuvB
OHJEMHBH_00126	gene	1935	rcsC_3			
OHJEMHBH_00126	CDS	1935	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
OHJEMHBH_00127	gene	1089	rcsC_4			
OHJEMHBH_00127	CDS	1089	rcsC_4	2.7.13.3		Sensor histidine kinase RcsC
OHJEMHBH_00128	gene	171				
OHJEMHBH_00128	CDS	171				Ferredoxin
OHJEMHBH_00129	gene	1194				
OHJEMHBH_00129	CDS	1194		2.6.1.1		Aspartate/prephenate aminotransferase
OHJEMHBH_00130	gene	1215	ribBA			
OHJEMHBH_00130	CDS	1215	ribBA		COG0108	Riboflavin biosynthesis protein RibBA
OHJEMHBH_00131	gene	1908				
OHJEMHBH_00131	CDS	1908				hypothetical protein
OHJEMHBH_00132	gene	387				
