locus_tag	ftype	length_bp	gene	EC_number	COG	product
PNEJMIBF_00001	gene	291				
PNEJMIBF_00001	CDS	291				hypothetical protein
PNEJMIBF_00002	gene	1741				
PNEJMIBF_00002	rRNA	1741				23S ribosomal RNA (partial)
PNEJMIBF_00003	gene	756				
PNEJMIBF_00003	CDS	756				IS21 family transposase IS643
PNEJMIBF_00004	gene	1551				
PNEJMIBF_00004	CDS	1551				hypothetical protein
PNEJMIBF_00005	gene	3690				
PNEJMIBF_00005	CDS	3690				hypothetical protein
PNEJMIBF_00006	gene	294				
PNEJMIBF_00006	CDS	294				hypothetical protein
PNEJMIBF_00007	gene	1257				
PNEJMIBF_00007	CDS	1257				hypothetical protein
PNEJMIBF_00008	gene	411				
PNEJMIBF_00008	CDS	411				hypothetical protein
PNEJMIBF_00009	gene	564				
PNEJMIBF_00009	CDS	564				hypothetical protein
PNEJMIBF_00010	gene	546	proX			
PNEJMIBF_00010	CDS	546	proX		COG3760	Prolyl-tRNA editing protein ProX
PNEJMIBF_00011	gene	663	sfsA			
PNEJMIBF_00011	CDS	663	sfsA		COG1489	Sugar fermentation stimulation protein A
PNEJMIBF_00012	gene	483				
PNEJMIBF_00012	CDS	483				hypothetical protein
PNEJMIBF_00013	gene	588				
PNEJMIBF_00013	CDS	588				hypothetical protein
PNEJMIBF_00014	gene	603				
PNEJMIBF_00014	CDS	603				hypothetical protein
PNEJMIBF_00015	gene	1191				
PNEJMIBF_00015	CDS	1191				hypothetical protein
PNEJMIBF_00016	gene	2640				
PNEJMIBF_00016	CDS	2640				hypothetical protein
PNEJMIBF_00017	gene	858				
PNEJMIBF_00017	CDS	858				hypothetical protein
PNEJMIBF_00018	gene	258				
PNEJMIBF_00018	CDS	258				hypothetical protein
PNEJMIBF_00019	gene	5952				
PNEJMIBF_00019	CDS	5952				hypothetical protein
PNEJMIBF_00020	gene	549				
PNEJMIBF_00020	CDS	549				hypothetical protein
PNEJMIBF_00021	gene	1431				
PNEJMIBF_00021	CDS	1431				hypothetical protein
PNEJMIBF_00022	gene	1104				
PNEJMIBF_00022	CDS	1104				IS200/IS605 family transposase ISBth17
PNEJMIBF_00023	gene	168				
PNEJMIBF_00023	CDS	168				hypothetical protein
PNEJMIBF_00024	gene	381				
PNEJMIBF_00024	CDS	381				hypothetical protein
PNEJMIBF_00025	gene	231				
PNEJMIBF_00025	CDS	231				hypothetical protein
PNEJMIBF_00026	gene	531				
PNEJMIBF_00026	CDS	531				hypothetical protein
PNEJMIBF_00027	gene	294				
PNEJMIBF_00027	CDS	294				hypothetical protein
PNEJMIBF_00028	gene	336				
PNEJMIBF_00028	CDS	336				hypothetical protein
PNEJMIBF_00029	gene	162				
PNEJMIBF_00029	CDS	162				hypothetical protein
PNEJMIBF_00030	gene	207				
PNEJMIBF_00030	CDS	207				hypothetical protein
PNEJMIBF_00031	gene	249				
PNEJMIBF_00031	CDS	249				hypothetical protein
PNEJMIBF_00032	gene	219				
PNEJMIBF_00032	CDS	219				hypothetical protein
PNEJMIBF_00033	gene	192				
PNEJMIBF_00033	CDS	192				hypothetical protein
PNEJMIBF_00034	gene	993	xerC_1			
PNEJMIBF_00034	CDS	993	xerC_1			Tyrosine recombinase XerC
PNEJMIBF_00035	gene	573				
PNEJMIBF_00035	CDS	573				hypothetical protein
PNEJMIBF_00036	gene	702				
PNEJMIBF_00036	CDS	702				hypothetical protein
PNEJMIBF_00037	gene	228				
PNEJMIBF_00037	CDS	228				hypothetical protein
PNEJMIBF_00038	gene	321				
PNEJMIBF_00038	CDS	321				hypothetical protein
PNEJMIBF_00039	gene	849				
PNEJMIBF_00039	CDS	849				hypothetical protein
PNEJMIBF_00040	gene	216				
PNEJMIBF_00040	CDS	216				hypothetical protein
PNEJMIBF_00041	gene	195				
PNEJMIBF_00041	CDS	195				hypothetical protein
PNEJMIBF_00042	gene	210				
