locus_tag	ftype	length_bp	gene	EC_number	COG	product
IEJDMLOM_00001	gene	1962	thrS			
IEJDMLOM_00001	CDS	1962	thrS	6.1.1.3		Threonine--tRNA ligase
IEJDMLOM_00002	gene	555	nrdG_1			
IEJDMLOM_00002	CDS	555	nrdG_1	1.97.1.-	COG0602	Anaerobic ribonucleoside-triphosphate reductase-activating protein
IEJDMLOM_00003	gene	2178	nrdD_1			
IEJDMLOM_00003	CDS	2178	nrdD_1	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
IEJDMLOM_00004	gene	834				
IEJDMLOM_00004	CDS	834				hypothetical protein
IEJDMLOM_00005	gene	873				
IEJDMLOM_00005	CDS	873				hypothetical protein
IEJDMLOM_00006	gene	570				
IEJDMLOM_00006	CDS	570				hypothetical protein
IEJDMLOM_00007	gene	1035				
IEJDMLOM_00007	CDS	1035				hypothetical protein
IEJDMLOM_00008	gene	540				
IEJDMLOM_00008	CDS	540				hypothetical protein
IEJDMLOM_00009	gene	507				
IEJDMLOM_00009	CDS	507				hypothetical protein
IEJDMLOM_00010	gene	792	COQ3_1			
IEJDMLOM_00010	CDS	792	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
IEJDMLOM_00011	gene	594				
IEJDMLOM_00011	CDS	594				hypothetical protein
IEJDMLOM_00012	gene	426				
IEJDMLOM_00012	CDS	426				hypothetical protein
IEJDMLOM_00013	gene	1404	resA_1			
IEJDMLOM_00013	CDS	1404	resA_1			Thiol-disulfide oxidoreductase ResA
IEJDMLOM_00014	gene	1389	rclA			
IEJDMLOM_00014	CDS	1389	rclA		COG1249	putative pyridine nucleotide-disulfide oxidoreductase RclA
IEJDMLOM_00015	gene	1983	dsdA			
IEJDMLOM_00015	CDS	1983	dsdA	4.3.1.18		D-serine dehydratase
IEJDMLOM_00016	gene	888	rsxB_1			
IEJDMLOM_00016	CDS	888	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
IEJDMLOM_00017	gene	2166	mrdA_1			
IEJDMLOM_00017	CDS	2166	mrdA_1	3.4.16.4		Peptidoglycan D,D-transpeptidase MrdA
IEJDMLOM_00018	gene	537	ybdM			
IEJDMLOM_00018	CDS	537	ybdM		COG1475	putative protein YbdM
IEJDMLOM_00019	gene	1347				
IEJDMLOM_00019	CDS	1347				hypothetical protein
IEJDMLOM_00020	gene	1275	purD			
IEJDMLOM_00020	CDS	1275	purD	6.3.4.13	COG0151	Phosphoribosylamine--glycine ligase
IEJDMLOM_00021	gene	591	purN			
IEJDMLOM_00021	CDS	591	purN	2.1.2.2		Phosphoribosylglycinamide formyltransferase
IEJDMLOM_00022	gene	1032	purM			
IEJDMLOM_00022	CDS	1032	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
IEJDMLOM_00023	gene	519	purE			
IEJDMLOM_00023	CDS	519	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
IEJDMLOM_00024	gene	414				
IEJDMLOM_00024	CDS	414				hypothetical protein
IEJDMLOM_00025	gene	1095				
IEJDMLOM_00025	CDS	1095		3.1.4.-	COG3437	putative cyclic di-GMP phosphodiesterase
IEJDMLOM_00026	gene	351				
