locus_tag	ftype	length_bp	gene	EC_number	COG	product
DMJOBMPN_00001	gene	684				
DMJOBMPN_00001	CDS	684				hypothetical protein
DMJOBMPN_00002	gene	258				
DMJOBMPN_00002	CDS	258				hypothetical protein
DMJOBMPN_00003	gene	945	fgd_1			
DMJOBMPN_00003	CDS	945	fgd_1	1.1.98.2		F420-dependent glucose-6-phosphate dehydrogenase
DMJOBMPN_00004	gene	1341				
DMJOBMPN_00004	CDS	1341				hypothetical protein
DMJOBMPN_00005	gene	1338	rutG			
DMJOBMPN_00005	CDS	1338	rutG		COG2233	Putative pyrimidine permease RutG
DMJOBMPN_00006	gene	678				
DMJOBMPN_00006	CDS	678				hypothetical protein
DMJOBMPN_00007	gene	306				
DMJOBMPN_00007	CDS	306				hypothetical protein
DMJOBMPN_00008	gene	2826				
DMJOBMPN_00008	CDS	2826				hypothetical protein
DMJOBMPN_00009	gene	2496				
DMJOBMPN_00009	CDS	2496				hypothetical protein
DMJOBMPN_00010	gene	948	pheA			
DMJOBMPN_00010	CDS	948	pheA	4.2.1.51	COG0077	Prephenate dehydratase
DMJOBMPN_00011	gene	1179	yegS			
DMJOBMPN_00011	CDS	1179	yegS	2.7.1.-		lipid kinase YegS
DMJOBMPN_00012	gene	1305	serS			
DMJOBMPN_00012	CDS	1305	serS	6.1.1.11	COG0172	Serine--tRNA ligase
DMJOBMPN_00013	gene	828	ycsE			
DMJOBMPN_00013	CDS	828	ycsE	3.1.3.104		5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YcsE
DMJOBMPN_00014	gene	1014	ccpA_1			
DMJOBMPN_00014	CDS	1014	ccpA_1		COG1609	Catabolite control protein A
DMJOBMPN_00015	gene	1389				
DMJOBMPN_00015	CDS	1389				hypothetical protein
DMJOBMPN_00016	gene	990				
DMJOBMPN_00016	CDS	990				hypothetical protein
DMJOBMPN_00017	gene	978	araQ_1			
DMJOBMPN_00017	CDS	978	araQ_1		COG0395	L-arabinose transport system permease protein AraQ
DMJOBMPN_00018	gene	1287	pbuE			
DMJOBMPN_00018	CDS	1287	pbuE		COG2814	Purine efflux pump PbuE
DMJOBMPN_00019	gene	501	hmrR			
DMJOBMPN_00019	CDS	501	hmrR			HTH-type transcriptional regulator HmrR
DMJOBMPN_00020	gene	975				
DMJOBMPN_00020	CDS	975				hypothetical protein
DMJOBMPN_00021	gene	1212				
DMJOBMPN_00021	CDS	1212				hypothetical protein
DMJOBMPN_00022	gene	543	bpa			
DMJOBMPN_00022	CDS	543	bpa			Bacterial proteasome activator
DMJOBMPN_00023	gene	984	mas			
DMJOBMPN_00023	CDS	984	mas	2.3.1.111		Mycocerosic acid synthase
DMJOBMPN_00024	gene	4179				
DMJOBMPN_00024	CDS	4179				hypothetical protein
DMJOBMPN_00025	gene	450				
DMJOBMPN_00025	CDS	450				hypothetical protein
DMJOBMPN_00026	gene	375				
DMJOBMPN_00026	CDS	375				hypothetical protein
DMJOBMPN_00027	gene	651				
DMJOBMPN_00027	CDS	651				hypothetical protein
DMJOBMPN_00028	gene	417				
DMJOBMPN_00028	CDS	417				hypothetical protein
DMJOBMPN_00029	gene	795	bdhA			
DMJOBMPN_00029	CDS	795	bdhA	1.1.1.30		D-beta-hydroxybutyrate dehydrogenase
DMJOBMPN_00030	gene	93				
DMJOBMPN_00030	tRNA	93				tRNA-Ser(tga)
DMJOBMPN_00031	gene	342				
DMJOBMPN_00031	CDS	342				hypothetical protein
DMJOBMPN_00032	gene	738				
