locus_tag	ftype	length_bp	gene	EC_number	COG	product
IMHIPDHA_00001	gene	744				
IMHIPDHA_00001	CDS	744				hypothetical protein
IMHIPDHA_00002	gene	1407				
IMHIPDHA_00002	CDS	1407				hypothetical protein
IMHIPDHA_00003	gene	489				
IMHIPDHA_00003	CDS	489				hypothetical protein
IMHIPDHA_00004	gene	921				
IMHIPDHA_00004	CDS	921				hypothetical protein
IMHIPDHA_00005	gene	1008				
IMHIPDHA_00005	CDS	1008				IS110 family transposase ISCaa7
IMHIPDHA_00006	gene	1188	uxuA_1			
IMHIPDHA_00006	CDS	1188	uxuA_1	4.2.1.8	COG1312	Mannonate dehydratase
IMHIPDHA_00007	gene	816	uxuB_1			
IMHIPDHA_00007	CDS	816	uxuB_1	1.-.-.-	COG1028	putative oxidoreductase UxuB
IMHIPDHA_00008	gene	882	rhaR_1			
IMHIPDHA_00008	CDS	882	rhaR_1			HTH-type transcriptional activator RhaR
IMHIPDHA_00009	gene	1953				
IMHIPDHA_00009	CDS	1953		3.2.1.22		Retaining alpha-galactosidase
IMHIPDHA_00010	gene	843				
IMHIPDHA_00010	CDS	843		1.-.-.-	COG0656	putative oxidoreductase/MSMEI_2347
IMHIPDHA_00011	gene	1617				
IMHIPDHA_00011	CDS	1617				hypothetical protein
IMHIPDHA_00012	gene	384				
IMHIPDHA_00012	CDS	384				hypothetical protein
IMHIPDHA_00013	gene	783				
IMHIPDHA_00013	CDS	783				hypothetical protein
IMHIPDHA_00014	gene	2745				
IMHIPDHA_00014	CDS	2745				hypothetical protein
IMHIPDHA_00015	gene	411				
IMHIPDHA_00015	CDS	411				hypothetical protein
IMHIPDHA_00016	gene	531				
IMHIPDHA_00016	CDS	531				hypothetical protein
IMHIPDHA_00017	gene	3159				
IMHIPDHA_00017	CDS	3159				TonB-dependent receptor P26
IMHIPDHA_00018	gene	1755				
IMHIPDHA_00018	CDS	1755				hypothetical protein
IMHIPDHA_00019	gene	1524				
IMHIPDHA_00019	CDS	1524				hypothetical protein
IMHIPDHA_00020	gene	1359				
IMHIPDHA_00020	CDS	1359				hypothetical protein
IMHIPDHA_00021	gene	1428				
IMHIPDHA_00021	CDS	1428				hypothetical protein
IMHIPDHA_00022	gene	1389				
IMHIPDHA_00022	CDS	1389				hypothetical protein
IMHIPDHA_00023	gene	1932				
IMHIPDHA_00023	CDS	1932				hypothetical protein
IMHIPDHA_00024	gene	1926	menH			
IMHIPDHA_00024	CDS	1926	menH	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
IMHIPDHA_00025	gene	2268				
IMHIPDHA_00025	CDS	2268				hypothetical protein
IMHIPDHA_00026	gene	2778				
IMHIPDHA_00026	CDS	2778				hypothetical protein
IMHIPDHA_00027	gene	516	sigE_1			
IMHIPDHA_00027	CDS	516	sigE_1		COG1595	ECF RNA polymerase sigma factor SigE
IMHIPDHA_00028	gene	3234				
IMHIPDHA_00028	CDS	3234				TonB-dependent receptor P26
IMHIPDHA_00029	gene	1722				
IMHIPDHA_00029	CDS	1722				hypothetical protein
IMHIPDHA_00030	gene	1464				
IMHIPDHA_00030	CDS	1464				hypothetical protein
IMHIPDHA_00031	gene	1281				
IMHIPDHA_00031	CDS	1281				hypothetical protein
IMHIPDHA_00032	gene	3141	lacZ_1			
IMHIPDHA_00032	CDS	3141	lacZ_1	3.2.1.23		Beta-galactosidase
IMHIPDHA_00033	gene	303				
IMHIPDHA_00033	CDS	303				hypothetical protein
IMHIPDHA_00034	gene	2736				
IMHIPDHA_00034	CDS	2736				hypothetical protein
IMHIPDHA_00035	gene	516	ylaC_1			
IMHIPDHA_00035	CDS	516	ylaC_1			RNA polymerase sigma factor YlaC
IMHIPDHA_00036	gene	96				
IMHIPDHA_00036	CDS	96				hypothetical protein
IMHIPDHA_00037	gene	3237				
IMHIPDHA_00037	CDS	3237				TonB-dependent receptor P39
IMHIPDHA_00038	gene	1725				
IMHIPDHA_00038	CDS	1725				hypothetical protein
IMHIPDHA_00039	gene	1527				
IMHIPDHA_00039	CDS	1527				hypothetical protein
IMHIPDHA_00040	gene	1404				
IMHIPDHA_00040	CDS	1404				hypothetical protein
IMHIPDHA_00041	gene	1650				
IMHIPDHA_00041	CDS	1650		3.2.1.-		Beta-xylosidase
IMHIPDHA_00042	gene	1221				
IMHIPDHA_00042	CDS	1221		3.2.1.-		Unsaturated glucuronyl hydrolase
IMHIPDHA_00043	gene	558				
IMHIPDHA_00043	CDS	558				hypothetical protein
IMHIPDHA_00044	gene	477				
IMHIPDHA_00044	CDS	477				hypothetical protein
IMHIPDHA_00045	gene	1293				
IMHIPDHA_00045	CDS	1293				hypothetical protein
IMHIPDHA_00046	gene	786	loiP			
IMHIPDHA_00046	CDS	786	loiP	3.4.24.-	COG0501	Metalloprotease LoiP
IMHIPDHA_00047	gene	2379				
IMHIPDHA_00047	CDS	2379				hypothetical protein
IMHIPDHA_00048	gene	435				
IMHIPDHA_00048	CDS	435				hypothetical protein
IMHIPDHA_00049	gene	819				
IMHIPDHA_00049	CDS	819				hypothetical protein
IMHIPDHA_00050	gene	795				
IMHIPDHA_00050	CDS	795				hypothetical protein
IMHIPDHA_00051	gene	1437				
IMHIPDHA_00051	CDS	1437				hypothetical protein
IMHIPDHA_00052	gene	1068	mnmA_1			
IMHIPDHA_00052	CDS	1068	mnmA_1	2.8.1.13		tRNA-specific 2-thiouridylase MnmA
IMHIPDHA_00053	gene	702	narL			
IMHIPDHA_00053	CDS	702	narL		COG2197	putative transcriptional regulatory protein NarL
IMHIPDHA_00054	gene	591				
IMHIPDHA_00054	CDS	591				hypothetical protein
IMHIPDHA_00055	gene	1428	nhaC			
IMHIPDHA_00055	CDS	1428	nhaC		COG1757	Na(+)/H(+) antiporter NhaC
IMHIPDHA_00056	gene	435				
IMHIPDHA_00056	CDS	435				hypothetical protein
IMHIPDHA_00057	gene	1176				
IMHIPDHA_00057	CDS	1176				putative transporter
IMHIPDHA_00058	gene	2349	pbpC			
IMHIPDHA_00058	CDS	2349	pbpC		COG4953	Penicillin-binding protein 1C
IMHIPDHA_00059	gene	5631				
IMHIPDHA_00059	CDS	5631				hypothetical protein
IMHIPDHA_00060	gene	402	mip			
IMHIPDHA_00060	CDS	402	mip	5.2.1.8	COG0545	Outer membrane protein MIP
IMHIPDHA_00061	gene	387				
IMHIPDHA_00061	CDS	387				hypothetical protein
IMHIPDHA_00062	gene	1113				
IMHIPDHA_00062	CDS	1113				hypothetical protein
IMHIPDHA_00063	gene	354				
IMHIPDHA_00063	CDS	354				hypothetical protein
IMHIPDHA_00064	gene	144				
IMHIPDHA_00064	CDS	144				hypothetical protein
