locus_tag	ftype	length_bp	gene	EC_number	COG	product
EDPMNEJH_00001	gene	1356	dnaA_1			
EDPMNEJH_00001	CDS	1356	dnaA_1		COG0593	Chromosomal replication initiator protein DnaA
EDPMNEJH_00002	gene	1116	dnaN			
EDPMNEJH_00002	CDS	1116	dnaN		COG0592	Beta sliding clamp
EDPMNEJH_00003	gene	210				
EDPMNEJH_00003	CDS	210				hypothetical protein
EDPMNEJH_00004	gene	1086	recF_1			
EDPMNEJH_00004	CDS	1086	recF_1		COG1195	DNA replication and repair protein RecF
EDPMNEJH_00005	gene	2364				
EDPMNEJH_00005	CDS	2364				hypothetical protein
EDPMNEJH_00006	gene	921	rsmA			
EDPMNEJH_00006	CDS	921	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
EDPMNEJH_00007	gene	453				
EDPMNEJH_00007	CDS	453				hypothetical protein
EDPMNEJH_00008	gene	663	ywaC_1			
EDPMNEJH_00008	CDS	663	ywaC_1	2.7.6.5	COG2357	GTP pyrophosphokinase YwaC
EDPMNEJH_00009	gene	909	rpsA			
EDPMNEJH_00009	CDS	909	rpsA		COG0539	30S ribosomal protein S1
EDPMNEJH_00010	gene	1671				
EDPMNEJH_00010	CDS	1671		3.6.1.1		Cobalt-dependent inorganic pyrophosphatase
EDPMNEJH_00011	gene	591	flr			
EDPMNEJH_00011	CDS	591	flr			Flavoredoxin
EDPMNEJH_00012	gene	513	aroK_1			
EDPMNEJH_00012	CDS	513	aroK_1	2.7.1.71	COG0703	Shikimate kinase
EDPMNEJH_00013	gene	1293	murAB			
EDPMNEJH_00013	CDS	1293	murAB	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 2
EDPMNEJH_00014	gene	1182	metK_1			
EDPMNEJH_00014	CDS	1182	metK_1	2.5.1.6		S-adenosylmethionine synthase
EDPMNEJH_00015	gene	1143	sasA_1			
EDPMNEJH_00015	CDS	1143	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
EDPMNEJH_00016	gene	690	srrA_1			
EDPMNEJH_00016	CDS	690	srrA_1		COG0745	Transcriptional regulatory protein SrrA
EDPMNEJH_00017	gene	1467	speA_1			
EDPMNEJH_00017	CDS	1467	speA_1	4.1.1.19	COG1982	Arginine decarboxylase
EDPMNEJH_00018	gene	588	gmk_1			
EDPMNEJH_00018	CDS	588	gmk_1	2.7.4.8		Guanylate kinase
EDPMNEJH_00019	gene	990				
EDPMNEJH_00019	CDS	990				hypothetical protein
EDPMNEJH_00020	gene	900				
EDPMNEJH_00020	CDS	900				hypothetical protein
EDPMNEJH_00021	gene	741	yfiC			
EDPMNEJH_00021	CDS	741	yfiC	2.1.1.223		tRNA1(Val) (adenine(37)-N6)-methyltransferase
EDPMNEJH_00022	gene	852	rsmI			
EDPMNEJH_00022	CDS	852	rsmI	2.1.1.198	COG0313	Ribosomal RNA small subunit methyltransferase I
EDPMNEJH_00023	gene	1926	gyrB_1			
EDPMNEJH_00023	CDS	1926	gyrB_1	5.6.2.2	COG0187	DNA gyrase subunit B
EDPMNEJH_00024	gene	2574	gyrA_1			
EDPMNEJH_00024	CDS	2574	gyrA_1	5.6.2.2	COG0188	DNA gyrase subunit A
EDPMNEJH_00025	gene	558				
EDPMNEJH_00025	CDS	558				hypothetical protein
EDPMNEJH_00026	gene	714				
EDPMNEJH_00026	CDS	714				hypothetical protein
EDPMNEJH_00027	gene	90				
EDPMNEJH_00027	tRNA	90				tRNA-Ser(gct)
EDPMNEJH_00028	gene	1527				
EDPMNEJH_00028	rRNA	1527				16S ribosomal RNA
EDPMNEJH_00029	gene	97				
EDPMNEJH_00029	rRNA	97				5S ribosomal RNA
EDPMNEJH_00030	gene	74				
EDPMNEJH_00030	tRNA	74				tRNA-Ala(tgc)
EDPMNEJH_00031	gene	76				
EDPMNEJH_00031	tRNA	76				tRNA-Ile(gat)
EDPMNEJH_00032	gene	2874				
EDPMNEJH_00032	rRNA	2874				23S ribosomal RNA
EDPMNEJH_00033	gene	76				
EDPMNEJH_00033	tRNA	76				tRNA-Asp(gtc)
EDPMNEJH_00034	gene	75				
EDPMNEJH_00034	tRNA	75				tRNA-Val(tac)
EDPMNEJH_00035	gene	83				
EDPMNEJH_00035	tRNA	83				tRNA-Tyr(gta)
EDPMNEJH_00036	gene	75				
EDPMNEJH_00036	tRNA	75				tRNA-Thr(tgt)
EDPMNEJH_00037	gene	76				
EDPMNEJH_00037	tRNA	76				tRNA-Met(cat)
EDPMNEJH_00038	gene	75				
EDPMNEJH_00038	tRNA	75				tRNA-Phe(gaa)
EDPMNEJH_00039	gene	74				
EDPMNEJH_00039	tRNA	74				tRNA-Lys(ttt)
EDPMNEJH_00040	gene	246				
EDPMNEJH_00040	CDS	246				hypothetical protein
EDPMNEJH_00041	gene	834				
EDPMNEJH_00041	CDS	834			COG2385	putative protein
EDPMNEJH_00042	gene	894				
EDPMNEJH_00042	CDS	894				hypothetical protein
EDPMNEJH_00043	gene	993	ccpA_1			
EDPMNEJH_00043	CDS	993	ccpA_1		COG1609	Catabolite control protein A
EDPMNEJH_00044	gene	1905				
EDPMNEJH_00044	CDS	1905				hypothetical protein
EDPMNEJH_00045	gene	1440	scrB_1			
