locus_tag	ftype	length_bp	gene	EC_number	COG	product
FCOMMKGH_00001	gene	76				
FCOMMKGH_00001	tRNA	76				tRNA-Val(tac)
FCOMMKGH_00002	gene	1119	tetA			
FCOMMKGH_00002	CDS	1119	tetA			Tetracycline resistance protein, class C
FCOMMKGH_00003	gene	129				
FCOMMKGH_00003	CDS	129				hypothetical protein
FCOMMKGH_00004	gene	369				
FCOMMKGH_00004	CDS	369				hypothetical protein
FCOMMKGH_00005	gene	466				
FCOMMKGH_00005	rRNA	466				16S ribosomal RNA (partial)
FCOMMKGH_00006	gene	1377				
FCOMMKGH_00006	CDS	1377				hypothetical protein
FCOMMKGH_00007	gene	801				
FCOMMKGH_00007	CDS	801				hypothetical protein
FCOMMKGH_00008	gene	984	whiA			
FCOMMKGH_00008	CDS	984	whiA		COG1481	putative cell division protein WhiA
FCOMMKGH_00009	gene	1329				
FCOMMKGH_00009	CDS	1329				Gluconeogenesis factor
FCOMMKGH_00010	gene	927	yvcJ			
FCOMMKGH_00010	CDS	927	yvcJ		COG1660	Nucleotide-binding protein YvcJ
FCOMMKGH_00011	gene	816	ywpJ			
FCOMMKGH_00011	CDS	816	ywpJ	3.1.3.-	COG0561	Phosphatase YwpJ
FCOMMKGH_00012	gene	1188	sbnD_1			
FCOMMKGH_00012	CDS	1188	sbnD_1			Staphyloferrin B transporter
FCOMMKGH_00013	gene	273				
FCOMMKGH_00013	CDS	273				hypothetical protein
FCOMMKGH_00014	gene	534	padE			
FCOMMKGH_00014	CDS	534	padE	1.2.1.58		NADH-dependent phenylglyoxylate dehydrogenase subunit gamma
FCOMMKGH_00015	gene	822				
FCOMMKGH_00015	CDS	822				hypothetical protein
FCOMMKGH_00016	gene	1143	korA			
FCOMMKGH_00016	CDS	1143	korA	1.2.7.3	COG0674	2-oxoglutarate oxidoreductase subunit KorA
FCOMMKGH_00017	gene	210	rsxB_1			
FCOMMKGH_00017	CDS	210	rsxB_1	7.-.-.-		Ion-translocating oxidoreductase complex subunit B
FCOMMKGH_00018	gene	1191	bdhA			
FCOMMKGH_00018	CDS	1191	bdhA	1.1.1.-	COG1979	NADH-dependent butanol dehydrogenase A
FCOMMKGH_00019	gene	1677				
FCOMMKGH_00019	CDS	1677				hypothetical protein
FCOMMKGH_00020	gene	1107				
FCOMMKGH_00020	CDS	1107		1.-.-.-		NADH oxidase
FCOMMKGH_00021	gene	1266	murAA			
FCOMMKGH_00021	CDS	1266	murAA	2.5.1.7	COG0766	UDP-N-acetylglucosamine 1-carboxyvinyltransferase 1
FCOMMKGH_00022	gene	2166				
FCOMMKGH_00022	CDS	2166				hypothetical protein
FCOMMKGH_00023	gene	1512				
FCOMMKGH_00023	CDS	1512				hypothetical protein
FCOMMKGH_00024	gene	1065	mbl			
FCOMMKGH_00024	CDS	1065	mbl		COG1077	Cell shape-determining protein Mbl
FCOMMKGH_00025	gene	162				
FCOMMKGH_00025	CDS	162				hypothetical protein
FCOMMKGH_00026	gene	447				
FCOMMKGH_00026	CDS	447				hypothetical protein
FCOMMKGH_00027	gene	1110	alr1			
FCOMMKGH_00027	CDS	1110	alr1	5.1.1.1	COG0787	Alanine racemase 1
FCOMMKGH_00028	gene	1311				
FCOMMKGH_00028	CDS	1311				hypothetical protein
FCOMMKGH_00029	gene	1308				
FCOMMKGH_00029	CDS	1308				hypothetical protein
FCOMMKGH_00030	gene	1149				
FCOMMKGH_00030	CDS	1149				hypothetical protein
FCOMMKGH_00031	gene	1923				
FCOMMKGH_00031	CDS	1923				hypothetical protein
FCOMMKGH_00032	gene	972				
FCOMMKGH_00032	CDS	972				hypothetical protein
FCOMMKGH_00033	gene	1209				
FCOMMKGH_00033	CDS	1209				hypothetical protein
FCOMMKGH_00034	gene	1302				
FCOMMKGH_00034	CDS	1302				hypothetical protein
FCOMMKGH_00035	gene	1287				
FCOMMKGH_00035	CDS	1287				hypothetical protein
FCOMMKGH_00036	gene	1275				
FCOMMKGH_00036	CDS	1275				hypothetical protein
FCOMMKGH_00037	gene	198				
FCOMMKGH_00037	CDS	198				hypothetical protein
FCOMMKGH_00038	gene	780	yafV			
FCOMMKGH_00038	CDS	780	yafV	3.5.1.3		Omega-amidase YafV
FCOMMKGH_00039	gene	1107	ychF			
FCOMMKGH_00039	CDS	1107	ychF		COG0012	Ribosome-binding ATPase YchF
FCOMMKGH_00040	gene	627	upp			
FCOMMKGH_00040	CDS	627	upp	2.4.2.9		Uracil phosphoribosyltransferase
FCOMMKGH_00041	gene	1248	glyA_1			
FCOMMKGH_00041	CDS	1248	glyA_1	2.1.2.1	COG0112	Serine hydroxymethyltransferase
FCOMMKGH_00042	gene	444	ywlF			
FCOMMKGH_00042	CDS	444	ywlF	5.3.1.-	COG0698	Putative sugar phosphate isomerase YwlF
FCOMMKGH_00043	gene	3237	rapA			
FCOMMKGH_00043	CDS	3237	rapA	3.6.4.-		RNA polymerase-associated protein RapA
FCOMMKGH_00044	gene	1080				
FCOMMKGH_00044	CDS	1080				hypothetical protein
FCOMMKGH_00045	gene	1989	spoVD			
FCOMMKGH_00045	CDS	1989	spoVD		COG0768	Stage V sporulation protein D
FCOMMKGH_00046	gene	1167				
FCOMMKGH_00046	CDS	1167				TelA-like protein
FCOMMKGH_00047	gene	1083				
FCOMMKGH_00047	CDS	1083				hypothetical protein
FCOMMKGH_00048	gene	480	rlmH			
FCOMMKGH_00048	CDS	480	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
FCOMMKGH_00049	gene	1098	htrB			
FCOMMKGH_00049	CDS	1098	htrB	3.4.21.107	COG0265	Serine protease Do-like HtrB
FCOMMKGH_00050	gene	756	yycJ			
FCOMMKGH_00050	CDS	756	yycJ	3.-.-.-	COG1235	Putative metallo-hydrolase YycJ
FCOMMKGH_00051	gene	2202	yhgF			
FCOMMKGH_00051	CDS	2202	yhgF		COG2183	Protein YhgF
FCOMMKGH_00052	gene	2034	cobT			
FCOMMKGH_00052	CDS	2034	cobT	2.4.2.21		Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
FCOMMKGH_00053	gene	561				
FCOMMKGH_00053	CDS	561				hypothetical protein
FCOMMKGH_00054	gene	906	sucD			
FCOMMKGH_00054	CDS	906	sucD	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
FCOMMKGH_00055	gene	1197	sucC			
FCOMMKGH_00055	CDS	1197	sucC	6.2.1.5		Succinate--CoA ligase [ADP-forming] subunit beta
FCOMMKGH_00056	gene	1086	gldA			
FCOMMKGH_00056	CDS	1086	gldA	1.1.1.6	COG0371	Glycerol dehydrogenase
FCOMMKGH_00057	gene	1116	mro			
FCOMMKGH_00057	CDS	1116	mro	5.1.3.3	COG2017	Aldose 1-epimerase
FCOMMKGH_00058	gene	273				
FCOMMKGH_00058	CDS	273				hypothetical protein
FCOMMKGH_00059	gene	645	yqaB			
FCOMMKGH_00059	CDS	645	yqaB	3.1.3.-	COG0637	Fructose-1-phosphate phosphatase YqaB
FCOMMKGH_00060	gene	1281				
FCOMMKGH_00060	CDS	1281				Nucleobase transporter PlAzg2
FCOMMKGH_00061	gene	654	crp			
FCOMMKGH_00061	CDS	654	crp		COG0664	cAMP-activated global transcriptional regulator CRP
FCOMMKGH_00062	gene	438	mscL			
FCOMMKGH_00062	CDS	438	mscL		COG1970	Large-conductance mechanosensitive channel
FCOMMKGH_00063	gene	112				
FCOMMKGH_00063	rRNA	112				5S ribosomal RNA
FCOMMKGH_00064	gene	648				
FCOMMKGH_00064	CDS	648				hypothetical protein
FCOMMKGH_00065	gene	1302				
FCOMMKGH_00065	CDS	1302				hypothetical protein
FCOMMKGH_00066	gene	513				
FCOMMKGH_00066	CDS	513				hypothetical protein
FCOMMKGH_00067	gene	112				
FCOMMKGH_00067	rRNA	112				5S ribosomal RNA
FCOMMKGH_00068	gene	112				
FCOMMKGH_00068	rRNA	112				5S ribosomal RNA
FCOMMKGH_00069	gene	76				
FCOMMKGH_00069	tRNA	76				tRNA-His(gtg)
FCOMMKGH_00070	gene	76				
FCOMMKGH_00070	tRNA	76				tRNA-Trp(cca)
FCOMMKGH_00071	gene	91				
FCOMMKGH_00071	tRNA	91				tRNA-Ser(gct)
FCOMMKGH_00072	gene	1332	adeQ			
FCOMMKGH_00072	CDS	1332	adeQ		COG2252	Adenine permease AdeQ
FCOMMKGH_00073	gene	312	rplU			
FCOMMKGH_00073	CDS	312	rplU		COG0261	50S ribosomal protein L21
FCOMMKGH_00074	gene	312				
FCOMMKGH_00074	CDS	312				hypothetical protein
FCOMMKGH_00075	gene	291	rpmA			
FCOMMKGH_00075	CDS	291	rpmA			50S ribosomal protein L27
FCOMMKGH_00076	gene	1281	obg			
FCOMMKGH_00076	CDS	1281	obg	3.6.5.-		GTPase Obg
FCOMMKGH_00077	gene	255				
FCOMMKGH_00077	CDS	255				hypothetical protein
FCOMMKGH_00078	gene	1125	proB			
FCOMMKGH_00078	CDS	1125	proB	2.7.2.11	COG0263	Glutamate 5-kinase
FCOMMKGH_00079	gene	1257	proA			
FCOMMKGH_00079	CDS	1257	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
FCOMMKGH_00080	gene	165				
FCOMMKGH_00080	CDS	165				hypothetical protein
FCOMMKGH_00081	gene	615	nadD			
FCOMMKGH_00081	CDS	615	nadD	2.7.7.18	COG1057	Nicotinate-nucleotide adenylyltransferase
FCOMMKGH_00082	gene	615				
FCOMMKGH_00082	CDS	615				hypothetical protein
FCOMMKGH_00083	gene	1026	tagU_1			
FCOMMKGH_00083	CDS	1026	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
FCOMMKGH_00084	gene	345	rsfS			
FCOMMKGH_00084	CDS	345	rsfS		COG0799	Ribosomal silencing factor RsfS
FCOMMKGH_00085	gene	951				
FCOMMKGH_00085	CDS	951				hypothetical protein
FCOMMKGH_00086	gene	1044				
FCOMMKGH_00086	CDS	1044			COG1840	putative protein
FCOMMKGH_00087	gene	1368	rimO			
FCOMMKGH_00087	CDS	1368	rimO	2.8.4.4	COG0621	Ribosomal protein S12 methylthiotransferase RimO
FCOMMKGH_00088	gene	519	pncC			
FCOMMKGH_00088	CDS	519	pncC	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
FCOMMKGH_00089	gene	723				
FCOMMKGH_00089	CDS	723				hypothetical protein
FCOMMKGH_00090	gene	76				
FCOMMKGH_00090	tRNA	76				tRNA-Gln(ctg)
FCOMMKGH_00091	gene	2220	cadA			
FCOMMKGH_00091	CDS	2220	cadA	3.6.3.3	COG2217	Cadmium, zinc and cobalt-transporting ATPase
FCOMMKGH_00092	gene	1659				
FCOMMKGH_00092	CDS	1659				hypothetical protein
FCOMMKGH_00093	gene	573	rsmD			
FCOMMKGH_00093	CDS	573	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
FCOMMKGH_00094	gene	471	coaD			
FCOMMKGH_00094	CDS	471	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
FCOMMKGH_00095	gene	618				
FCOMMKGH_00095	CDS	618				hypothetical protein
FCOMMKGH_00096	gene	753	larB			
FCOMMKGH_00096	CDS	753	larB	2.5.1.143	COG1691	Pyridinium-3,5-biscarboxylic acid mononucleotide synthase
FCOMMKGH_00097	gene	1233	larC			
FCOMMKGH_00097	CDS	1233	larC	4.99.1.12		Pyridinium-3,5-bisthiocarboxylic acid mononucleotide nickel insertion protein
FCOMMKGH_00098	gene	2280	ptsG			
FCOMMKGH_00098	CDS	2280	ptsG	2.7.1.199	COG1263	PTS system glucose-specific EIICBA component
FCOMMKGH_00099	gene	822	glcT			
FCOMMKGH_00099	CDS	822	glcT		COG3711	PtsGHI operon antiterminator
FCOMMKGH_00100	gene	528				
FCOMMKGH_00100	CDS	528				hypothetical protein
FCOMMKGH_00101	gene	180	rpmF_1			
FCOMMKGH_00101	CDS	180	rpmF_1		COG0333	50S ribosomal protein L32
FCOMMKGH_00102	gene	561	fapR			
FCOMMKGH_00102	CDS	561	fapR		COG2050	Transcription factor FapR
FCOMMKGH_00103	gene	1008	plsX			
FCOMMKGH_00103	CDS	1008	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
FCOMMKGH_00104	gene	1005	fabHA			
FCOMMKGH_00104	CDS	1005	fabHA	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3 protein 1
FCOMMKGH_00105	gene	948				
FCOMMKGH_00105	CDS	948		1.6.5.11	COG2070	NADH:quinone reductase
FCOMMKGH_00106	gene	945	fabD			
FCOMMKGH_00106	CDS	945	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
FCOMMKGH_00107	gene	744	fabG			
FCOMMKGH_00107	CDS	744	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
FCOMMKGH_00108	gene	237	acpP			
FCOMMKGH_00108	CDS	237	acpP		COG0236	Acyl carrier protein
FCOMMKGH_00109	gene	945	IMPDH_1			
FCOMMKGH_00109	CDS	945	IMPDH_1	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
FCOMMKGH_00110	gene	1245	fabF			
FCOMMKGH_00110	CDS	1245	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
FCOMMKGH_00111	gene	738	rnc			
FCOMMKGH_00111	CDS	738	rnc	3.1.26.3	COG0571	Ribonuclease 3
FCOMMKGH_00112	gene	810	rbn			
FCOMMKGH_00112	CDS	810	rbn	3.1.26.11		Ribonuclease BN
FCOMMKGH_00113	gene	459				
FCOMMKGH_00113	CDS	459				hypothetical protein
FCOMMKGH_00114	gene	1221	acrA			
FCOMMKGH_00114	CDS	1221	acrA			Multidrug efflux pump subunit AcrA
FCOMMKGH_00115	gene	3192	bepE			
FCOMMKGH_00115	CDS	3192	bepE			Efflux pump membrane transporter BepE
FCOMMKGH_00116	gene	1113	recA			
FCOMMKGH_00116	CDS	1113	recA		COG0468	Protein RecA
FCOMMKGH_00117	gene	594	recX			
FCOMMKGH_00117	CDS	594	recX			Regulatory protein RecX
FCOMMKGH_00118	gene	474				
FCOMMKGH_00118	CDS	474				hypothetical protein
FCOMMKGH_00119	gene	1557	guaA			
FCOMMKGH_00119	CDS	1557	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
FCOMMKGH_00120	gene	1659				
FCOMMKGH_00120	CDS	1659				hypothetical protein
FCOMMKGH_00121	gene	102				
FCOMMKGH_00121	CDS	102				hypothetical protein
FCOMMKGH_00122	gene	306				
FCOMMKGH_00122	CDS	306				hypothetical protein
FCOMMKGH_00123	gene	783				
FCOMMKGH_00123	CDS	783				hypothetical protein
FCOMMKGH_00124	gene	1044				
FCOMMKGH_00124	CDS	1044				hypothetical protein
FCOMMKGH_00125	gene	609				
FCOMMKGH_00125	CDS	609				hypothetical protein
FCOMMKGH_00126	gene	657				
FCOMMKGH_00126	CDS	657				hypothetical protein
FCOMMKGH_00127	gene	141				
FCOMMKGH_00127	CDS	141				hypothetical protein
FCOMMKGH_00128	gene	1209				
FCOMMKGH_00128	CDS	1209				IS607 family transposase ISCbt3
FCOMMKGH_00129	gene	336				
FCOMMKGH_00129	CDS	336				hypothetical protein
FCOMMKGH_00130	gene	2067	gyrB			
FCOMMKGH_00130	CDS	2067	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
FCOMMKGH_00131	gene	288				
FCOMMKGH_00131	CDS	288				hypothetical protein
FCOMMKGH_00132	gene	1044				
FCOMMKGH_00132	CDS	1044				hypothetical protein
FCOMMKGH_00133	gene	1098	recF_1			
FCOMMKGH_00133	CDS	1098	recF_1		COG1195	DNA replication and repair protein RecF
FCOMMKGH_00134	gene	240				
FCOMMKGH_00134	CDS	240				hypothetical protein
FCOMMKGH_00135	gene	1113	dnaN			
FCOMMKGH_00135	CDS	1113	dnaN		COG0592	Beta sliding clamp
FCOMMKGH_00136	gene	1473	dnaA			
FCOMMKGH_00136	CDS	1473	dnaA		COG0593	Chromosomal replication initiator protein DnaA
FCOMMKGH_00137	gene	135	rpmH			
FCOMMKGH_00137	CDS	135	rpmH		COG0230	50S ribosomal protein L34
FCOMMKGH_00138	gene	441	rnpA			
FCOMMKGH_00138	CDS	441	rnpA	3.1.26.5		Ribonuclease P protein component
FCOMMKGH_00139	gene	669	yidC2			
FCOMMKGH_00139	CDS	669	yidC2		COG0706	Membrane protein insertase YidC 2
FCOMMKGH_00140	gene	834				
FCOMMKGH_00140	CDS	834				hypothetical protein
FCOMMKGH_00141	gene	1386	mnmE_1			
FCOMMKGH_00141	CDS	1386	mnmE_1	3.6.-.-	COG0486	tRNA modification GTPase MnmE
FCOMMKGH_00142	gene	1911	mnmG			
FCOMMKGH_00142	CDS	1911	mnmG			tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
FCOMMKGH_00143	gene	714	rsmG			
FCOMMKGH_00143	CDS	714	rsmG	2.1.1.-	COG0357	Ribosomal RNA small subunit methyltransferase G
FCOMMKGH_00144	gene	909	rluD_1			
FCOMMKGH_00144	CDS	909	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
FCOMMKGH_00145	gene	678				
FCOMMKGH_00145	CDS	678				hypothetical protein
FCOMMKGH_00146	gene	945	deoR			
FCOMMKGH_00146	CDS	945	deoR		COG2390	Deoxyribonucleoside regulator
FCOMMKGH_00147	gene	915	rbsK_1			
FCOMMKGH_00147	CDS	915	rbsK_1	2.7.1.15		Ribokinase
FCOMMKGH_00148	gene	1029				
FCOMMKGH_00148	CDS	1029				hypothetical protein
FCOMMKGH_00149	gene	1338	fucP_1			
FCOMMKGH_00149	CDS	1338	fucP_1		COG0738	L-fucose-proton symporter
FCOMMKGH_00150	gene	642	deoC_1			
FCOMMKGH_00150	CDS	642	deoC_1	4.1.2.4	COG0274	Deoxyribose-phosphate aldolase
FCOMMKGH_00151	gene	1167				
FCOMMKGH_00151	CDS	1167				hypothetical protein
FCOMMKGH_00152	gene	1491	aldA			
FCOMMKGH_00152	CDS	1491	aldA	1.2.1.3		Putative aldehyde dehydrogenase AldA
FCOMMKGH_00153	gene	1347				
FCOMMKGH_00153	CDS	1347		1.6.99.-	COG1252	NADH dehydrogenase-like protein
FCOMMKGH_00154	gene	1176	purH_1			
