locus_tag	ftype	length_bp	gene	EC_number	COG	product
LNKNEMJO_00001	gene	1335	dnaA			
LNKNEMJO_00001	CDS	1335	dnaA		COG0593	Chromosomal replication initiator protein DnaA
LNKNEMJO_00002	gene	1101	dnaN			
LNKNEMJO_00002	CDS	1101	dnaN		COG0592	Beta sliding clamp
LNKNEMJO_00003	gene	1074	recF			
LNKNEMJO_00003	CDS	1074	recF		COG1195	DNA replication and repair protein RecF
LNKNEMJO_00004	gene	2415	gyrB			
LNKNEMJO_00004	CDS	2415	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
LNKNEMJO_00005	gene	813	yidA			
LNKNEMJO_00005	CDS	813	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
LNKNEMJO_00006	gene	1062				
LNKNEMJO_00006	CDS	1062				hypothetical protein
LNKNEMJO_00007	gene	1134				
LNKNEMJO_00007	CDS	1134				hypothetical protein
LNKNEMJO_00008	gene	690	lutR			
LNKNEMJO_00008	CDS	690	lutR		COG2186	HTH-type transcriptional regulator LutR
LNKNEMJO_00009	gene	879	dgoK1_1			
LNKNEMJO_00009	CDS	879	dgoK1_1	2.7.1.58	COG3734	putative 2-dehydro-3-deoxygalactonokinase DgoK1
LNKNEMJO_00010	gene	618	dgoA_1			
LNKNEMJO_00010	CDS	618	dgoA_1	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
LNKNEMJO_00011	gene	1149	dgoD			
LNKNEMJO_00011	CDS	1149	dgoD	4.2.1.6	COG4948	D-galactonate dehydratase
LNKNEMJO_00012	gene	1293	dgoT_1			
LNKNEMJO_00012	CDS	1293	dgoT_1			D-galactonate transporter
LNKNEMJO_00013	gene	1227				
LNKNEMJO_00013	CDS	1227				hypothetical protein
LNKNEMJO_00014	gene	333				
LNKNEMJO_00014	CDS	333				hypothetical protein
LNKNEMJO_00015	gene	414	ibpA			
LNKNEMJO_00015	CDS	414	ibpA		COG0071	Small heat shock protein IbpA
LNKNEMJO_00016	gene	429	ibpB_1			
LNKNEMJO_00016	CDS	429	ibpB_1		COG0071	Small heat shock protein IbpB
LNKNEMJO_00017	gene	825				
LNKNEMJO_00017	CDS	825				hypothetical protein
LNKNEMJO_00018	gene	1662	aspT_1			
LNKNEMJO_00018	CDS	1662	aspT_1			Aspartate/alanine antiporter
LNKNEMJO_00019	gene	723	mngR_1			
LNKNEMJO_00019	CDS	723	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
LNKNEMJO_00020	gene	1623	malP_1			
LNKNEMJO_00020	CDS	1623	malP_1		COG1263	PTS system maltose-specific EIICB component
LNKNEMJO_00021	gene	1323	aglB			
LNKNEMJO_00021	CDS	1323	aglB	3.2.1.122	COG1486	6-phospho-alpha-glucosidase
LNKNEMJO_00022	gene	348	yidH			
LNKNEMJO_00022	CDS	348	yidH		COG2149	Inner membrane protein YidH
LNKNEMJO_00023	gene	363	yidG			
LNKNEMJO_00023	CDS	363	yidG			Inner membrane protein YidG
LNKNEMJO_00024	gene	501				
LNKNEMJO_00024	CDS	501				hypothetical protein
LNKNEMJO_00025	gene	1329	dsdA			
LNKNEMJO_00025	CDS	1329	dsdA	4.3.1.18	COG3048	D-serine dehydratase
LNKNEMJO_00026	gene	1338	dsdX			
LNKNEMJO_00026	CDS	1338	dsdX			D-serine transporter DsdX
LNKNEMJO_00027	gene	924	dsdC_1			
LNKNEMJO_00027	CDS	924	dsdC_1		COG0583	HTH-type transcriptional regulator DsdC
LNKNEMJO_00028	gene	1185	emrD			
LNKNEMJO_00028	CDS	1185	emrD			Multidrug resistance protein D
LNKNEMJO_00029	gene	834				
LNKNEMJO_00029	CDS	834				hypothetical protein
LNKNEMJO_00030	gene	447				
LNKNEMJO_00030	CDS	447				hypothetical protein
LNKNEMJO_00031	gene	90				
LNKNEMJO_00031	CDS	90				hypothetical protein
LNKNEMJO_00032	gene	96				
LNKNEMJO_00032	CDS	96				hypothetical protein
LNKNEMJO_00033	gene	1689	ilvB			
LNKNEMJO_00033	CDS	1689	ilvB	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
LNKNEMJO_00034	gene	288	ilvN			
LNKNEMJO_00034	CDS	288	ilvN	2.2.1.6	COG0440	Acetolactate synthase isozyme 1 small subunit
LNKNEMJO_00035	gene	594	uhpA			
LNKNEMJO_00035	CDS	594	uhpA		COG2197	Transcriptional regulatory protein UhpA
LNKNEMJO_00036	gene	1503	uhpB			
LNKNEMJO_00036	CDS	1503	uhpB	2.7.13.3		Signal transduction histidine-protein kinase/phosphatase UhpB
LNKNEMJO_00037	gene	1329	uhpC			
LNKNEMJO_00037	CDS	1329	uhpC		COG2271	Membrane sensor protein UhpC
LNKNEMJO_00038	gene	1392	uhpT			
LNKNEMJO_00038	CDS	1392	uhpT		COG2271	Hexose-6-phosphate:phosphate antiporter
LNKNEMJO_00039	gene	453				
LNKNEMJO_00039	CDS	453				hypothetical protein
LNKNEMJO_00040	gene	324				
LNKNEMJO_00040	CDS	324				hypothetical protein
LNKNEMJO_00041	gene	360				
LNKNEMJO_00041	CDS	360				hypothetical protein
LNKNEMJO_00042	gene	1194	nepI_1			
LNKNEMJO_00042	CDS	1194	nepI_1		COG2814	Purine ribonucleoside efflux pump NepI
LNKNEMJO_00043	gene	810	phnX			
LNKNEMJO_00043	CDS	810	phnX	3.11.1.1	COG0637	Phosphonoacetaldehyde hydrolase
LNKNEMJO_00044	gene	1104	phnW			
LNKNEMJO_00044	CDS	1104	phnW	2.6.1.37	COG0075	2-aminoethylphosphonate--pyruvate transaminase
LNKNEMJO_00045	gene	720	phnR			
LNKNEMJO_00045	CDS	720	phnR		COG2188	Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
LNKNEMJO_00046	gene	1014	phnS			
LNKNEMJO_00046	CDS	1014	phnS		COG1840	Putative 2-aminoethylphosphonate-binding periplasmic protein
LNKNEMJO_00047	gene	1113	phnT			
LNKNEMJO_00047	CDS	1113	phnT		COG3842	Putative 2-aminoethylphosphonate import ATP-binding protein PhnT
LNKNEMJO_00048	gene	861	phnU			
LNKNEMJO_00048	CDS	861	phnU		COG0555	Putative 2-aminoethylphosphonate transport system permease protein PhnU
LNKNEMJO_00049	gene	798	phnV			
LNKNEMJO_00049	CDS	798	phnV		COG1177	Putative 2-aminoethylphosphonate transport system permease protein PhnV
LNKNEMJO_00050	gene	1380	lamB_1			
LNKNEMJO_00050	CDS	1380	lamB_1		COG4580	Maltoporin
LNKNEMJO_00051	gene	303	chbA_1			
LNKNEMJO_00051	CDS	303	chbA_1		COG1447	PTS system N,N'-diacetylchitobiose-specific EIIA component
LNKNEMJO_00052	gene	1323	licC_1			
LNKNEMJO_00052	CDS	1323	licC_1		COG1455	Lichenan permease IIC component
LNKNEMJO_00053	gene	315	celA_1			
LNKNEMJO_00053	CDS	315	celA_1	2.7.1.205		PTS system cellobiose-specific EIIB component
LNKNEMJO_00054	gene	945				
LNKNEMJO_00054	CDS	945			COG1609	HTH-type transcriptional regulator
LNKNEMJO_00055	gene	1371	pcaK_1			
LNKNEMJO_00055	CDS	1371	pcaK_1		COG0477	4-hydroxybenzoate transporter PcaK
LNKNEMJO_00056	gene	1263	galA			
LNKNEMJO_00056	CDS	1263	galA	1.13.11.57		Gallate dioxygenase
LNKNEMJO_00057	gene	1227	hdfR_1			
LNKNEMJO_00057	CDS	1227	hdfR_1			HTH-type transcriptional regulator HdfR
LNKNEMJO_00058	gene	741	galB			
LNKNEMJO_00058	CDS	741	galB	4.2.1.83	COG2120	4-oxalmesaconate hydratase
LNKNEMJO_00059	gene	714	galC			
LNKNEMJO_00059	CDS	714	galC	4.1.3.17	COG0684	4-carboxy-4-hydroxy-2-oxoadipic acid aldolase
LNKNEMJO_00060	gene	1086	galD			
LNKNEMJO_00060	CDS	1086	galD	5.3.2.8	COG2828	4-oxalomesaconate tautomerase
LNKNEMJO_00061	gene	864				
LNKNEMJO_00061	CDS	864				hypothetical protein
LNKNEMJO_00062	gene	291				
LNKNEMJO_00062	CDS	291				hypothetical protein
LNKNEMJO_00063	gene	903	yicL			
LNKNEMJO_00063	CDS	903	yicL		COG0697	putative inner membrane transporter YicL
LNKNEMJO_00064	gene	1434	murP			
LNKNEMJO_00064	CDS	1434	murP		COG2190	PTS system N-acetylmuramic acid-specific EIIBC component
LNKNEMJO_00065	gene	903	murQ_1			
LNKNEMJO_00065	CDS	903	murQ_1	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
LNKNEMJO_00066	gene	1164	bcr_1			
LNKNEMJO_00066	CDS	1164	bcr_1			Bicyclomycin resistance protein
LNKNEMJO_00067	gene	1365	oprM_1			
LNKNEMJO_00067	CDS	1365	oprM_1		COG1538	Outer membrane protein OprM
LNKNEMJO_00068	gene	3108	mexB			
LNKNEMJO_00068	CDS	3108	mexB		COG0841	Multidrug resistance protein MexB
LNKNEMJO_00069	gene	1125	mexA			
