locus_tag	ftype	length_bp	gene	EC_number	COG	product
HOPJAJFM_00001	gene	564				
HOPJAJFM_00001	CDS	564				hypothetical protein
HOPJAJFM_00002	gene	615				
HOPJAJFM_00002	CDS	615				hypothetical protein
HOPJAJFM_00003	gene	222				
HOPJAJFM_00003	CDS	222				hypothetical protein
HOPJAJFM_00004	gene	2061	topB_1			
HOPJAJFM_00004	CDS	2061	topB_1	5.6.2.1	COG0550	DNA topoisomerase 3
HOPJAJFM_00005	gene	1197				
HOPJAJFM_00005	CDS	1197				hypothetical protein
HOPJAJFM_00006	gene	273				
HOPJAJFM_00006	CDS	273				hypothetical protein
HOPJAJFM_00007	gene	1113				
HOPJAJFM_00007	CDS	1113				hypothetical protein
HOPJAJFM_00008	gene	624				
HOPJAJFM_00008	CDS	624				hypothetical protein
HOPJAJFM_00009	gene	531				
HOPJAJFM_00009	CDS	531				hypothetical protein
HOPJAJFM_00010	gene	1194				
HOPJAJFM_00010	CDS	1194				ISAs1 family transposase ISBaov2
HOPJAJFM_00011	gene	225				
HOPJAJFM_00011	CDS	225				hypothetical protein
HOPJAJFM_00012	gene	309				
HOPJAJFM_00012	CDS	309				hypothetical protein
HOPJAJFM_00013	gene	225				
HOPJAJFM_00013	CDS	225				hypothetical protein
HOPJAJFM_00014	gene	288				
HOPJAJFM_00014	CDS	288				hypothetical protein
HOPJAJFM_00015	gene	423				
HOPJAJFM_00015	CDS	423				hypothetical protein
HOPJAJFM_00016	gene	369				
HOPJAJFM_00016	CDS	369				hypothetical protein
HOPJAJFM_00017	gene	399				
HOPJAJFM_00017	CDS	399				hypothetical protein
HOPJAJFM_00018	gene	375				
HOPJAJFM_00018	CDS	375				hypothetical protein
HOPJAJFM_00019	gene	399				
HOPJAJFM_00019	CDS	399				hypothetical protein
HOPJAJFM_00020	gene	1968	rcsC_1			
HOPJAJFM_00020	CDS	1968	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
HOPJAJFM_00021	gene	540				
HOPJAJFM_00021	CDS	540				hypothetical protein
HOPJAJFM_00022	gene	276				
HOPJAJFM_00022	CDS	276				hypothetical protein
HOPJAJFM_00023	gene	141				
HOPJAJFM_00023	CDS	141				hypothetical protein
HOPJAJFM_00024	gene	519				
HOPJAJFM_00024	CDS	519				hypothetical protein
HOPJAJFM_00025	gene	183				
HOPJAJFM_00025	CDS	183				hypothetical protein
HOPJAJFM_00026	gene	279				
HOPJAJFM_00026	CDS	279				hypothetical protein
HOPJAJFM_00027	gene	267				
HOPJAJFM_00027	CDS	267				hypothetical protein
HOPJAJFM_00028	gene	2832	cglA_1			
HOPJAJFM_00028	CDS	2832	cglA_1	3.2.1.162		Lambda-carrageenase
HOPJAJFM_00029	gene	393	cglA_2			
HOPJAJFM_00029	CDS	393	cglA_2	3.2.1.162		Lambda-carrageenase
HOPJAJFM_00030	gene	1485				
HOPJAJFM_00030	CDS	1485		3.1.6.-		Ulvan-active sulfatase
HOPJAJFM_00031	gene	819				
HOPJAJFM_00031	CDS	819				hypothetical protein
HOPJAJFM_00032	gene	1521				
HOPJAJFM_00032	CDS	1521		3.1.6.-		Ulvan-active sulfatase
HOPJAJFM_00033	gene	2346	lacZ_1			
HOPJAJFM_00033	CDS	2346	lacZ_1	3.2.1.23		Beta-galactosidase
HOPJAJFM_00034	gene	99				
HOPJAJFM_00034	CDS	99				hypothetical protein
HOPJAJFM_00035	gene	2328				
HOPJAJFM_00035	CDS	2328				hypothetical protein
HOPJAJFM_00036	gene	4023	rcsC_2			
HOPJAJFM_00036	CDS	4023	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
HOPJAJFM_00037	gene	1896				
HOPJAJFM_00037	CDS	1896				hypothetical protein
HOPJAJFM_00038	gene	1887	glaB			
HOPJAJFM_00038	CDS	1887	glaB	3.2.1.-		Alpha-1,3-galactosidase B
HOPJAJFM_00039	gene	369				
HOPJAJFM_00039	CDS	369				hypothetical protein
HOPJAJFM_00040	gene	345				
HOPJAJFM_00040	CDS	345				hypothetical protein
HOPJAJFM_00041	gene	1851				
HOPJAJFM_00041	CDS	1851				hypothetical protein
HOPJAJFM_00042	gene	987				
HOPJAJFM_00042	CDS	987				hypothetical protein
HOPJAJFM_00043	gene	90				
HOPJAJFM_00043	CDS	90				hypothetical protein
HOPJAJFM_00044	gene	1173				
HOPJAJFM_00044	CDS	1173			COG3385	IS4 family transposase ISDar2
HOPJAJFM_00045	gene	1302				
HOPJAJFM_00045	CDS	1302				hypothetical protein
HOPJAJFM_00046	gene	303				
HOPJAJFM_00046	CDS	303				hypothetical protein
HOPJAJFM_00047	gene	258				
HOPJAJFM_00047	CDS	258				hypothetical protein
HOPJAJFM_00048	gene	1185				
HOPJAJFM_00048	CDS	1185				hypothetical protein
HOPJAJFM_00049	gene	666				
HOPJAJFM_00049	CDS	666				hypothetical protein
HOPJAJFM_00050	gene	762				
HOPJAJFM_00050	CDS	762				hypothetical protein
HOPJAJFM_00051	gene	225				
HOPJAJFM_00051	CDS	225				hypothetical protein
HOPJAJFM_00052	gene	1671				
HOPJAJFM_00052	CDS	1671				hypothetical protein
HOPJAJFM_00053	gene	1158				
HOPJAJFM_00053	CDS	1158				hypothetical protein
HOPJAJFM_00054	gene	486				
HOPJAJFM_00054	CDS	486				hypothetical protein
HOPJAJFM_00055	gene	699				
HOPJAJFM_00055	CDS	699				hypothetical protein
HOPJAJFM_00056	gene	684				
HOPJAJFM_00056	CDS	684				hypothetical protein
HOPJAJFM_00057	gene	663				
HOPJAJFM_00057	CDS	663				hypothetical protein
HOPJAJFM_00058	gene	822				
HOPJAJFM_00058	CDS	822				hypothetical protein
HOPJAJFM_00059	gene	273				
HOPJAJFM_00059	CDS	273				hypothetical protein
HOPJAJFM_00060	gene	1803				
HOPJAJFM_00060	CDS	1803				hypothetical protein
HOPJAJFM_00061	gene	2463	mutS_1			
HOPJAJFM_00061	CDS	2463	mutS_1			DNA mismatch repair protein MutS
HOPJAJFM_00062	gene	1557				
HOPJAJFM_00062	CDS	1557				hypothetical protein
HOPJAJFM_00063	gene	183				
HOPJAJFM_00063	CDS	183				hypothetical protein
HOPJAJFM_00064	gene	606				
HOPJAJFM_00064	CDS	606				hypothetical protein
HOPJAJFM_00065	gene	1725				
HOPJAJFM_00065	CDS	1725				hypothetical protein
HOPJAJFM_00066	gene	372				
HOPJAJFM_00066	CDS	372				hypothetical protein
HOPJAJFM_00067	gene	291				
HOPJAJFM_00067	CDS	291				hypothetical protein
HOPJAJFM_00068	gene	1566				
HOPJAJFM_00068	CDS	1566				IS66 family transposase ISBthe5
HOPJAJFM_00069	gene	351				
HOPJAJFM_00069	CDS	351				hypothetical protein
HOPJAJFM_00070	gene	405				
HOPJAJFM_00070	CDS	405				hypothetical protein
HOPJAJFM_00071	gene	1407				
HOPJAJFM_00071	CDS	1407				hypothetical protein
HOPJAJFM_00072	gene	1452	smc_1			
HOPJAJFM_00072	CDS	1452	smc_1			Chromosome partition protein Smc
HOPJAJFM_00073	gene	849				
HOPJAJFM_00073	CDS	849				hypothetical protein
HOPJAJFM_00074	gene	495				
HOPJAJFM_00074	CDS	495				hypothetical protein
HOPJAJFM_00075	gene	414				
HOPJAJFM_00075	CDS	414				hypothetical protein
HOPJAJFM_00076	gene	447				
HOPJAJFM_00076	CDS	447				hypothetical protein
HOPJAJFM_00077	gene	1113				
HOPJAJFM_00077	CDS	1113				hypothetical protein
HOPJAJFM_00078	gene	630				
HOPJAJFM_00078	CDS	630				hypothetical protein
HOPJAJFM_00079	gene	546				
