locus_tag	ftype	length_bp	gene	EC_number	COG	product
KHHAHBGI_00001	gene	579	hin			
KHHAHBGI_00001	CDS	579	hin		COG1961	DNA-invertase hin
KHHAHBGI_00002	gene	420	umuD_1			
KHHAHBGI_00002	CDS	420	umuD_1	3.4.21.-	COG1974	Protein UmuD
KHHAHBGI_00003	gene	1263	umuC_1			
KHHAHBGI_00003	CDS	1263	umuC_1		COG0389	Protein UmuC
KHHAHBGI_00004	gene	1695				
KHHAHBGI_00004	CDS	1695				hypothetical protein
KHHAHBGI_00005	gene	255				
KHHAHBGI_00005	CDS	255				hypothetical protein
KHHAHBGI_00006	gene	687	yedK			
KHHAHBGI_00006	CDS	687	yedK	3.4.-.-	COG2135	SOS response-associated protein YedK
KHHAHBGI_00007	gene	435	uspF			
KHHAHBGI_00007	CDS	435	uspF		COG0589	Universal stress protein F
KHHAHBGI_00008	gene	213				
KHHAHBGI_00008	CDS	213				hypothetical protein
KHHAHBGI_00009	gene	1125	ompN_1			
KHHAHBGI_00009	CDS	1125	ompN_1		COG3203	Outer membrane porin N
KHHAHBGI_00010	gene	3528	nifJ			
KHHAHBGI_00010	CDS	3528	nifJ	1.2.7.-	COG0674	Pyruvate-flavodoxin oxidoreductase
KHHAHBGI_00011	gene	264				
KHHAHBGI_00011	CDS	264				hypothetical protein
KHHAHBGI_00012	gene	441	hslJ			
KHHAHBGI_00012	CDS	441	hslJ		COG3187	Heat shock protein HslJ
KHHAHBGI_00013	gene	990	ldhA			
KHHAHBGI_00013	CDS	990	ldhA	1.1.1.28	COG1052	D-lactate dehydrogenase
KHHAHBGI_00014	gene	501	yabI_1			
KHHAHBGI_00014	CDS	501	yabI_1		COG0586	Inner membrane protein YabI
KHHAHBGI_00015	gene	2640				
KHHAHBGI_00015	CDS	2640				hypothetical protein
KHHAHBGI_00016	gene	186				
KHHAHBGI_00016	CDS	186				hypothetical protein
KHHAHBGI_00017	gene	324				
KHHAHBGI_00017	CDS	324				hypothetical protein
KHHAHBGI_00018	gene	903	feaR			
KHHAHBGI_00018	CDS	903	feaR		COG2207	Transcriptional activator FeaR
KHHAHBGI_00019	gene	1500	feaB_1			
KHHAHBGI_00019	CDS	1500	feaB_1	1.2.1.39	COG1012	Phenylacetaldehyde dehydrogenase
KHHAHBGI_00020	gene	891				
KHHAHBGI_00020	CDS	891		1.1.1.169	COG1893	2-dehydropantoate 2-reductase
KHHAHBGI_00021	gene	732	novR			
KHHAHBGI_00021	CDS	732	novR	4.1.-.-		Decarboxylase NovR
KHHAHBGI_00022	gene	831	fliY_1			
KHHAHBGI_00022	CDS	831	fliY_1		COG0834	L-cystine-binding protein FliY
KHHAHBGI_00023	gene	873				
KHHAHBGI_00023	CDS	873				hypothetical protein
KHHAHBGI_00024	gene	1521	btuD_1			
KHHAHBGI_00024	CDS	1521	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
KHHAHBGI_00025	gene	951	hdfR_1			
KHHAHBGI_00025	CDS	951	hdfR_1			HTH-type transcriptional regulator HdfR
KHHAHBGI_00026	gene	1260	czcO			
KHHAHBGI_00026	CDS	1260	czcO	1.-.-.-	COG2072	putative oxidoreductase CzcO
KHHAHBGI_00027	gene	435				
KHHAHBGI_00027	CDS	435				hypothetical protein
KHHAHBGI_00028	gene	675				
KHHAHBGI_00028	CDS	675				hypothetical protein
KHHAHBGI_00029	gene	1173	argE_1			
KHHAHBGI_00029	CDS	1173	argE_1	3.5.1.16	COG0624	Acetylornithine deacetylase
KHHAHBGI_00030	gene	819				
KHHAHBGI_00030	CDS	819				hypothetical protein
KHHAHBGI_00031	gene	951				
KHHAHBGI_00031	CDS	951				hypothetical protein
KHHAHBGI_00032	gene	2268	maoA			
KHHAHBGI_00032	CDS	2268	maoA	1.4.3.21	COG3733	Primary amine oxidase
KHHAHBGI_00033	gene	327				
KHHAHBGI_00033	CDS	327				hypothetical protein
KHHAHBGI_00034	gene	2046	paaZ			
KHHAHBGI_00034	CDS	2046	paaZ		COG2030	Bifunctional protein PaaZ
KHHAHBGI_00035	gene	1023	paaA			
KHHAHBGI_00035	CDS	1023	paaA	1.14.13.149	COG3396	1,2-phenylacetyl-CoA epoxidase, subunit A
KHHAHBGI_00036	gene	288	paaB			
KHHAHBGI_00036	CDS	288	paaB		COG3460	1,2-phenylacetyl-CoA epoxidase, subunit B
KHHAHBGI_00037	gene	756	paaC			
KHHAHBGI_00037	CDS	756	paaC		COG3396	1,2-phenylacetyl-CoA epoxidase, subunit C
KHHAHBGI_00038	gene	498	paaD			
KHHAHBGI_00038	CDS	498	paaD		COG2151	Putative 1,2-phenylacetyl-CoA epoxidase, subunit D
KHHAHBGI_00039	gene	1071	paaE			
KHHAHBGI_00039	CDS	1071	paaE	1.-.-.-	COG1018	1,2-phenylacetyl-CoA epoxidase, subunit E
KHHAHBGI_00040	gene	768	paaF			
KHHAHBGI_00040	CDS	768	paaF	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
KHHAHBGI_00041	gene	789	paaG			
KHHAHBGI_00041	CDS	789	paaG	5.3.3.18	COG1024	1,2-epoxyphenylacetyl-CoA isomerase
KHHAHBGI_00042	gene	1422	paaH			
KHHAHBGI_00042	CDS	1422	paaH	1.1.1.-	COG1250	3-hydroxyadipyl-CoA dehydrogenase
KHHAHBGI_00043	gene	423	paaI			
KHHAHBGI_00043	CDS	423	paaI	3.1.2.-	COG2050	Acyl-coenzyme A thioesterase PaaI
KHHAHBGI_00044	gene	1206	paaJ			
KHHAHBGI_00044	CDS	1206	paaJ	2.3.1.174	COG0183	3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase
KHHAHBGI_00045	gene	1317	paaK			
KHHAHBGI_00045	CDS	1317	paaK	6.2.1.30	COG1541	Phenylacetate-coenzyme A ligase
KHHAHBGI_00046	gene	936	paaX			
KHHAHBGI_00046	CDS	936	paaX		COG3327	Transcriptional repressor PaaX
KHHAHBGI_00047	gene	597	yrdA_1			
KHHAHBGI_00047	CDS	597	yrdA_1		COG0663	Protein YrdA
KHHAHBGI_00048	gene	285				
KHHAHBGI_00048	CDS	285				hypothetical protein
KHHAHBGI_00049	gene	333	higB-2			
KHHAHBGI_00049	CDS	333	higB-2		COG2026	Toxin HigB-2
KHHAHBGI_00050	gene	606	azoR_1			
KHHAHBGI_00050	CDS	606	azoR_1	1.7.1.17	COG1182	FMN-dependent NADH-azoreductase
KHHAHBGI_00051	gene	3903				
KHHAHBGI_00051	CDS	3903				hypothetical protein
KHHAHBGI_00052	gene	801				
KHHAHBGI_00052	CDS	801				hypothetical protein
KHHAHBGI_00053	gene	660				
KHHAHBGI_00053	CDS	660		2.1.1.6	COG4122	Catechol O-methyltransferase
KHHAHBGI_00054	gene	1371	oprM_1			
KHHAHBGI_00054	CDS	1371	oprM_1		COG1538	Outer membrane protein OprM
KHHAHBGI_00055	gene	1086	emrA_1			
KHHAHBGI_00055	CDS	1086	emrA_1			Colistin resistance protein EmrA
KHHAHBGI_00056	gene	1653				
KHHAHBGI_00056	CDS	1653				hypothetical protein
KHHAHBGI_00057	gene	432	slyA_1			
KHHAHBGI_00057	CDS	432	slyA_1			Transcriptional regulator SlyA
KHHAHBGI_00058	gene	915	pgrR_1			
KHHAHBGI_00058	CDS	915	pgrR_1			HTH-type transcriptional regulator PgrR
KHHAHBGI_00059	gene	999	iolS			
KHHAHBGI_00059	CDS	999	iolS	1.1.1.-	COG0667	Aldo-keto reductase IolS
KHHAHBGI_00060	gene	1188	ydhP_1			
KHHAHBGI_00060	CDS	1188	ydhP_1		COG2814	Inner membrane transport protein YdhP
KHHAHBGI_00061	gene	1065	yajO_1			
KHHAHBGI_00061	CDS	1065	yajO_1	1.1.-.-	COG0667	1-deoxyxylulose-5-phosphate synthase YajO
KHHAHBGI_00062	gene	1485	oxyL			
KHHAHBGI_00062	CDS	1485	oxyL	1.14.13.232		6-methylpretetramide 4-monooxygenase
KHHAHBGI_00063	gene	1206	thlA_1			
KHHAHBGI_00063	CDS	1206	thlA_1	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
KHHAHBGI_00064	gene	786				
KHHAHBGI_00064	CDS	786				hypothetical protein
KHHAHBGI_00065	gene	654				
KHHAHBGI_00065	CDS	654		3.1.3.-	COG0560	putative phosphatase
KHHAHBGI_00066	gene	1275	gdhA_1			
KHHAHBGI_00066	CDS	1275	gdhA_1	1.4.1.3	COG0334	Glutamate dehydrogenase
KHHAHBGI_00067	gene	1206	astC_1			
KHHAHBGI_00067	CDS	1206	astC_1	2.6.1.81	COG4992	Succinylornithine transaminase
KHHAHBGI_00068	gene	1023	astA_1			
KHHAHBGI_00068	CDS	1023	astA_1	2.3.1.109	COG3138	Arginine N-succinyltransferase
KHHAHBGI_00069	gene	1467	astD_1			
KHHAHBGI_00069	CDS	1467	astD_1	1.2.1.71	COG1012	N-succinylglutamate 5-semialdehyde dehydrogenase
KHHAHBGI_00070	gene	1341	astB_1			
KHHAHBGI_00070	CDS	1341	astB_1	3.5.3.23	COG3724	N-succinylarginine dihydrolase
KHHAHBGI_00071	gene	996	astE_1			
KHHAHBGI_00071	CDS	996	astE_1	3.5.1.96	COG2988	Succinylglutamate desuccinylase
KHHAHBGI_00072	gene	1431	cycA_1			
KHHAHBGI_00072	CDS	1431	cycA_1		COG1113	D-serine/D-alanine/glycine transporter
KHHAHBGI_00073	gene	1326	abaF_1			
KHHAHBGI_00073	CDS	1326	abaF_1			Fosfomycin resistance protein AbaF
KHHAHBGI_00074	gene	801	ydcF			
KHHAHBGI_00074	CDS	801	ydcF		COG1434	Protein YdcF
KHHAHBGI_00075	gene	1440	aldA			
KHHAHBGI_00075	CDS	1440	aldA	1.2.1.22	COG1012	Lactaldehyde dehydrogenase
KHHAHBGI_00076	gene	999	gap_1			
KHHAHBGI_00076	CDS	999	gap_1	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase
KHHAHBGI_00077	gene	159				
KHHAHBGI_00077	CDS	159				hypothetical protein
KHHAHBGI_00078	gene	393	ydfO			
KHHAHBGI_00078	CDS	393	ydfO		COG5562	putative protein YdfO
KHHAHBGI_00079	gene	234	yedF			
KHHAHBGI_00079	CDS	234	yedF		COG0425	Putative sulfur carrier protein YedF
KHHAHBGI_00080	gene	1212				
KHHAHBGI_00080	CDS	1212				hypothetical protein
KHHAHBGI_00081	gene	354				
KHHAHBGI_00081	CDS	354				hypothetical protein
KHHAHBGI_00082	gene	519				
KHHAHBGI_00082	CDS	519				hypothetical protein
KHHAHBGI_00083	gene	204	ydfZ			
KHHAHBGI_00083	CDS	204	ydfZ			Putative selenoprotein YdfZ
KHHAHBGI_00084	gene	1029	zntB_1			
KHHAHBGI_00084	CDS	1029	zntB_1		COG0598	Zinc transport protein ZntB
KHHAHBGI_00085	gene	1173	malY			
KHHAHBGI_00085	CDS	1173	malY		COG1168	Protein MalY
KHHAHBGI_00086	gene	1593	malX			
KHHAHBGI_00086	CDS	1593	malX		COG1263	PTS system maltose-specific EIICB component
KHHAHBGI_00087	gene	1029	malI_1			
KHHAHBGI_00087	CDS	1029	malI_1		COG1609	Maltose regulon regulatory protein MalI
KHHAHBGI_00088	gene	1560	ydgA			
KHHAHBGI_00088	CDS	1560	ydgA		COG5339	Protein YdgA
KHHAHBGI_00089	gene	1179	manA			
KHHAHBGI_00089	CDS	1179	manA	5.3.1.8	COG1482	Mannose-6-phosphate isomerase
KHHAHBGI_00090	gene	1647	fumA			
KHHAHBGI_00090	CDS	1647	fumA	4.2.1.2	COG1838	Fumarate hydratase class I, aerobic
KHHAHBGI_00091	gene	1401	fumC			
KHHAHBGI_00091	CDS	1401	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
KHHAHBGI_00092	gene	933	tus			
KHHAHBGI_00092	CDS	933	tus			DNA replication terminus site-binding protein
KHHAHBGI_00093	gene	1302	rstB			
KHHAHBGI_00093	CDS	1302	rstB	2.7.13.3		Sensor protein RstB
KHHAHBGI_00094	gene	375				
KHHAHBGI_00094	CDS	375		1.1.1.119	COG1028	Glucose 1-dehydrogenase
KHHAHBGI_00095	gene	363				
KHHAHBGI_00095	CDS	363				hypothetical protein
KHHAHBGI_00096	gene	723	rstA			
KHHAHBGI_00096	CDS	723	rstA		COG0745	Transcriptional regulatory protein RstA
KHHAHBGI_00097	gene	336	ydgC			
KHHAHBGI_00097	CDS	336	ydgC		COG3136	Inner membrane protein YdgC
KHHAHBGI_00098	gene	723	folM			
KHHAHBGI_00098	CDS	723	folM	1.5.1.50	COG1028	Dihydromonapterin reductase
KHHAHBGI_00099	gene	1383	ydgI			
KHHAHBGI_00099	CDS	1383	ydgI		COG0531	Putative arginine/ornithine antiporter
KHHAHBGI_00100	gene	951	ydgH			
KHHAHBGI_00100	CDS	951	ydgH			Protein YdgH
KHHAHBGI_00101	gene	1530	pntA			
KHHAHBGI_00101	CDS	1530	pntA	7.1.1.1	COG3288	NAD(P) transhydrogenase subunit alpha
KHHAHBGI_00102	gene	1389	pntB			
KHHAHBGI_00102	CDS	1389	pntB	7.1.1.1	COG1282	NAD(P) transhydrogenase subunit beta
KHHAHBGI_00103	gene	189				
KHHAHBGI_00103	CDS	189				hypothetical protein
KHHAHBGI_00104	gene	951	uspE			
KHHAHBGI_00104	CDS	951	uspE		COG0589	Universal stress protein E
KHHAHBGI_00105	gene	753	fnr			
KHHAHBGI_00105	CDS	753	fnr		COG0664	Fumarate and nitrate reduction regulatory protein
KHHAHBGI_00106	gene	516	ogt			
KHHAHBGI_00106	CDS	516	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
KHHAHBGI_00107	gene	159				
KHHAHBGI_00107	CDS	159				hypothetical protein
KHHAHBGI_00108	gene	1527	abgT			
KHHAHBGI_00108	CDS	1527	abgT		COG2978	p-aminobenzoyl-glutamate transport protein
KHHAHBGI_00109	gene	1446	abgB			
KHHAHBGI_00109	CDS	1446	abgB	3.5.1.-	COG1473	p-aminobenzoyl-glutamate hydrolase subunit B
KHHAHBGI_00110	gene	1311	iaaH			
KHHAHBGI_00110	CDS	1311	iaaH	3.5.1.-		Indole-3-acetyl-aspartic acid hydrolase
KHHAHBGI_00111	gene	927	tsaR_1			
KHHAHBGI_00111	CDS	927	tsaR_1			HTH-type transcriptional regulator TsaR
KHHAHBGI_00112	gene	564	smrA			
KHHAHBGI_00112	CDS	564	smrA	3.1.-.-	COG2840	putative DNA endonuclease SmrA
KHHAHBGI_00113	gene	807	pcaR_1			
KHHAHBGI_00113	CDS	807	pcaR_1		COG1414	Pca regulon regulatory protein
KHHAHBGI_00114	gene	687	pcaI			
KHHAHBGI_00114	CDS	687	pcaI	2.8.3.6	COG1788	3-oxoadipate CoA-transferase subunit A
KHHAHBGI_00115	gene	657	pcaJ			
KHHAHBGI_00115	CDS	657	pcaJ	2.8.3.6	COG2057	3-oxoadipate CoA-transferase subunit B
KHHAHBGI_00116	gene	1203	pcaF			
KHHAHBGI_00116	CDS	1203	pcaF	2.3.1.174	COG0183	Beta-ketoadipyl-CoA thiolase
KHHAHBGI_00117	gene	1353	pcaB_1			
KHHAHBGI_00117	CDS	1353	pcaB_1	5.5.1.2	COG0015	3-carboxy-cis,cis-muconate cycloisomerase
KHHAHBGI_00118	gene	768	catD			
KHHAHBGI_00118	CDS	768	catD	3.1.1.24	COG0596	3-oxoadipate enol-lactonase 2
KHHAHBGI_00119	gene	390				
KHHAHBGI_00119	CDS	390				hypothetical protein
KHHAHBGI_00120	gene	1617				
KHHAHBGI_00120	CDS	1617				hypothetical protein
KHHAHBGI_00121	gene	1653	fumB			
KHHAHBGI_00121	CDS	1653	fumB	4.2.1.2	COG1838	Fumarate hydratase class I, anaerobic
KHHAHBGI_00122	gene	1512	ttdT			
KHHAHBGI_00122	CDS	1512	ttdT		COG0471	L-tartrate/succinate antiporter
KHHAHBGI_00123	gene	2778	namA_1			
KHHAHBGI_00123	CDS	2778	namA_1	1.6.99.1		NADPH dehydrogenase
KHHAHBGI_00124	gene	951	apbE_1			
KHHAHBGI_00124	CDS	951	apbE_1	2.7.1.180	COG1477	FAD:protein FMN transferase
KHHAHBGI_00125	gene	720	dcuR_1			
KHHAHBGI_00125	CDS	720	dcuR_1		COG4565	Transcriptional regulatory protein DcuR
KHHAHBGI_00126	gene	1617	dcuS			
KHHAHBGI_00126	CDS	1617	dcuS	2.7.13.3	COG3290	Sensor histidine kinase DcuS
KHHAHBGI_00127	gene	924	murQ_1			
KHHAHBGI_00127	CDS	924	murQ_1	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
KHHAHBGI_00128	gene	1647	mqo_1			
KHHAHBGI_00128	CDS	1647	mqo_1	1.1.5.4	COG0579	Malate:quinone oxidoreductase
KHHAHBGI_00129	gene	1185	bcr_1			
KHHAHBGI_00129	CDS	1185	bcr_1			Bicyclomycin resistance protein
KHHAHBGI_00130	gene	927	cynR_1			
KHHAHBGI_00130	CDS	927	cynR_1			HTH-type transcriptional regulator CynR
KHHAHBGI_00131	gene	903	fabD_1			
KHHAHBGI_00131	CDS	903	fabD_1	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
KHHAHBGI_00132	gene	618	mdcG			
KHHAHBGI_00132	CDS	618	mdcG	2.7.7.66		Phosphoribosyl-dephospho-CoA transferase
KHHAHBGI_00133	gene	960				
KHHAHBGI_00133	CDS	960				hypothetical protein
KHHAHBGI_00134	gene	801				
KHHAHBGI_00134	CDS	801				hypothetical protein
KHHAHBGI_00135	gene	834	madC			
KHHAHBGI_00135	CDS	834	madC	2.1.3.10		Malonyl-S-ACP:biotin-protein carboxyltransferase MADC
KHHAHBGI_00136	gene	300	mdcC			
KHHAHBGI_00136	CDS	300	mdcC			Malonate decarboxylase acyl carrier protein
KHHAHBGI_00137	gene	843	citG_1			
KHHAHBGI_00137	CDS	843	citG_1	2.4.2.52	COG1767	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
KHHAHBGI_00138	gene	1656	madA			
KHHAHBGI_00138	CDS	1656	madA	2.3.1.187		Acetyl-S-ACP:malonate ACP transferase
KHHAHBGI_00139	gene	1035	tqsA			
KHHAHBGI_00139	CDS	1035	tqsA		COG0628	AI-2 transport protein TqsA
KHHAHBGI_00140	gene	363	mdtJ_1			
KHHAHBGI_00140	CDS	363	mdtJ_1		COG2076	Spermidine export protein MdtJ
KHHAHBGI_00141	gene	330	mdtI			
KHHAHBGI_00141	CDS	330	mdtI		COG2076	Spermidine export protein MdtI
KHHAHBGI_00142	gene	2157				
KHHAHBGI_00142	CDS	2157				hypothetical protein
KHHAHBGI_00143	gene	813				
KHHAHBGI_00143	CDS	813				hypothetical protein
KHHAHBGI_00144	gene	105				
KHHAHBGI_00144	CDS	105				hypothetical protein
KHHAHBGI_00145	gene	420	asr_1			
KHHAHBGI_00145	CDS	420	asr_1			Acid shock protein
KHHAHBGI_00146	gene	1488				
KHHAHBGI_00146	CDS	1488		3.4.17.19	COG2317	Thermostable carboxypeptidase 1
KHHAHBGI_00147	gene	1251	ynfM			
KHHAHBGI_00147	CDS	1251	ynfM			Inner membrane transport protein YnfM
KHHAHBGI_00148	gene	903	hcaR_1			
KHHAHBGI_00148	CDS	903	hcaR_1			Hca operon transcriptional activator HcaR
KHHAHBGI_00149	gene	1224	mlc_1			
KHHAHBGI_00149	CDS	1224	mlc_1		COG1940	Protein mlc
KHHAHBGI_00150	gene	696	bioD1_1			
KHHAHBGI_00150	CDS	696	bioD1_1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
KHHAHBGI_00151	gene	1296	clcB_1			
KHHAHBGI_00151	CDS	1296	clcB_1		COG0038	Voltage-gated ClC-type chloride channel ClcB
KHHAHBGI_00152	gene	609	dmsD			
KHHAHBGI_00152	CDS	609	dmsD		COG3381	Tat proofreading chaperone DmsD
KHHAHBGI_00153	gene	858	dmsC_1			
KHHAHBGI_00153	CDS	858	dmsC_1		COG3302	Anaerobic dimethyl sulfoxide reductase chain C
KHHAHBGI_00154	gene	618	dmsB_1			
KHHAHBGI_00154	CDS	618	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
KHHAHBGI_00155	gene	2436	ynfE			
KHHAHBGI_00155	CDS	2436	ynfE	1.8.99.-	COG0243	Putative dimethyl sulfoxide reductase chain YnfE
KHHAHBGI_00156	gene	270				
KHHAHBGI_00156	CDS	270				hypothetical protein
KHHAHBGI_00157	gene	711				
KHHAHBGI_00157	CDS	711				hypothetical protein
KHHAHBGI_00158	gene	561	speG			
KHHAHBGI_00158	CDS	561	speG	2.3.1.57	COG1670	Spermidine N(1)-acetyltransferase
KHHAHBGI_00159	gene	342				
KHHAHBGI_00159	CDS	342				hypothetical protein
KHHAHBGI_00160	gene	327				
KHHAHBGI_00160	CDS	327				hypothetical protein
KHHAHBGI_00161	gene	1284	lgoT			
KHHAHBGI_00161	CDS	1284	lgoT			putative L-galactonate transporter
KHHAHBGI_00162	gene	1464	por_1			
KHHAHBGI_00162	CDS	1464	por_1	1.1.1.-	COG0246	Polyol:NADP oxidoreductase
KHHAHBGI_00163	gene	432	uspG_1			
KHHAHBGI_00163	CDS	432	uspG_1		COG0589	Universal stress protein UP12
KHHAHBGI_00164	gene	687	rspR			
KHHAHBGI_00164	CDS	687	rspR		COG1802	HTH-type transcriptional repressor RspR
KHHAHBGI_00165	gene	750	ydfG_1			
KHHAHBGI_00165	CDS	750	ydfG_1	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
KHHAHBGI_00166	gene	2046	dcp			
KHHAHBGI_00166	CDS	2046	dcp	3.4.15.5	COG0339	Dipeptidyl carboxypeptidase
KHHAHBGI_00167	gene	303				
KHHAHBGI_00167	CDS	303				hypothetical protein
KHHAHBGI_00168	gene	501				
KHHAHBGI_00168	CDS	501				hypothetical protein
KHHAHBGI_00169	gene	138	holE_1			
KHHAHBGI_00169	CDS	138	holE_1	2.7.7.7		DNA polymerase III subunit theta
KHHAHBGI_00170	gene	264				
KHHAHBGI_00170	CDS	264				hypothetical protein
KHHAHBGI_00171	gene	267				
KHHAHBGI_00171	CDS	267				IS3 family transposase IS1400
KHHAHBGI_00172	gene	249				
KHHAHBGI_00172	CDS	249				IS3 family transposase IS1400
KHHAHBGI_00173	gene	1695	mdlC			
KHHAHBGI_00173	CDS	1695	mdlC	4.1.1.7		Benzoylformate decarboxylase
KHHAHBGI_00174	gene	921	hcaR_2			
KHHAHBGI_00174	CDS	921	hcaR_2			Hca operon transcriptional activator HcaR
KHHAHBGI_00175	gene	633	pspA_1			
KHHAHBGI_00175	CDS	633	pspA_1	3.1.3.3	COG0406	Phosphoserine phosphatase 1
KHHAHBGI_00176	gene	405				
KHHAHBGI_00176	CDS	405				hypothetical protein
KHHAHBGI_00177	gene	912	dmlR_1			
KHHAHBGI_00177	CDS	912	dmlR_1			HTH-type transcriptional regulator DmlR
KHHAHBGI_00178	gene	396				
KHHAHBGI_00178	CDS	396				hypothetical protein
KHHAHBGI_00179	gene	222				
KHHAHBGI_00179	CDS	222				hypothetical protein
KHHAHBGI_00180	gene	582				
KHHAHBGI_00180	CDS	582				hypothetical protein
KHHAHBGI_00181	gene	690				
KHHAHBGI_00181	CDS	690				hypothetical protein
KHHAHBGI_00182	gene	588				
KHHAHBGI_00182	CDS	588				hypothetical protein
KHHAHBGI_00183	gene	894	dmlR_2			
KHHAHBGI_00183	CDS	894	dmlR_2			HTH-type transcriptional regulator DmlR
KHHAHBGI_00184	gene	546				
KHHAHBGI_00184	CDS	546		2.3.1.-	COG1670	Acetyltransferase
KHHAHBGI_00185	gene	123				
KHHAHBGI_00185	CDS	123				hypothetical protein
KHHAHBGI_00186	gene	630				
KHHAHBGI_00186	CDS	630				hypothetical protein
KHHAHBGI_00187	gene	105				
KHHAHBGI_00187	CDS	105				hypothetical protein
KHHAHBGI_00188	gene	474	ibpB_1			
KHHAHBGI_00188	CDS	474	ibpB_1			Small heat shock protein IbpB
KHHAHBGI_00189	gene	513	pncC_1			
KHHAHBGI_00189	CDS	513	pncC_1	3.5.1.42	COG1546	Nicotinamide-nucleotide amidohydrolase PncC
KHHAHBGI_00190	gene	1218	bluF_1			
KHHAHBGI_00190	CDS	1218	bluF_1			Blue light- and temperature-regulated antirepressor BluF
KHHAHBGI_00191	gene	612				
KHHAHBGI_00191	CDS	612				hypothetical protein
KHHAHBGI_00192	gene	900	rob_1			
KHHAHBGI_00192	CDS	900	rob_1		COG2207	Right origin-binding protein
KHHAHBGI_00193	gene	1365	ygbN			
KHHAHBGI_00193	CDS	1365	ygbN		COG2610	Inner membrane permease YgbN
KHHAHBGI_00194	gene	783	otnI			
KHHAHBGI_00194	CDS	783	otnI	5.3.1.35	COG3622	2-oxo-tetronate isomerase
