locus_tag	ftype	length_bp	gene	EC_number	COG	product
BFDNOPOE_00001	gene	390				
BFDNOPOE_00001	CDS	390				hypothetical protein
BFDNOPOE_00002	gene	1392				
BFDNOPOE_00002	CDS	1392				hypothetical protein
BFDNOPOE_00003	gene	486				
BFDNOPOE_00003	CDS	486				hypothetical protein
BFDNOPOE_00004	gene	384				
BFDNOPOE_00004	CDS	384				hypothetical protein
BFDNOPOE_00005	gene	327				
BFDNOPOE_00005	CDS	327				hypothetical protein
BFDNOPOE_00006	gene	201				
BFDNOPOE_00006	CDS	201				hypothetical protein
BFDNOPOE_00007	gene	3045				
BFDNOPOE_00007	CDS	3045				hypothetical protein
BFDNOPOE_00008	gene	1356	gumD			
BFDNOPOE_00008	CDS	1356	gumD	2.7.8.31	COG2148	UDP-glucose:undecaprenyl-phosphate glucose-1-phosphate transferase
BFDNOPOE_00009	gene	3060				
BFDNOPOE_00009	CDS	3060				hypothetical protein
BFDNOPOE_00010	gene	1464	tagU_1			
BFDNOPOE_00010	CDS	1464	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
BFDNOPOE_00011	gene	1230	arnB			
BFDNOPOE_00011	CDS	1230	arnB	2.6.1.87		UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase
BFDNOPOE_00012	gene	696	wecA			
BFDNOPOE_00012	CDS	696	wecA	2.7.8.40		UDP-N-acetylgalactosamine-undecaprenyl-phosphate N-acetylgalactosaminephosphotransferase
BFDNOPOE_00013	gene	1227				
BFDNOPOE_00013	CDS	1227				hypothetical protein
BFDNOPOE_00014	gene	1068				
BFDNOPOE_00014	CDS	1068				hypothetical protein
BFDNOPOE_00015	gene	1386				
BFDNOPOE_00015	CDS	1386				hypothetical protein
BFDNOPOE_00016	gene	1119	epsF_1			
BFDNOPOE_00016	CDS	1119	epsF_1	2.4.-.-	COG0438	Putative glycosyltransferase EpsF
BFDNOPOE_00017	gene	1005	arnC			
BFDNOPOE_00017	CDS	1005	arnC	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
BFDNOPOE_00018	gene	1008	epsJ			
BFDNOPOE_00018	CDS	1008	epsJ	2.4.-.-	COG0463	putative glycosyltransferase EpsJ
BFDNOPOE_00019	gene	1455	rfbX			
BFDNOPOE_00019	CDS	1455	rfbX		COG2244	Putative O-antigen transporter
BFDNOPOE_00020	gene	1203				
BFDNOPOE_00020	CDS	1203				hypothetical protein
BFDNOPOE_00021	gene	1263				
BFDNOPOE_00021	CDS	1263				hypothetical protein
BFDNOPOE_00022	gene	771	tagA			
BFDNOPOE_00022	CDS	771	tagA	2.4.1.187	COG1922	N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase
BFDNOPOE_00023	gene	1098	epsF_2			
BFDNOPOE_00023	CDS	1098	epsF_2	2.4.-.-	COG0438	Putative glycosyltransferase EpsF
BFDNOPOE_00024	gene	1218				
BFDNOPOE_00024	CDS	1218				hypothetical protein
BFDNOPOE_00025	gene	753				
BFDNOPOE_00025	CDS	753				hypothetical protein
BFDNOPOE_00026	gene	954				
BFDNOPOE_00026	CDS	954				hypothetical protein
BFDNOPOE_00027	gene	1104	yerB			
BFDNOPOE_00027	CDS	1104	yerB			Putative lipoprotein YerB
BFDNOPOE_00028	gene	717	puuD			
BFDNOPOE_00028	CDS	717	puuD	3.5.1.94	COG2071	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD
BFDNOPOE_00029	gene	942				
BFDNOPOE_00029	CDS	942				hypothetical protein
BFDNOPOE_00030	gene	1263	uraA			
BFDNOPOE_00030	CDS	1263	uraA		COG2233	Uracil permease
BFDNOPOE_00031	gene	1221	argG			
BFDNOPOE_00031	CDS	1221	argG	6.3.4.5	COG0137	Argininosuccinate synthase
BFDNOPOE_00032	gene	516				
BFDNOPOE_00032	CDS	516				hypothetical protein
BFDNOPOE_00033	gene	888	proB			
BFDNOPOE_00033	CDS	888	proB	2.7.2.11		Glutamate 5-kinase
BFDNOPOE_00034	gene	1251	proA			
BFDNOPOE_00034	CDS	1251	proA	1.2.1.41	COG0014	Gamma-glutamyl phosphate reductase
BFDNOPOE_00035	gene	1041	argC			
BFDNOPOE_00035	CDS	1041	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
BFDNOPOE_00036	gene	447	ypeA			
BFDNOPOE_00036	CDS	447	ypeA	2.3.1.-	COG0456	Acetyltransferase YpeA
BFDNOPOE_00037	gene	1224	argJ			
BFDNOPOE_00037	CDS	1224	argJ		COG1364	Arginine biosynthesis bifunctional protein ArgJ
BFDNOPOE_00038	gene	900	argB			
BFDNOPOE_00038	CDS	900	argB	2.7.2.8	COG0548	Acetylglutamate kinase
BFDNOPOE_00039	gene	1185	argD			
BFDNOPOE_00039	CDS	1185	argD	2.6.1.11	COG4992	Acetylornithine aminotransferase
BFDNOPOE_00040	gene	432				
BFDNOPOE_00040	CDS	432				hypothetical protein
BFDNOPOE_00041	gene	636	comEA			
BFDNOPOE_00041	CDS	636	comEA		COG1555	ComE operon protein 1
BFDNOPOE_00042	gene	693	walR_1			
BFDNOPOE_00042	CDS	693	walR_1		COG0745	Transcriptional regulatory protein WalR
BFDNOPOE_00043	gene	1392	rcsC_1			
BFDNOPOE_00043	CDS	1392	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
BFDNOPOE_00044	gene	930				
BFDNOPOE_00044	CDS	930				hypothetical protein
BFDNOPOE_00045	gene	873				
BFDNOPOE_00045	CDS	873				hypothetical protein
BFDNOPOE_00046	gene	198	symE_1			
BFDNOPOE_00046	CDS	198	symE_1	3.1.-.-		Endoribonuclease SymE
BFDNOPOE_00047	gene	927				
BFDNOPOE_00047	CDS	927				hypothetical protein
BFDNOPOE_00048	gene	1089				
BFDNOPOE_00048	CDS	1089				hypothetical protein
BFDNOPOE_00049	gene	210				
BFDNOPOE_00049	CDS	210				hypothetical protein
BFDNOPOE_00050	gene	1110	haeIIIM			
BFDNOPOE_00050	CDS	1110	haeIIIM	2.1.1.37		Modification methylase HaeIII
BFDNOPOE_00051	gene	783				
BFDNOPOE_00051	CDS	783				hypothetical protein
BFDNOPOE_00052	gene	1944				
BFDNOPOE_00052	CDS	1944				hypothetical protein
BFDNOPOE_00053	gene	1482	ydjA			
BFDNOPOE_00053	CDS	1482	ydjA	3.1.21.4		Type-2 restriction enzyme BsuMI component YdjA
BFDNOPOE_00054	gene	579				
BFDNOPOE_00054	CDS	579				hypothetical protein
BFDNOPOE_00055	gene	246				
BFDNOPOE_00055	CDS	246				hypothetical protein
BFDNOPOE_00056	gene	171				
BFDNOPOE_00056	CDS	171				hypothetical protein
BFDNOPOE_00057	gene	1158				
BFDNOPOE_00057	CDS	1158				hypothetical protein
BFDNOPOE_00058	gene	180				
BFDNOPOE_00058	CDS	180				hypothetical protein
BFDNOPOE_00059	gene	336				
BFDNOPOE_00059	CDS	336				hypothetical protein
BFDNOPOE_00060	gene	402				
BFDNOPOE_00060	CDS	402				hypothetical protein
BFDNOPOE_00061	gene	192				
BFDNOPOE_00061	CDS	192				hypothetical protein
BFDNOPOE_00062	gene	342				
BFDNOPOE_00062	CDS	342				hypothetical protein
BFDNOPOE_00063	gene	1128				
BFDNOPOE_00063	CDS	1128				hypothetical protein
BFDNOPOE_00064	gene	543				
BFDNOPOE_00064	CDS	543				hypothetical protein
BFDNOPOE_00065	gene	171				
BFDNOPOE_00065	CDS	171				hypothetical protein
BFDNOPOE_00066	gene	1935				
BFDNOPOE_00066	CDS	1935				hypothetical protein
BFDNOPOE_00067	gene	147				
BFDNOPOE_00067	CDS	147				hypothetical protein
BFDNOPOE_00068	gene	2385				
BFDNOPOE_00068	CDS	2385				hypothetical protein
BFDNOPOE_00069	gene	282				
BFDNOPOE_00069	CDS	282				hypothetical protein
BFDNOPOE_00070	gene	1374				
BFDNOPOE_00070	CDS	1374				hypothetical protein
BFDNOPOE_00071	gene	486				
BFDNOPOE_00071	CDS	486				hypothetical protein
BFDNOPOE_00072	gene	357	ndoA_1			
BFDNOPOE_00072	CDS	357	ndoA_1	3.1.27.-	COG2337	Endoribonuclease EndoA
BFDNOPOE_00073	gene	1395				
BFDNOPOE_00073	CDS	1395				hypothetical protein
BFDNOPOE_00074	gene	354				
BFDNOPOE_00074	CDS	354				hypothetical protein
BFDNOPOE_00075	gene	456				
BFDNOPOE_00075	CDS	456				hypothetical protein
BFDNOPOE_00076	gene	1257				
BFDNOPOE_00076	CDS	1257				hypothetical protein
BFDNOPOE_00077	gene	1269				
BFDNOPOE_00077	CDS	1269				hypothetical protein
BFDNOPOE_00078	gene	795				
BFDNOPOE_00078	CDS	795				hypothetical protein
BFDNOPOE_00079	gene	228				
BFDNOPOE_00079	CDS	228				hypothetical protein
BFDNOPOE_00080	gene	948				
BFDNOPOE_00080	CDS	948				hypothetical protein
BFDNOPOE_00081	gene	528				
BFDNOPOE_00081	CDS	528				hypothetical protein
BFDNOPOE_00082	gene	198				
BFDNOPOE_00082	CDS	198				hypothetical protein
BFDNOPOE_00083	gene	438				
BFDNOPOE_00083	CDS	438				hypothetical protein
BFDNOPOE_00084	gene	1548				
BFDNOPOE_00084	CDS	1548				hypothetical protein
BFDNOPOE_00085	gene	279				
BFDNOPOE_00085	CDS	279				hypothetical protein
BFDNOPOE_00086	gene	1299				
BFDNOPOE_00086	CDS	1299				hypothetical protein
BFDNOPOE_00087	gene	807	clpP_1			
BFDNOPOE_00087	CDS	807	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
BFDNOPOE_00088	gene	1206				
BFDNOPOE_00088	CDS	1206				hypothetical protein
BFDNOPOE_00089	gene	276				
BFDNOPOE_00089	CDS	276				hypothetical protein
BFDNOPOE_00090	gene	330				
BFDNOPOE_00090	CDS	330				hypothetical protein
BFDNOPOE_00091	gene	381				
BFDNOPOE_00091	CDS	381				hypothetical protein
BFDNOPOE_00092	gene	318				
BFDNOPOE_00092	CDS	318				hypothetical protein
BFDNOPOE_00093	gene	621				
BFDNOPOE_00093	CDS	621				hypothetical protein
BFDNOPOE_00094	gene	378				
BFDNOPOE_00094	CDS	378				hypothetical protein
BFDNOPOE_00095	gene	165				
BFDNOPOE_00095	CDS	165				hypothetical protein
BFDNOPOE_00096	gene	885				
BFDNOPOE_00096	CDS	885				hypothetical protein
BFDNOPOE_00097	gene	915				
BFDNOPOE_00097	CDS	915				hypothetical protein
BFDNOPOE_00098	gene	285				
BFDNOPOE_00098	CDS	285				hypothetical protein
BFDNOPOE_00099	gene	2928				
BFDNOPOE_00099	CDS	2928				hypothetical protein
BFDNOPOE_00100	gene	396				
BFDNOPOE_00100	CDS	396				hypothetical protein
BFDNOPOE_00101	gene	198				
BFDNOPOE_00101	CDS	198				hypothetical protein
BFDNOPOE_00102	gene	1236				
