locus_tag	ftype	length_bp	gene	EC_number	COG	product
CFICGCGH_00001	gene	3369				
CFICGCGH_00001	CDS	3369				hypothetical protein
CFICGCGH_00002	gene	2148	mutB			
CFICGCGH_00002	CDS	2148	mutB	5.4.99.2	COG1884	Methylmalonyl-CoA mutase large subunit
CFICGCGH_00003	gene	1860	icmF			
CFICGCGH_00003	CDS	1860	icmF	5.4.99.13		Fused isobutyryl-CoA mutase
CFICGCGH_00004	gene	1662	aspT_1			
CFICGCGH_00004	CDS	1662	aspT_1			Aspartate/alanine antiporter
CFICGCGH_00005	gene	627	cmk_1			
CFICGCGH_00005	CDS	627	cmk_1	2.7.4.25		Cytidylate kinase
CFICGCGH_00006	gene	1353	mepA_1			
CFICGCGH_00006	CDS	1353	mepA_1			Multidrug export protein MepA
CFICGCGH_00007	gene	1731	lysS			
CFICGCGH_00007	CDS	1731	lysS	6.1.1.6		Lysine--tRNA ligase
CFICGCGH_00008	gene	996	gpsA			
CFICGCGH_00008	CDS	996	gpsA	1.1.1.94		Glycerol-3-phosphate dehydrogenase [NAD(P)+]
CFICGCGH_00009	gene	1338	pgi			
CFICGCGH_00009	CDS	1338	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
CFICGCGH_00010	gene	747	gph_1			
CFICGCGH_00010	CDS	747	gph_1	3.1.3.18		Phosphoglycolate phosphatase
CFICGCGH_00011	gene	300				
CFICGCGH_00011	CDS	300				hypothetical protein
CFICGCGH_00012	gene	594				
CFICGCGH_00012	CDS	594				hypothetical protein
CFICGCGH_00013	gene	288				
CFICGCGH_00013	CDS	288				hypothetical protein
CFICGCGH_00014	gene	74				
CFICGCGH_00014	tRNA	74				tRNA-Arg(ccg)
CFICGCGH_00015	gene	1038	asnA			
CFICGCGH_00015	CDS	1038	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
CFICGCGH_00016	gene	663	ung_1			
CFICGCGH_00016	CDS	663	ung_1	3.2.2.27	COG0692	Uracil-DNA glycosylase
CFICGCGH_00017	gene	2778	lptD_1			
CFICGCGH_00017	CDS	2778	lptD_1			LPS-assembly protein LptD
CFICGCGH_00018	gene	537				
CFICGCGH_00018	CDS	537				hypothetical protein
CFICGCGH_00019	gene	1722	arnT			
CFICGCGH_00019	CDS	1722	arnT	2.4.2.43		Undecaprenyl phosphate-alpha-4-amino-4-deoxy-L-arabinose arabinosyl transferase
CFICGCGH_00020	gene	213				
CFICGCGH_00020	CDS	213				hypothetical protein
CFICGCGH_00021	gene	954	ykoT			
CFICGCGH_00021	CDS	954	ykoT	2.4.-.-		putative glycosyltransferase YkoT
CFICGCGH_00022	gene	849				
CFICGCGH_00022	CDS	849				hypothetical protein
CFICGCGH_00023	gene	156				
CFICGCGH_00023	CDS	156				hypothetical protein
CFICGCGH_00024	gene	960				
CFICGCGH_00024	CDS	960				hypothetical protein
CFICGCGH_00025	gene	1245				
CFICGCGH_00025	CDS	1245				hypothetical protein
CFICGCGH_00026	gene	897				
CFICGCGH_00026	CDS	897				hypothetical protein
CFICGCGH_00027	gene	1389	dnaA			
CFICGCGH_00027	CDS	1389	dnaA		COG0593	Chromosomal replication initiator protein DnaA
CFICGCGH_00028	gene	735	nfrA2_1			
CFICGCGH_00028	CDS	735	nfrA2_1	1.5.1.39	COG0778	FMN reductase [NAD(P)H]
CFICGCGH_00029	gene	2538				
CFICGCGH_00029	CDS	2538				hypothetical protein
CFICGCGH_00030	gene	2700				
CFICGCGH_00030	CDS	2700				hypothetical protein
CFICGCGH_00031	gene	285				
CFICGCGH_00031	CDS	285				hypothetical protein
CFICGCGH_00032	gene	363	folB			
CFICGCGH_00032	CDS	363	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
CFICGCGH_00033	gene	1827				
CFICGCGH_00033	CDS	1827				hypothetical protein
CFICGCGH_00034	gene	1701				
CFICGCGH_00034	CDS	1701				hypothetical protein
CFICGCGH_00035	gene	384				
CFICGCGH_00035	CDS	384				hypothetical protein
CFICGCGH_00036	gene	1614				
CFICGCGH_00036	CDS	1614				hypothetical protein
CFICGCGH_00037	gene	429				
CFICGCGH_00037	CDS	429				hypothetical protein
CFICGCGH_00038	gene	696				
CFICGCGH_00038	CDS	696				hypothetical protein
CFICGCGH_00039	gene	90				
CFICGCGH_00039	CDS	90				hypothetical protein
CFICGCGH_00040	gene	1023				
CFICGCGH_00040	CDS	1023				hypothetical protein
CFICGCGH_00041	gene	522	mgsA			
CFICGCGH_00041	CDS	522	mgsA	4.2.3.3	COG1803	Methylglyoxal synthase
CFICGCGH_00042	gene	1017				
CFICGCGH_00042	CDS	1017				hypothetical protein
CFICGCGH_00043	gene	903	lpxL			
CFICGCGH_00043	CDS	903	lpxL	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
