locus_tag	ftype	length_bp	gene	EC_number	COG	product
FODOODNH_00001	gene	1407	dnaA			
FODOODNH_00001	CDS	1407	dnaA			Chromosomal replication initiator protein DnaA
FODOODNH_00002	gene	936	lnrL			
FODOODNH_00002	CDS	936	lnrL	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
FODOODNH_00003	gene	783				
FODOODNH_00003	CDS	783				hypothetical protein
FODOODNH_00004	gene	1572				
FODOODNH_00004	CDS	1572				hypothetical protein
FODOODNH_00005	gene	2055				
FODOODNH_00005	CDS	2055				hypothetical protein
FODOODNH_00006	gene	780				
FODOODNH_00006	CDS	780			COG0327	GTP cyclohydrolase 1 type 2 
FODOODNH_00007	gene	972	rluD_1			
FODOODNH_00007	CDS	972	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
FODOODNH_00008	gene	1158	pheA			
FODOODNH_00008	CDS	1158	pheA			Bifunctional chorismate mutase/prephenate dehydratase
FODOODNH_00009	gene	1617				
FODOODNH_00009	CDS	1617				hypothetical protein
FODOODNH_00010	gene	2385	ligA			
FODOODNH_00010	CDS	2385	ligA	6.5.1.2		DNA ligase
FODOODNH_00011	gene	606	pgsA			
FODOODNH_00011	CDS	606	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
FODOODNH_00012	gene	2763	rapA_1			
FODOODNH_00012	CDS	2763	rapA_1	3.6.4.-		RNA polymerase-associated protein RapA
FODOODNH_00013	gene	2892				
FODOODNH_00013	CDS	2892				hypothetical protein
FODOODNH_00014	gene	576				
FODOODNH_00014	CDS	576				hypothetical protein
FODOODNH_00015	gene	3096				
FODOODNH_00015	CDS	3096				hypothetical protein
FODOODNH_00016	gene	1068				
FODOODNH_00016	CDS	1068				hypothetical protein
FODOODNH_00017	gene	609				
FODOODNH_00017	CDS	609				hypothetical protein
FODOODNH_00018	gene	495				
FODOODNH_00018	CDS	495				hypothetical protein
FODOODNH_00019	gene	1446				
FODOODNH_00019	CDS	1446		3.2.1.-		Glycosyl hydrolase family 109 protein 1
FODOODNH_00020	gene	1143				
FODOODNH_00020	CDS	1143				hypothetical protein
FODOODNH_00021	gene	960				
FODOODNH_00021	CDS	960				hypothetical protein
FODOODNH_00022	gene	1191	ycaD			
FODOODNH_00022	CDS	1191	ycaD			putative MFS-type transporter YcaD
FODOODNH_00023	gene	1398	rpoN			
FODOODNH_00023	CDS	1398	rpoN		COG1508	RNA polymerase sigma-54 factor
FODOODNH_00024	gene	711				
FODOODNH_00024	CDS	711				hypothetical protein
FODOODNH_00025	gene	777	yddE			
FODOODNH_00025	CDS	777	yddE	5.1.-.-	COG0384	putative isomerase YddE
FODOODNH_00026	gene	123				
FODOODNH_00026	CDS	123				hypothetical protein
FODOODNH_00027	gene	600	mntP			
FODOODNH_00027	CDS	600	mntP		COG1971	putative manganese efflux pump MntP
FODOODNH_00028	gene	2229				
FODOODNH_00028	CDS	2229				hypothetical protein
FODOODNH_00029	gene	1218				
FODOODNH_00029	CDS	1218				hypothetical protein
FODOODNH_00030	gene	1380				
FODOODNH_00030	CDS	1380			COG2256	putative AAA domain-containing protein
FODOODNH_00031	gene	396				
FODOODNH_00031	CDS	396				hypothetical protein
FODOODNH_00032	gene	927	wbgU			
FODOODNH_00032	CDS	927	wbgU	5.1.3.7		UDP-N-acetylglucosamine 4-epimerase
